Kombinace rysů,délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.6963057314472259,0.7727113751711208,0.7175969713093842,0.5415416377898822,0.6772833280901291,0.7785338991839509,0.719250445549197,0.538937397840703,0.7748604873905215,0.7265376958065025,0.550652124122061
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.7165747495466261,0.786901999488786,0.7311320060437708,0.5766272899984871,0.6982204318436813,0.7933167357383267,0.7383945253899739,0.5700091273188445,0.7876560636388519,0.7313226206159908,0.589316379500046
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.7256341018862364,0.7907710038932076,0.7500897216136755,0.5895322743280549,0.7101309999449794,0.798696064944807,0.7478189508830588,0.5837564519140137,0.7892135670208309,0.7615566014840033,0.6004734620887742
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.7428621345319861,0.8038246584530849,0.7612625101765587,0.6155302960418908,0.7268724882238449,0.8110297193025117,0.7620678992223445,0.610780601826161,0.8029007063692666,0.7695840995147037,0.6259273611692944
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.7574650052588068,0.8136775935001384,0.7742141492585557,0.639724657327656,0.7425388000287834,0.8179612206185537,0.776799055499539,0.638426294616734,0.8165387311996192,0.7814546974711514,0.6473808883044725
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.7683166718376333,0.8246749666396023,0.7756234880606552,0.6554296696524552,0.7519093747842375,0.8275136220269619,0.7783517123492223,0.654333144855551,0.8276869075400773,0.7811824143498856,0.6619359009740373
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.7760954690299781,0.8279556235675146,0.78121094249401,0.6723796001437813,0.760515388735102,0.8317936432750365,0.7874986583036783,0.669624621769059,0.8297764880931109,0.784685544939817,0.6804608154312093
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.7817939916932142,0.8330027114872154,0.7780624152721061,0.6855455203689673,0.7655368823760962,0.8371727946594136,0.7816465702785167,0.6827251999856265,0.8338872489384679,0.7843998576900241,0.6936094009858744
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.7932075657462768,0.8413653684826349,0.7959221297696588,0.7009992302795685,0.7794289095106207,0.844739203075954,0.7958826137461996,0.6991581331157853,0.8431401949088546,0.8040306646216996,0.7071214663482778
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.7921590564653929,0.8414442591292973,0.789762144772598,0.6979299111331533,0.7763787716783496,0.8419713331991051,0.7886302008692547,0.6998092282070895,0.8456735064383467,0.7981175423911762,0.7000676697196109
"(0, 0, 0, 0, 1)","(0, 0, 0, 15)",0.8004599151495627,0.8467143211090375,0.7961920638942426,0.713944198671663,0.7856168612249811,0.8490745395402837,0.7977553787771166,0.7116894831805365,0.8485601095492635,0.8022893739511682,0.719451519540901
"(0, 0, 0, 0, 1)","(0, 0, 0, 16)",0.8035588764785722,0.8497144111065158,0.7950082452495334,0.7194161874045175,0.7880462812535222,0.8485924848217582,0.7987151766920445,0.7184264466281143,0.8542728294595104,0.799254943575163,0.7226950270556889
"(0, 0, 0, 1, 0)","(4, 8, 12, 0)",0.7925324510577705,0.8381441210932634,0.8071949413928351,0.6980191464462406,0.7811194029774462,0.8410698468116575,0.8084755298743802,0.6918996307328312,0.8388161210973799,0.8138987703902287,0.708425189326105
"(0, 0, 0, 1, 0)","(4, 8, 14, 0)",0.8048419016240735,0.8459253275666221,0.8204909970470409,0.7175328620119721,0.7946497288752117,0.8488342385532762,0.820649531296835,0.7128383500577148,0.8472542187634808,0.8272758865490493,0.7270450276104414
"(0, 0, 0, 1, 0)","(4, 8, 16, 0)",0.808256719244201,0.8490349678007586,0.8207471496391243,0.7231215315124409,0.7976345496507746,0.8497834330947679,0.8181512947936573,0.7229005122406819,0.8519643366596702,0.8299782672096766,0.7279687374806385
