Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.774203821656051,709,0.8570577724836212,0.7885245901639344,0.600470035252644,0.7486841326333998,0.7621822033898306,0.8483245149911817,0.745985401459854,0.9789115646258504,0.7366003062787136,0.5024582104228122
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.7888535031847134,663,0.8591127098321343,0.807160292921074,0.639067055393586,0.7684466860489314,0.7679528403001071,0.8611111111111112,0.7851002865329513,0.9748299319727891,0.7595712098009189,0.5388397246804326
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.802547770700637,620,0.8640776699029126,0.8265387689848122,0.668205424120023,0.786273954335916,0.7798466593647316,0.8645484949832776,0.8086592178770949,0.9687074829931973,0.7917304747320061,0.5693215339233039
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.813375796178344,586,0.8699878493317132,0.8310428455941795,0.6944603083952028,0.7984970011070317,0.7859495060373216,0.8801369863013698,0.8283378746594006,0.9741496598639455,0.7871362940275651,0.5978367748279253
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.8232484076433121,555,0.87603814211012,0.824575586095392,0.7265625,0.8090587427351706,0.7995508141493542,0.8732876712328768,0.84,0.9687074829931973,0.781010719754977,0.640117994100295
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.8328025477707006,525,0.8812403100775194,0.8330658105939005,0.746268656716418,0.8201915924626126,0.8096866096866097,0.8752107925801011,0.8522727272727273,0.9666666666666667,0.7947932618683001,0.6637168141592921
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.8401273885350319,502,0.8853283066289663,0.8303130148270181,0.7700477960701009,0.8285630391753619,0.822533566841798,0.8983957219251337,0.8371824480369515,0.9585034013605442,0.7718223583460949,0.7128810226155359
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.8471337579617835,480,0.8910765322324548,0.8421913327882257,0.7777777777777778,0.8370152142661528,0.8356164383561644,0.9035087719298246,0.8327721661054994,0.954421768707483,0.7886676875957122,0.7295968534906588
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.8519108280254777,465,0.8922077922077922,0.8518815052041633,0.7883136852895951,0.8441343275671835,0.853416149068323,0.8926174496644296,0.8233404710920771,0.9346938775510204,0.8147013782542113,0.7561455260570304
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.8570063694267516,449,0.896551724137931,0.8557692307692307,0.7957099080694586,0.8493436209922068,0.8591022443890274,0.8974789915966387,0.8278427205100957,0.9374149659863945,0.8177641653905053,0.7659783677482792
"(0, 0, 0, 0, 1)","(0, 0, 0, 15)",0.8455414012738853,485,0.886371209596801,0.8512330946698489,0.781404549950544,0.8396696180723979,0.8687132593076421,0.8857615894039735,0.7860696517412935,0.9047619047619048,0.8192955589586524,0.7767944936086529
"(0, 0, 0, 0, 1)","(0, 0, 0, 16)",0.8414012738853504,498,0.8851035404141616,0.8444444444444444,0.7749259624876604,0.8348246491154221,0.8694225721784777,0.8764415156507414,0.777998017839445,0.9013605442176871,0.8147013782542113,0.7718780727630286
"(0, 0, 0, 1, 0)","(4, 8, 12, 0)",0.824203821656051,552,0.8909263357571925,0.79766860949209,0.7306889352818372,0.8064279601770399,0.8322504430005907,0.8740875912408759,0.778642936596218,0.9585034013605442,0.7335375191424196,0.688298918387414
"(0, 0, 0, 1, 0)","(4, 8, 14, 0)",0.8057324840764332,610,0.895024077046549,0.7191413237924866,0.7171470444553004,0.7771041484314454,0.8474164133738602,0.864516129032258,0.7126213592233009,0.9482993197278912,0.6156202143950995,0.7217305801376598
"(0, 0, 0, 1, 0)","(4, 8, 16, 0)",0.810828025477707,594,0.8994811932555123,0.7264653641207816,0.7246376811594203,0.7835280795119047,0.8593556381660471,0.864693446088795,0.7122507122507122,0.9435374149659864,0.6263399693721287,0.7374631268436578
"(0, 0, 0, 1, 0)","(4, 10, 12, 0)",0.8328025477707006,525,0.8909263357571925,0.8220757825370676,0.743037309511298,0.8186798092685194,0.8322504430005907,0.8894830659536542,0.7979683972911964,0.9585034013605442,0.7641653905053599,0.6951819075712881
"(0, 0, 0, 1, 0)","(4, 10, 14, 0)",0.8394904458598726,504,0.895024077046549,0.8326661329063251,0.7536534446764092,0.8271145515430943,0.8474164133738602,0.87248322147651,0.8031145717463849,0.9482993197278912,0.7963246554364471,0.7099311701081613
"(0, 0, 0, 1, 0)","(4, 10, 16, 0)",0.8550955414012739,455,0.900064892926671,0.8631090487238979,0.7769028871391076,0.8466922762632255,0.8604218362282878,0.871875,0.8333333333333334,0.9435374149659864,0.8545176110260337,0.727630285152409
"(0, 0, 0, 1, 0)","(4, 0, 12, 0)",0.8254777070063695,548,0.8909263357571925,0.8101667990468626,0.7244348762109796,0.8085093370050117,0.8322504430005907,0.8415841584158416,0.8002378121284186,0.9585034013605442,0.781010719754977,0.6617502458210422
"(0, 0, 0, 1, 0)","(4, 0, 14, 0)",0.8340764331210191,521,0.895024077046549,0.8237129485179407,0.740308019118428,0.8196816815609725,0.8474164133738602,0.8394276629570747,0.8048498845265589,0.9482993197278912,0.8085758039816233,0.6853490658800393
"(0, 0, 0, 1, 0)","(4, 0, 16, 0)",0.8385350318471337,507,0.8986070618723679,0.8282352941176471,0.748696558915537,0.8251796383018507,0.8577612863327149,0.8488745980707395,0.7968923418423973,0.9435374149659864,0.8085758039816233,0.7059980334316618
"(0, 0, 0, 1, 0)","(6, 8, 12, 0)",0.8222929936305733,558,0.8888888888888888,0.79766860949209,0.727367870225013,0.8046417895353306,0.8292108362779741,0.8740875912408759,0.7774049217002237,0.9578231292517007,0.7335375191424196,0.6833824975417896
"(0, 0, 0, 1, 0)","(6, 8, 14, 0)",0.8044585987261147,614,0.8925937800577108,0.7204301075268817,0.7158924205378973,0.7763054360408299,0.8441479684657368,0.8682505399568035,0.7120622568093385,0.9469387755102041,0.6156202143950995,0.7197640117994101
"(0, 0, 0, 1, 0)","(6, 8, 16, 0)",0.8146496815286625,582,0.8984096072703668,0.7392795883361921,0.7309394982784063,0.7895428979616551,0.8590937306021105,0.8401559454191033,0.7312992125984252,0.9414965986394558,0.6600306278713629,0.7305801376597837
"(0, 0, 0, 1, 0)","(6, 10, 12, 0)",0.8347133757961783,519,0.889520202020202,0.8348765432098766,0.7389867841409692,0.8211278431236826,0.8297997644287397,0.8413685847589425,0.8397997496871089,0.9585034013605442,0.8284839203675345,0.6597836774827925
"(0, 0, 0, 1, 0)","(6, 10, 14, 0)",0.817515923566879,573,0.8925937800577108,0.7713080168776372,0.7267206477732794,0.7968741482362091,0.8441479684657368,0.8590225563909775,0.748696558915537,0.9469387755102041,0.6998468606431854,0.7059980334316618
"(0, 0, 0, 1, 0)","(6, 10, 16, 0)",0.8286624203821656,538,0.8992852501624431,0.7879282218597063,0.7439271255060729,0.8103801991760742,0.8606965174129353,0.8429319371727748,0.7664233576642335,0.9414965986394558,0.7396630934150077,0.7227138643067846
"(0, 0, 0, 1, 0)","(6, 0, 12, 0)",0.8340764331210191,521,0.8888888888888888,0.8348765432098766,0.737885462555066,0.8205502982179439,0.8292108362779741,0.8413685847589425,0.8385481852315394,0.9578231292517007,0.8284839203675345,0.6588003933136677
"(0, 0, 0, 1, 0)","(6, 0, 14, 0)",0.8394904458598726,504,0.8925937800577108,0.8395256916996048,0.7521097046413502,0.8280763921328886,0.8441479684657368,0.8676470588235294,0.8111490329920364,0.9469387755102041,0.8131699846860643,0.7010816125860374
"(0, 0, 0, 1, 0)","(6, 0, 16, 0)",0.7923566878980892,652,0.8987670343932511,0.6591760299625468,0.7051643192488263,0.7543691278682081,0.859181141439206,0.8481927710843373,0.6747529200359389,0.9421768707482994,0.5390505359877489,0.7384464110127827
"(0, 0, 0, 1, 0)","(0, 8, 12, 0)",0.835031847133758,518,0.8847839699436444,0.8462757527733756,0.7401315789473685,0.8237304338881296,0.8196055684454756,0.8768472906403941,0.8364312267657993,0.9612244897959183,0.8177641653905053,0.6637168141592921
"(0, 0, 0, 1, 0)","(0, 8, 14, 0)",0.8031847133757962,618,0.8910891089108911,0.7204301075268817,0.7132316773241515,0.7749169645873081,0.839855508729681,0.8682505399568035,0.7135826771653543,0.9489795918367347,0.6156202143950995,0.7128810226155359
"(0, 0, 0, 1, 0)","(0, 8, 16, 0)",0.8105095541401274,595,0.898250162022035,0.7264653641207816,0.7253384912959381,0.7833513391462515,0.8576732673267327,0.864693446088795,0.7136060894386299,0.9428571428571428,0.6263399693721287,0.7374631268436578
"(0, 0, 0, 1, 0)","(0, 10, 12, 0)",0.8267515923566879,544,0.8867983693947946,0.8211382113821138,0.7275658248253627,0.8118341352007571,0.8225712623618383,0.8752166377816292,0.8021327014218009,0.9619047619047619,0.7733537519142419,0.6656833824975418
"(0, 0, 0, 1, 0)","(0, 10, 14, 0)",0.8127388535031848,588,0.8918660287081339,0.7613344739093242,0.7176113360323887,0.7902706128832823,0.8396396396396396,0.8624031007751938,0.7393117831074035,0.9510204081632653,0.6814701378254211,0.6971484759095379
"(0, 0, 0, 1, 0)","(0, 10, 16, 0)",0.8238853503184713,553,0.8968407479045777,0.7788057190916736,0.7370537958773253,0.8042334209578589,0.852328431372549,0.8638059701492538,0.7541152263374485,0.9462585034013605,0.7090352220520674,0.7207472959685349
