,0,1,2,3,4,5,6,7,8,9
H-alpha,0.0533,0.0447,0.0663,0.0464,0.0584,0.0566,0.067,0.0707,0.0676,0.0632
1.d SGF,0.1326,0.1265,0.134,0.1331,0.1283,0.1286,0.1261,0.1305,0.1386,0.1229
2.d SGF,0.0966,0.103,0.0967,0.1003,0.1092,0.1027,0.0964,0.0958,0.1013,0.0993
MM 4,0.0315,0.0237,0.0289,0.0226,0.0332,0.0224,0.0195,0.0263,0.0254,0.0226
MM 6,0.0142,0.0217,0.015,0.0155,0.0161,0.0164,0.0181,0.0186,0.0165,0.0179
MM 8,0.0172,0.017,0.0186,0.023,0.0202,0.014,0.0144,0.0149,0.0162,0.0153
MM 10,0.0169,0.0147,0.015,0.0177,0.0146,0.0148,0.0199,0.0126,0.0178,0.0138
MM 12,0.0194,0.0197,0.0139,0.0172,0.0151,0.02,0.017,0.0185,0.0167,0.0194
MM 14,0.0184,0.0174,0.0197,0.0176,0.015,0.0168,0.0183,0.0134,0.0171,0.0155
MM 16,0.0571,0.0527,0.0439,0.0426,0.0546,0.0516,0.0585,0.0465,0.0544,0.048
EMM 4,0.0319,0.0278,0.0347,0.0218,0.0259,0.0265,0.0337,0.024,0.0283,0.0283
EMM 6,0.0294,0.0204,0.0263,0.0317,0.0156,0.0242,0.0245,0.023,0.0247,0.0218
EMM 8,0.011,0.017,0.0082,0.0125,0.0167,0.0109,0.0101,0.0117,0.0071,0.0104
EMM 10,0.0103,0.0096,0.0075,0.0072,0.0079,0.0083,0.0055,0.0082,0.0056,0.0074
EMM 12,0.0103,0.0146,0.0122,0.0137,0.0101,0.0123,0.0088,0.0118,0.0106,0.0087
EMM 14,0.0162,0.0162,0.0181,0.0254,0.0196,0.0195,0.0145,0.0196,0.0159,0.0204
EMM 16,0.0285,0.0406,0.0351,0.034,0.0294,0.0387,0.0326,0.0337,0.0372,0.0348
MVar 5,0.0311,0.0311,0.0376,0.0423,0.0355,0.0353,0.0335,0.0357,0.0341,0.0371
MVar 6,0.022,0.0245,0.024,0.0208,0.0213,0.0218,0.0254,0.0239,0.024,0.0251
MVar 7,0.0173,0.0219,0.0202,0.0164,0.0178,0.0225,0.023,0.0215,0.0216,0.0223
MVar 8,0.0159,0.0133,0.0177,0.02,0.0165,0.0124,0.0161,0.0144,0.0162,0.0223
MVar 9,0.0147,0.0238,0.0145,0.0202,0.0182,0.0195,0.0207,0.0147,0.0171,0.0179
MVar 10,0.0105,0.0183,0.0144,0.0179,0.0178,0.0153,0.0178,0.0166,0.016,0.0208
MVar 11,0.0232,0.0159,0.0206,0.0277,0.0252,0.0286,0.0212,0.0192,0.0201,0.0268
MVar 12,0.025,0.0175,0.0256,0.0218,0.0293,0.0253,0.0221,0.0239,0.0138,0.02
MVar 13,0.0196,0.0356,0.0281,0.024,0.0276,0.0311,0.0286,0.0225,0.0318,0.0247
MVar 14,0.035,0.0348,0.0309,0.0276,0.0279,0.03,0.0324,0.0332,0.0311,0.0306
MVar 15,0.0231,0.0241,0.0249,0.0251,0.0159,0.0168,0.0208,0.0331,0.0196,0.0241
MVar 16,0.1678,0.1519,0.1472,0.154,0.1572,0.1571,0.1535,0.1613,0.1534,0.1586
