,0,1,2,3,4,5,6,7,8,9
H-alpha,0.0593,0.0583,0.0506,0.0618,0.0537,0.054,0.0532,0.0645,0.0576,0.0509
1.d SGF,0.1423,0.1359,0.1316,0.1367,0.1311,0.1341,0.1278,0.1276,0.1342,0.1477
2.d SGF,0.1057,0.105,0.1036,0.0992,0.1001,0.0991,0.1018,0.1057,0.0937,0.1025
MM 4,0.0196,0.0241,0.0238,0.0176,0.0205,0.0253,0.0227,0.0176,0.0244,0.0248
MM 6,0.0267,0.0273,0.0213,0.0231,0.0251,0.0214,0.0246,0.0222,0.0285,0.0275
MM 8,0.0269,0.0204,0.0156,0.0224,0.02,0.0184,0.0189,0.0216,0.0161,0.0219
MM 10,0.0127,0.0135,0.0188,0.0197,0.0199,0.0189,0.0146,0.0185,0.0176,0.0189
MM 12,0.0165,0.0157,0.015,0.0148,0.0211,0.018,0.0137,0.0165,0.0157,0.0123
MM 14,0.0202,0.017,0.0205,0.0209,0.0179,0.0215,0.0205,0.0125,0.0172,0.0185
MM 16,0.0582,0.055,0.0607,0.0557,0.0563,0.0563,0.0688,0.0574,0.0744,0.0494
EMM 4,0.0414,0.0355,0.0382,0.0382,0.0407,0.0432,0.0478,0.0308,0.0307,0.0424
EMM 6,0.0197,0.0214,0.0254,0.0177,0.0218,0.0236,0.0231,0.0251,0.0195,0.0198
EMM 8,0.0212,0.0218,0.025,0.0237,0.0206,0.0202,0.0253,0.0266,0.0169,0.0243
EMM 10,0.0108,0.0134,0.0128,0.0135,0.0207,0.0172,0.0133,0.011,0.0184,0.0113
EMM 12,0.012,0.0085,0.0098,0.0074,0.0149,0.0114,0.0069,0.0128,0.0098,0.0113
EMM 14,0.013,0.0112,0.0121,0.0155,0.0179,0.017,0.0088,0.0128,0.0156,0.0112
EMM 16,0.0313,0.0444,0.0414,0.044,0.0369,0.0359,0.0344,0.0368,0.0368,0.0343
MVar 5,0.0347,0.0318,0.0393,0.0378,0.0359,0.037,0.0372,0.0344,0.0257,0.0331
MVar 6,0.015,0.0156,0.0157,0.0164,0.0218,0.0184,0.013,0.0197,0.0163,0.0144
MVar 7,0.019,0.0129,0.0216,0.0169,0.0148,0.0193,0.0229,0.0228,0.025,0.0221
MVar 8,0.0196,0.0157,0.0176,0.0189,0.0171,0.0133,0.0179,0.0173,0.0147,0.0199
MVar 9,0.0185,0.018,0.022,0.0146,0.021,0.0206,0.0191,0.0174,0.0219,0.0127
MVar 10,0.0145,0.0201,0.0139,0.0178,0.0135,0.0149,0.0153,0.0173,0.0171,0.0168
MVar 11,0.0233,0.0244,0.024,0.0186,0.0253,0.0214,0.026,0.0249,0.028,0.028
MVar 12,0.0186,0.0198,0.0189,0.0195,0.0177,0.0203,0.0185,0.017,0.0183,0.019
MVar 13,0.0156,0.0212,0.0195,0.021,0.0153,0.0184,0.0171,0.018,0.0272,0.0257
MVar 14,0.0204,0.0289,0.0211,0.0253,0.029,0.0228,0.024,0.0201,0.0229,0.0227
MVar 15,0.0262,0.0264,0.0209,0.0244,0.0194,0.0232,0.0245,0.0256,0.0256,0.0234
MVar 16,0.1372,0.1367,0.1394,0.1367,0.1299,0.1349,0.1382,0.1454,0.1302,0.1331
