,0,1,2,3,4,5,6,7,8,9
H-alpha,0.0089,0.012,0.0106,0.0082,0.0121,0.0149,0.0138,0.0152,0.0152,0.012
1.d SGF,0.022,0.0204,0.0193,0.0206,0.0176,0.0166,0.0215,0.0195,0.0167,0.0179
2.d SGF,0.0057,0.0065,0.0062,0.0064,0.0074,0.0061,0.0066,0.0074,0.0082,0.0062
MM 4,0.0131,0.0139,0.0175,0.015,0.0156,0.0135,0.0222,0.0156,0.0116,0.0138
MM 6,0.0159,0.021,0.0277,0.0327,0.0185,0.0338,0.0231,0.0224,0.0176,0.0159
MM 8,0.0373,0.0327,0.0357,0.0297,0.0357,0.0517,0.044,0.0341,0.0389,0.0186
MM 10,0.0466,0.039,0.04,0.0436,0.0434,0.0457,0.0305,0.0412,0.0338,0.0409
MM 12,0.0442,0.0343,0.0247,0.0371,0.0488,0.0293,0.0245,0.0328,0.0407,0.0494
MM 14,0.0173,0.0264,0.0189,0.015,0.0183,0.0199,0.0203,0.0251,0.0293,0.0271
MM 16,0.0135,0.0126,0.0127,0.0101,0.0154,0.0177,0.0112,0.0141,0.0241,0.0209
EMM 4,0.0142,0.0136,0.0136,0.0164,0.0172,0.0167,0.0113,0.0135,0.0124,0.0132
EMM 6,0.0183,0.0176,0.0252,0.0285,0.0225,0.0237,0.033,0.0195,0.0152,0.0242
EMM 8,0.0479,0.0599,0.0537,0.0403,0.0326,0.049,0.0554,0.0535,0.0446,0.0348
EMM 10,0.0719,0.0721,0.0631,0.0662,0.0613,0.0574,0.0522,0.0577,0.0601,0.065
EMM 12,0.082,0.0958,0.0871,0.0895,0.0851,0.0633,0.0859,0.0642,0.0768,0.0764
EMM 14,0.0863,0.0826,0.0924,0.0714,0.0992,0.0865,0.1023,0.0903,0.0914,0.1049
EMM 16,0.0916,0.1045,0.091,0.1142,0.0923,0.0951,0.0914,0.1235,0.1151,0.1083
MVar 5,0.0022,0.0016,0.0032,0.0031,0.0031,0.0042,0.0017,0.0025,0.0023,0.0032
MVar 6,0.0051,0.0043,0.0033,0.0025,0.0044,0.0032,0.0038,0.0024,0.0051,0.0035
MVar 7,0.0062,0.0038,0.0045,0.0073,0.0037,0.0049,0.0057,0.0053,0.0052,0.0046
MVar 8,0.0062,0.0078,0.0067,0.0067,0.0061,0.0085,0.0079,0.005,0.0072,0.0073
MVar 9,0.0099,0.0136,0.0103,0.0111,0.0115,0.0122,0.0101,0.0091,0.0146,0.0109
MVar 10,0.0185,0.0164,0.0149,0.0164,0.0187,0.0153,0.017,0.0177,0.0186,0.0134
MVar 11,0.0203,0.0217,0.0212,0.02,0.0208,0.0303,0.026,0.0247,0.0204,0.0236
MVar 12,0.033,0.0258,0.031,0.0344,0.0312,0.0366,0.0307,0.034,0.0314,0.0331
MVar 13,0.0441,0.0438,0.044,0.0467,0.0375,0.04,0.0466,0.0416,0.0437,0.0425
MVar 14,0.0587,0.0474,0.0621,0.0603,0.0557,0.0529,0.049,0.0544,0.0534,0.0527
MVar 15,0.0773,0.0686,0.0688,0.072,0.0736,0.0703,0.0705,0.0722,0.0678,0.0685
MVar 16,0.0816,0.0803,0.0906,0.0744,0.0906,0.0807,0.0818,0.0815,0.0786,0.0873
