,0,1,2,3,4,5,6,7,8,9
H-alpha,0.0132,0.0083,0.0086,0.0048,0.0062,0.006,0.0147,0.0086,0.0101,0.0077
1.d SGF,0.0151,0.014,0.0191,0.0123,0.0135,0.0152,0.0162,0.0128,0.0178,0.013
2.d SGF,0.005,0.0045,0.0043,0.0037,0.0059,0.0045,0.0049,0.0041,0.0039,0.0046
MM 4,0.0205,0.0119,0.0112,0.0143,0.0256,0.0156,0.0177,0.0201,0.0115,0.0148
MM 6,0.0229,0.0203,0.0187,0.0151,0.0232,0.021,0.0222,0.0196,0.0149,0.0326
MM 8,0.0325,0.0395,0.036,0.0307,0.0304,0.0446,0.0293,0.0359,0.0425,0.0354
MM 10,0.0308,0.032,0.0428,0.0428,0.0289,0.0336,0.0244,0.029,0.0316,0.0272
MM 12,0.0217,0.0155,0.0298,0.0377,0.0162,0.0195,0.026,0.0189,0.042,0.0124
MM 14,0.0092,0.0133,0.0158,0.019,0.0087,0.0125,0.011,0.012,0.0252,0.0128
MM 16,0.0062,0.0102,0.0159,0.0107,0.013,0.0178,0.0122,0.0099,0.0167,0.022
EMM 4,0.0147,0.0302,0.0106,0.0183,0.0241,0.0222,0.0114,0.018,0.0173,0.0144
EMM 6,0.031,0.0306,0.0248,0.0302,0.0337,0.0243,0.038,0.0477,0.0221,0.0351
EMM 8,0.0537,0.0493,0.044,0.0393,0.0621,0.0434,0.0395,0.0472,0.0474,0.0619
EMM 10,0.0663,0.0582,0.0698,0.0707,0.083,0.0626,0.0641,0.0661,0.0727,0.0704
EMM 12,0.0883,0.0831,0.0654,0.0729,0.0745,0.0866,0.0874,0.1025,0.0816,0.0751
EMM 14,0.086,0.0893,0.1039,0.0863,0.0862,0.0865,0.0943,0.082,0.0838,0.0807
EMM 16,0.0585,0.0737,0.081,0.077,0.0592,0.0756,0.0762,0.0654,0.0812,0.0634
MVar 5,0.0036,0.0037,0.0031,0.0041,0.0027,0.0045,0.0034,0.0047,0.0029,0.0034
MVar 6,0.0065,0.0055,0.0039,0.0067,0.0078,0.004,0.0057,0.0071,0.0061,0.0046
MVar 7,0.0091,0.0078,0.0071,0.0062,0.009,0.0081,0.0082,0.0065,0.006,0.0079
MVar 8,0.0134,0.015,0.0112,0.0142,0.0104,0.015,0.0102,0.0112,0.0094,0.0098
MVar 9,0.0175,0.0159,0.0193,0.0188,0.0137,0.0168,0.0134,0.0156,0.0116,0.0155
MVar 10,0.0215,0.0256,0.0228,0.0213,0.0249,0.0197,0.028,0.0244,0.0234,0.0238
MVar 11,0.0336,0.0382,0.0311,0.0301,0.0321,0.0363,0.0363,0.038,0.033,0.0341
MVar 12,0.0476,0.0415,0.0375,0.0449,0.0477,0.0487,0.037,0.0418,0.0405,0.0506
MVar 13,0.0561,0.0565,0.0558,0.0454,0.0444,0.0511,0.0501,0.046,0.0468,0.0522
MVar 14,0.0638,0.0646,0.0633,0.0644,0.0615,0.0582,0.0683,0.0614,0.0622,0.0636
MVar 15,0.0752,0.063,0.0695,0.0659,0.0682,0.0765,0.0807,0.0694,0.071,0.0755
MVar 16,0.0766,0.0789,0.0739,0.0919,0.083,0.0696,0.0691,0.0739,0.0649,0.0756
