Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.7928823340814364,646,0.9042033235581622,0.6946484784889821,0.4895222129086337,0.6961246716519262,0.8424408014571949,0.6018181818181818,0.7828418230563002,0.9757383966244726,0.8213399503722084,0.35609756097560974
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.8031420327027894,614,0.9082862060486845,0.7040169133192389,0.5306122448979592,0.7143051214219609,0.8507600184246891,0.6132596685082873,0.8024691358024691,0.9741561181434599,0.826302729528536,0.39634146341463417
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.8307149727476756,528,0.9133663366336634,0.7862903225806451,0.5903814262023217,0.7633460284722101,0.8605410447761194,0.6621392190152802,0.9222797927461139,0.9731012658227848,0.967741935483871,0.43414634146341463
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.8396922090413594,500,0.9185554171855542,0.7906976744186046,0.6223662884927067,0.7772064600322884,0.8702218027371401,0.6672354948805461,0.927536231884058,0.9725738396624473,0.9702233250620348,0.4682926829268293
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.8477075985892915,475,0.9240030097817908,0.7934893184130214,0.6498422712933754,0.7891115331627292,0.8809182209469153,0.6724137931034483,0.9196428571428571,0.9715189873417721,0.967741935483871,0.5024390243902439
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.8544405258095543,454,0.9297625063163214,0.7848605577689243,0.6755485893416928,0.7967238844756461,0.8923375363724539,0.6555740432612313,0.9451754385964912,0.9704641350210971,0.9776674937965261,0.525609756097561
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.8621352997755691,430,0.9348268839103869,0.7820895522388059,0.7049808429118773,0.8072990930203567,0.9035433070866141,0.6528239202657807,0.9484536082474226,0.9683544303797469,0.9751861042183623,0.5609756097560976
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.8701506893235011,405,0.9399692149820421,0.7820895522388059,0.7325842696629213,0.8182143456279231,0.9150849150849151,0.6528239202657807,0.9495145631067962,0.9662447257383966,0.9751861042183623,0.5963414634146341
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.876883616543764,384,0.9426652892561983,0.7836490528414756,0.7586206896551724,0.8283116772509488,0.923582995951417,0.655,0.9521178637200737,0.9625527426160337,0.9751861042183623,0.6304878048780488
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.8829753126001924,365,0.9442998438313378,0.7836490528414756,0.7853553481694185,0.8377680816140773,0.9321685508735869,0.655,0.9546247818499127,0.9567510548523207,0.9751861042183623,0.6670731707317074
