Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 12, 6)",0.5985021165744058,1233,0.6810477657935285,0.48639736191261335,0.5649378482640377,0.5774609919900598,0.572168284789644,0.3729456384323641,0.8965986394557823,0.8411037107516651,0.6990521327014217,0.4123904881101377
"(0, 0, 0, 1, 0)","(0, 0, 12, 6)",0.6089221751872355,1201,0.7517157852240614,0.47512263489838824,0.5361930294906166,0.587677149871022,0.652875175315568,0.3373134328358209,0.9375,0.8858230256898192,0.8033175355450237,0.37546933667083854
"(0, 0, 0, 1, 1)","(0, 0, 12, 6)",0.5786388798436991,1294,0.6841448189762797,0.41853932584269665,0.5676025917926566,0.556762245537211,0.6079881656804734,0.29740518962075846,0.9163179916317992,0.7821122740247384,0.7061611374407583,0.4111389236545682
"(0, 0, 1, 0, 0)","(0, 0, 12, 6)",0.5945945945945946,1245,0.7488188976377953,0.469601677148847,0.4965453707968678,0.5716553151945033,0.638683680322364,0.3330029732408325,0.9406631762652705,0.9048525214081827,0.7962085308056872,0.33729662077596995
"(0, 0, 1, 0, 1)","(0, 0, 12, 6)",0.5779876261803972,1296,0.6854575163398693,0.43304843304843305,0.5519650655021834,0.5568236716301619,0.6005726556907659,0.3095723014256619,0.9132947976878613,0.7982873453853473,0.7203791469194313,0.3954943679599499
"(0, 0, 1, 1, 0)","(0, 0, 12, 6)",0.6486486486486487,1079,0.7369330453563715,0.49246231155778897,0.6540673788003287,0.6278209119048297,0.6748417721518988,0.3532440782698249,0.9521531100478469,0.8116079923882017,0.8127962085308057,0.4981226533166458
"(0, 0, 1, 1, 1)","(0, 0, 12, 6)",0.5591012699446435,1354,0.6947996589940324,0.3836150845253576,0.537643932683791,0.5386862254010604,0.6293436293436293,0.26433691756272404,0.9196969696969697,0.7754519505233112,0.6990521327014217,0.37984981226533165
"(0, 1, 0, 0, 0)","(0, 0, 12, 6)",0.5776619993487463,1297,0.6788571428571428,0.5291557876414273,0.4890202702702703,0.5656777335896135,0.5660736975857688,0.41815680880330125,0.7519480519480519,0.8477640342530923,0.7203791469194313,0.3623279098873592
"(0, 1, 0, 0, 1)","(0, 0, 12, 6)",0.5815695213285574,1285,0.6571552096843926,0.46920821114369504,0.5728194726166329,0.5663942978149068,0.6022187004754358,0.33970276008492567,0.8143021914648212,0.7231208372978116,0.7582938388625592,0.44180225281602004
"(0, 1, 0, 1, 0)","(0, 0, 12, 6)",0.6040377727124715,1216,0.7365050320219579,0.452856159669649,0.5761086695964842,0.588489953762697,0.7092511013215859,0.31910766246362754,0.7966850828729282,0.7659372026641293,0.7796208530805687,0.45118898623279097
"(0, 1, 0, 1, 1)","(0, 0, 12, 6)",0.5711494627157278,1317,0.6737523105360443,0.4087193460490463,0.5776892430278885,0.5533869665376597,0.6549865229110512,0.28680688336520077,0.7949561403508771,0.6936251189343482,0.7109004739336493,0.45369211514392993
