Kombinace příznaků,Délka úseků,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.6161854678650889,1220.2,0.617884352233639,0.44276920898226313,0.26781559613579053,0.44282305245056425,0.5089539519880637,0.45355583238759456,0.6351472924151278,0.7963998710727478,0.4722902744984139,0.23914531834590796
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.6082882599403036,1246.1,0.6763676717586311,0.4823954288631029,0.21694904411266655,0.45857071491146684,0.5523506022709535,0.48788608234207126,0.5885533986859327,0.8898203771456302,0.5183464171896964,0.15026542334371462
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.6231514669368374,1196.9,0.6225590847923252,0.45115189050171034,0.2907566405610047,0.45482253861834676,0.51538745630525,0.4665622329415312,0.6322859438187456,0.7960730557539948,0.4827438750083359,0.25561005146643767
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.6212142211477063,1202.8,0.6248740373190492,0.48907280523730384,0.2936018969391453,0.46918291316516614,0.518406311912041,0.49839824910964053,0.6270597411882554,0.7960730557539948,0.5265977975708155,0.2416021659331316
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.6249270298319372,1190.2,0.6282479430909285,0.5548700408233103,0.2612699191238706,0.4814626343460365,0.5231407778452912,0.5412606099852029,0.664763514501004,0.7958235835133675,0.6159396997426592,0.21230391414634284
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.6268529697348153,1183.6,0.6313932582740266,0.5569458000338472,0.26385763903334564,0.48406556578040644,0.5276308287123869,0.5409631617404034,0.6616259198383729,0.7956599428840907,0.6236002012029298,0.2145586247833823
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.6272173899420437,1183.1,0.6337669772492567,0.5541678830529793,0.26234824014864827,0.48342770015029474,0.5310649780119252,0.5354852037601575,0.6605397198021391,0.7956865972119976,0.6257811588947177,0.21396106023639505
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.6258511356918354,1186.8,0.6348745968851968,0.5498271726523047,0.2583875046403431,0.48102975805928166,0.5325739497152144,0.5301268285474017,0.6586111737571534,0.7954789637941481,0.6246752545155011,0.21184728641428582
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.6245457925264001,1191.0,0.6362314905775213,0.5466006169590274,0.25249904251853894,0.4784437166850292,0.5345200929267537,0.5241004926991001,0.6565461387564518,0.7954975567452325,0.6249546102739528,0.20796335743758468
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.6249594303568421,1190.0,0.6369743725286685,0.5474583862333089,0.2531075408957529,0.47918009988591015,0.5355791606985469,0.5241485228876395,0.655425044104153,0.7955242110731392,0.6277676482723101,0.20836623274978008
"(0, 0, 0, 0, 1)","(0, 0, 0, 15)",0.6246870783735099,1191.1,0.637940737328148,0.5473742771610197,0.25018776933159387,0.4785009279402539,0.5370944143308697,0.5222006171620285,0.6532796421922173,0.7953165776552898,0.6290753247008135,0.2068176575691716
"(0, 0, 0, 0, 1)","(0, 0, 0, 16)",0.6242978412272674,1191.9,0.6364263010854434,0.5508165476239275,0.24852151916329338,0.4785881226242215,0.5349285772667336,0.5263494095628525,0.6522382846765502,0.7953165776552898,0.6294673019339877,0.20573849504716737
"(0, 0, 0, 1, 0)","(4, 8, 12, 0)",0.6545563317090167,1088.1,0.7249940837405024,0.5539005137992488,0.2799008190454308,0.5195984721950606,0.6240147852860063,0.5310717862365891,0.6308913308400805,0.8830173470590632,0.6348232686262711,0.2299051368131763
"(0, 0, 0, 1, 0)","(4, 8, 14, 0)",0.6538399094688908,1090.7,0.7233844156350466,0.5540453930715743,0.27868268366574506,0.5187041641241221,0.6215335280671607,0.5329035666419708,0.6312179587979788,0.8834050156045503,0.6330498356412828,0.22892796752015454
"(0, 0, 0, 1, 0)","(4, 8, 16, 0)",0.6529677137141239,1093.7,0.7220138880705179,0.5543777475235254,0.2765442790284309,0.517645304874158,0.6194607622140605,0.5335462563761747,0.6310997208134393,0.8836257252876134,0.6311626838010513,0.22753063905520135
"(0, 0, 0, 1, 0)","(4, 10, 12, 0)",0.654673505838285,1088.3,0.7255340308775409,0.5525270120488004,0.27860621833028776,0.518889087085543,0.6248840312433102,0.5296887942392026,0.6317816023806301,0.8830707109630369,0.6364483984016187,0.23095295846820485
"(0, 0, 0, 1, 0)","(4, 10, 14, 0)",0.6534540983190242,1092.3,0.7247052611763255,0.5515489079856188,0.27589996743824924,0.5173847122000645,0.623602965348086,0.5296601783453779,0.6311524727033936,0.8835144078050214,0.6341933139597626,0.2291393658147637
"(0, 0, 0, 1, 0)","(4, 10, 16, 0)",0.6528625462550133,1094.3,0.72334994941861,0.5519281070977233,0.27405724813755505,0.5164451015512961,0.621661963048021,0.5303751928487589,0.63063135735622,0.8834915061864888,0.6327566284826552,0.22793968170218112
