Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.6625489605302802,1120,0.7904483430799221,0.6513202437373053,0.1816461684011353,0.5411382517394542,0.6758333333333333,0.5844471445929527,1.0,0.9518779342723005,0.735474006116208,0.09989594172736732
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.6658632118107863,1109,0.791106767652089,0.6544715447154471,0.20205799812909261,0.5492121034988763,0.6776894097948932,0.5875912408759124,1.0,0.9501173708920188,0.7385321100917431,0.11238293444328824
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.6691774630912926,1098,0.7920743639921722,0.6571428571428571,0.22037037037037038,0.5565291971684666,0.6791107382550335,0.5919117647058824,1.0,0.9501173708920188,0.7385321100917431,0.12382934443288242
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.6724917143717988,1087,0.7950980392156862,0.6553133514986376,0.23669724770642203,0.5623695461402486,0.6826599326599326,0.5909090909090909,1.0,0.9518779342723005,0.735474006116208,0.13423517169614985
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.6742994877975294,1081,0.7973438268568618,0.6522033898305085,0.2479489516864175,0.5658320561245959,0.6862828111769687,0.5858708891595615,1.0,0.9512910798122066,0.735474006116208,0.14151925078043703
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.6736968966556192,1083,0.7998027613412229,0.6437710437710438,0.2479489516864175,0.5638409189328947,0.689625850340136,0.5752105896510229,1.0,0.9518779342723005,0.7308868501529052,0.14151925078043703
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.6721904188008436,1088,0.8019728729963008,0.6312247644683715,0.2479489516864175,0.5603821963836967,0.691620586984262,0.5637019230769231,1.0,0.954225352112676,0.7171253822629969,0.14151925078043703
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.6709852365170232,1092,0.8050470064324592,0.6185704742818972,0.24931756141947226,0.5576450140446095,0.6958939264328486,0.5492289442467378,0.9927536231884058,0.95481220657277,0.7079510703363915,0.1425598335067638
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.6697800542332027,1096,0.8085211790933862,0.6049300466355763,0.24909090909090909,0.5541807116066239,0.6995285040720103,0.5360094451003542,0.9856115107913669,0.9577464788732394,0.6941896024464832,0.1425598335067638
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.667670985236517,1103,0.8108108108108109,0.5928381962864722,0.24430264357338194,0.5493172168902216,0.7020180334907685,0.5234192037470726,0.9852941176470589,0.9595070422535211,0.6834862385321101,0.13943808532778357
"(0, 0, 0, 0, 1)","(0, 0, 0, 15)",0.6679722808074722,1102,0.8148888333749688,0.5859375,0.24749772520473157,0.5494413528599001,0.7094388864723793,0.5102040816326531,0.9855072463768116,0.9571596244131455,0.6880733944954128,0.14151925078043703
"(0, 0, 0, 0, 1)","(0, 0, 0, 16)",0.6691774630912926,1098,0.819713351772693,0.5807692307692308,0.2506811989100817,0.5503879271506685,0.7171139463264409,0.5,0.9857142857142858,0.9565727699530516,0.6926605504587156,0.14360041623309053
"(0, 0, 0, 1, 0)","(4, 8, 12, 0)",0.7092497740283218,965,0.8212261720762494,0.7199504337050805,0.3134851138353765,0.6182205732055688,0.7318640955004592,0.6052083333333333,0.988950276243094,0.9354460093896714,0.8883792048929664,0.186264308012487
"(0, 0, 0, 1, 0)","(4, 8, 14, 0)",0.7092497740283218,965,0.8199588477366255,0.7218419415059116,0.31496062992125984,0.6189204730545991,0.7298534798534798,0.608604407135362,0.989010989010989,0.9354460093896714,0.8868501529051988,0.18730489073881373
