n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8471337579617835,480,0.8954737870400521,0.8453947368421053,0.7737079779227296,0.8381921672682958,0.8588382261086821,0.9129662522202486,0.7899590163934426,0.935374149659864,0.7871362940275651,0.7581120943952803
10,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8547770700636943,456,0.8943141663989721,0.8698464025869038,0.7813471502590673,0.8485025730816478,0.8472306755934267,0.9212328767123288,0.8258488499452354,0.9469387755102041,0.8238897396630934,0.7413962635201573
15,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8624203821656051,432,0.8985602094240838,0.8766025641025641,0.7975708502024291,0.857577874576359,0.8656998738965952,0.9193277310924369,0.821689259645464,0.9340136054421768,0.8376722817764165,0.7748279252704031
20,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.85828025477707,445,0.8961463096015676,0.8663967611336032,0.794755421079173,0.8524328306047813,0.8618090452261307,0.9192439862542955,0.8157349896480331,0.9333333333333333,0.8192955589586524,0.7748279252704031
25,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8547770700636943,456,0.8927313480627602,0.872,0.7813319349764027,0.8486877610130543,0.8433151845130067,0.9128978224455612,0.8370786516853933,0.9482993197278912,0.8346094946401225,0.7325467059980334
30,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8503184713375797,470,0.8907348242811501,0.8631578947368421,0.7759791122715405,0.8432906104298442,0.8397590361445784,0.915807560137457,0.8273942093541202,0.9482993197278912,0.8162327718223583,0.7305801376597837
35,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8595541401273885,441,0.896640826873385,0.869983948635634,0.7936016511867905,0.8534088088986032,0.8536285362853628,0.9139966273187183,0.8349619978284474,0.9442176870748299,0.8300153139356815,0.7561455260570304
40,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.860828025477707,437,0.900390625,0.867741935483871,0.7947154471544715,0.8542826692127807,0.8632958801498127,0.9165247018739353,0.8222923238696109,0.9408163265306122,0.8238897396630934,0.7689282202556539
45,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8573248407643312,448,0.8969305331179321,0.8659127625201939,0.7889060092449923,0.8505831016277061,0.8541538461538462,0.9162393162393162,0.8258064516129032,0.9442176870748299,0.8208269525267994,0.7551622418879056
50,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8515923566878981,466,0.8939588688946015,0.8615635179153095,0.777319587628866,0.8442806581462591,0.8471376370280146,0.92,0.8169014084507042,0.9462585034013605,0.8101071975497703,0.7413962635201573
55,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8531847133757962,461,0.8949566334725345,0.8606158833063209,0.7811691670977755,0.8455805612922104,0.847839318320146,0.9139414802065404,0.824235807860262,0.9476190476190476,0.8131699846860643,0.7423795476892822
60,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8550955414012739,455,0.8967303334412431,0.8617886178861789,0.7853136155022947,0.8479441889432389,0.8554663372452131,0.9185441941074524,0.815677966101695,0.9421768707482994,0.8116385911179173,0.7571288102261554
65,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8519108280254777,465,0.8934663662697135,0.8649959579628133,0.7768595041322314,0.8451072761215861,0.8478924862553452,0.916095890410959,0.8182807399347116,0.9442176870748299,0.8192955589586524,0.7394296951819076
70,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8550955414012739,455,0.8961501132319638,0.8649959579628133,0.7838114754098361,0.8483191822015378,0.8544108574953733,0.916095890410959,0.8181818181818182,0.9421768707482994,0.8192955589586524,0.7522123893805309
75,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.85828025477707,445,0.8955706433882962,0.8713826366559485,0.7905301080802882,0.8524944627081776,0.8533579790511399,0.9170896785109983,0.8293736501079914,0.9421768707482994,0.8300153139356815,0.7551622418879056
80,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8560509554140128,452,0.8965293545248135,0.8647773279352227,0.7869520897043832,0.8494195907214732,0.856788592684439,0.9175257731958762,0.816931216931217,0.9401360544217687,0.8177641653905053,0.7590953785644051
85,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.856687898089172,450,0.8952998379254457,0.8697749196141479,0.787288569964121,0.8507877758345715,0.8551083591331269,0.9153976311336718,0.8222698072805139,0.9394557823129251,0.8284839203675345,0.7551622418879056
90,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.856687898089172,450,0.896551724137931,0.8684422921711057,0.7853457172342622,0.850113244514433,0.8518064911206369,0.9180887372013652,0.8262757871878393,0.9462585034013605,0.8238897396630934,0.7482792527040315
95,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8557324840764331,453,0.8959276018099548,0.8656957928802589,0.7856410256410257,0.8490881401104131,0.853448275862069,0.9176672384219554,0.8210075026795284,0.9428571428571428,0.8192955589586524,0.7531956735496559
100,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8550955414012739,455,0.8965740142210731,0.864516129032258,0.7831449126413155,0.8480783519648822,0.854064039408867,0.9131175468483816,0.8202368137782562,0.9435374149659864,0.8208269525267994,0.7492625368731564
105,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.856687898089172,450,0.8984198645598194,0.8629359286293593,0.7862281603288798,0.8491946511726862,0.8540772532188842,0.9172413793103448,0.8234660925726588,0.9476190476190476,0.8147013782542113,0.7522123893805309
110,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8560509554140128,452,0.8976683937823834,0.8645579886455799,0.7850944359367024,0.8491069394548885,0.8566131025957973,0.9189655172413793,0.8163481953290871,0.9428571428571428,0.8162327718223583,0.7561455260570304
