n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9110989910008181,326,0.9344110854503465,0.9360824742268041,0.8495575221238938,0.9066836939336814,0.9199636198271942,0.8884540117416829,0.9028213166144201,0.9493195682778038,0.9891067538126361,0.8022284122562674
10,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9037360239978184,353,0.9283654912397428,0.9474789915966386,0.8222103577148959,0.8993516135170925,0.8801513877207737,0.9148073022312373,0.9673366834170855,0.9821679962458939,0.9825708061002179,0.7149489322191273
15,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9135533133351513,317,0.9361223571749887,0.9445026178010472,0.8463528194516295,0.9089925981425552,0.8989200863930885,0.9092741935483871,0.955607476635514,0.97653683716565,0.9825708061002179,0.7595171773444754
20,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9086446686664849,335,0.9330655957161981,0.9424083769633508,0.8339483394833949,0.9031407707209812,0.8894087622288388,0.907258064516129,0.9646341463414634,0.9812294697325199,0.9803921568627451,0.734447539461467
25,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9121898009271885,322,0.9350358422939068,0.9452631578947368,0.8427083333333333,0.9076691111739924,0.8945563651950279,0.9144602851323829,0.9596678529062871,0.9793524167057719,0.9782135076252724,0.7511606313834726
30,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9116443959640033,324,0.9344078800089546,0.9474789915966386,0.8407310704960835,0.9075393140338922,0.8934075342465754,0.9148073022312373,0.9606205250596659,0.9793524167057719,0.9825708061002179,0.7474466109563602
35,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9116443959640033,324,0.9343784994400895,0.9464847848898216,0.8413361169102297,0.9073998004133803,0.8937446443873179,0.9129554655870445,0.9606674612634089,0.9788831534490849,0.9825708061002179,0.7483751160631383
40,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9146441232615217,313,0.936851601262968,0.9445026178010472,0.8493573264781491,0.9102371818473881,0.9018671298306556,0.9092741935483871,0.9516129032258065,0.974659784138902,0.9825708061002179,0.7669452181987001
45,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.915734933187892,309,0.9372593431483579,0.9453781512605042,0.8530757498729029,0.9119044147605884,0.9058669001751314,0.9127789046653144,0.9426966292134832,0.970905678085406,0.9803921568627451,0.7790157845868152
50,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9132806108535587,318,0.935759209344115,0.9452631578947368,0.8457556935817805,0.9089260202735442,0.8974579922447221,0.9144602851323829,0.9555555555555556,0.9774753636790239,0.9782135076252724,0.7585886722376973
55,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9108262885192255,327,0.9337227589305774,0.9454926624737946,0.8408501814411612,0.9066885342818445,0.8956896551724138,0.9111111111111111,0.9518779342723005,0.9751290473955889,0.9825708061002179,0.7530176415970288
60,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9080992637032997,337,0.9326193663543061,0.9424083769633508,0.8328940432261466,0.9026405955146012,0.8889834113143343,0.907258064516129,0.9634146341463414,0.980760206475833,0.9803921568627451,0.7335190343546889
65,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9091900736296701,333,0.932827493862977,0.9453781512605042,0.8353498158863756,0.9045184870032856,0.8893617021276595,0.9127789046653144,0.9635922330097088,0.980760206475833,0.9803921568627451,0.7372330547818013
70,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9135533133351513,317,0.9362657091561939,0.944386149003148,0.8457142857142858,0.9087887146245426,0.8972043010752688,0.9109311740890689,0.9599056603773585,0.9788831534490849,0.9803921568627451,0.755803156917363
75,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9072811562585219,340,0.93128067826863,0.9453781512605042,0.8315789473684211,0.9027459256325184,0.887707358570821,0.9127789046653144,0.959902794653706,0.9793524167057719,0.9803921568627451,0.7335190343546889
