n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8697452229299363,409,0.8991315965263861,0.8929133858267716,0.8115079365079365,0.8678509729536982,0.8832020997375328,0.9189627228525121,0.8188188188188188,0.9156462585034013,0.8683001531393568,0.8043264503441495
10,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8668789808917198,418,0.8975545274289491,0.8927720413026211,0.8040100250626566,0.8647788645980756,0.8727506426735219,0.9273927392739274,0.820040899795501,0.9238095238095239,0.8606431852986217,0.7885939036381514
20,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8665605095541401,419,0.8975803778588002,0.8947368421052632,0.8023892483822798,0.8649021561154476,0.8752424046541694,0.9334442595673876,0.8125,0.9210884353741496,0.8591117917304747,0.7925270403146509
30,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8662420382165605,420,0.8966425279789335,0.8957836117740652,0.801007556675063,0.864477898809354,0.8686224489795918,0.9321192052980133,0.8212809917355371,0.926530612244898,0.8621745788667687,0.7817109144542773
40,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8662420382165605,420,0.8974358974358975,0.8962787015043547,0.7989873417721519,0.864233980237468,0.8683206106870229,0.9278688524590164,0.8235908141962421,0.9285714285714286,0.8667687595712098,0.775811209439528
50,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8646496815286624,425,0.8961640211640212,0.8938193343898574,0.79839518555667,0.8627928470368497,0.8719433719433719,0.9261083743842364,0.8147389969293757,0.9217687074829932,0.8637059724349158,0.7826941986234022
60,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8671974522292993,417,0.8982271831910703,0.8974763406940063,0.7995930824008138,0.8650988687619635,0.868020304568528,0.9252032520325203,0.8282402528977871,0.9306122448979591,0.8713629402756509,0.7728613569321534
70,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8687898089171975,412,0.8991430454845089,0.8962787015043547,0.8048411497730711,0.8667542989206449,0.8721227621483376,0.9278688524590164,0.8260869565217391,0.927891156462585,0.8667687595712098,0.7846607669616519
80,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8681528662420382,414,0.8978512396694215,0.8999211977935382,0.8026183282980867,0.8667969219203489,0.8733118971061093,0.926948051948052,0.8224974200206399,0.9238095238095239,0.8744257274119449,0.783677482792527
90,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8671974522292993,417,0.8977572559366754,0.8950276243093923,0.8026249369005553,0.865136605715541,0.8713188220230473,0.9234527687296417,0.8246887966804979,0.9258503401360544,0.8683001531393568,0.7817109144542773
100,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8681528662420382,414,0.8990463663268662,0.8964426877470356,0.8024316109422492,0.8659735550053836,0.8701464035646085,0.9264705882352942,0.8275862068965517,0.9299319727891157,0.8683001531393568,0.7787610619469026
110,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8668789808917198,418,0.8969616908850726,0.8957345971563981,0.8026183282980867,0.8651048721131858,0.8716302952503209,0.9249592169657422,0.8224974200206399,0.9238095238095239,0.8683001531393568,0.783677482792527
120,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8678343949044586,415,0.8976637051661731,0.8978622327790974,0.8028311425682507,0.8661190268378404,0.8693435309114086,0.9295081967213115,0.826222684703434,0.927891156462585,0.8683001531393568,0.7807276302851525
130,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8665605095541401,419,0.8977310095363368,0.8938193343898574,0.8012139605462822,0.8642547681574921,0.8688733290897518,0.9261083743842364,0.825,0.9285714285714286,0.8637059724349158,0.7787610619469026
140,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8681528662420382,414,0.8987132959419334,0.8964426877470356,0.8034274193548387,0.8661944676812693,0.8725176169122357,0.9264705882352942,0.8241985522233712,0.926530612244898,0.8683001531393568,0.783677482792527
150,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8662420382165605,420,0.8970055939453768,0.8957345971563981,0.8,0.8642467303672584,0.868706182281708,0.9249592169657422,0.824634655532359,0.9272108843537415,0.8683001531393568,0.7767944936086529
160,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8668789808917198,418,0.8973684210526316,0.897537728355838,0.8006057546693589,0.8651706346926096,0.8687898089171975,0.9323432343234324,0.8226141078838174,0.927891156462585,0.8652373660030628,0.7797443461160275
