n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8712458286985539,463,0.8894269572235673,0.9238210399032648,0.8293051359516617,0.880851044359498,0.9052573932092004,0.9646464646464646,0.7991266375545851,0.8741406663141195,0.8863109048723898,0.8618524332810047
10,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.85734149054505,513,0.8857447944474106,0.8848484848484849,0.8080885158336513,0.8595605983765156,0.8943396226415095,0.9263959390862944,0.7861915367483296,0.8773135906927552,0.8468677494199536,0.8312401883830455
15,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8776418242491657,440,0.8959778085991679,0.9127837514934289,0.8429090909090909,0.8838902170005626,0.9422403733955659,0.9408866995073891,0.785230352303523,0.8540454785827605,0.8863109048723898,0.9097331240188383
20,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8540044493882091,525,0.8825413774693006,0.8831488314883149,0.804405620964679,0.8566986099740982,0.8911051212938005,0.9397905759162304,0.7792494481236203,0.8741406663141195,0.8329466357308585,0.8312401883830455
25,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8615127919911012,498,0.8912337662337663,0.8712871287128713,0.8177083333333334,0.860076409426657,0.9124653739612189,0.9336870026525199,0.7772277227722773,0.8709677419354839,0.8167053364269141,0.8626373626373627
30,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8553948832035595,520,0.8850544199628352,0.8836633663366337,0.8039740160489109,0.8575639341161265,0.8885927505330491,0.946949602122016,0.7833209233060313,0.881544156530936,0.8283062645011601,0.82574568288854
35,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8623470522803115,495,0.8906838987614432,0.8790123456790123,0.8178410794602698,0.8625124413002418,0.9072956664838179,0.9393139841688655,0.7826398852223816,0.8746694870438921,0.8259860788863109,0.8563579277864992
40,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8651279199110122,485,0.8895442359249329,0.902291917973462,0.8188378275731105,0.8702246604905017,0.9021207177814029,0.9396984924623115,0.7932303164091243,0.8773135906927552,0.8677494199535963,0.8461538461538461
45,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8590100111234705,507,0.8888888888888888,0.8756218905472637,0.8116490166414524,0.8587199320258683,0.8980032379924446,0.9436997319034852,0.7832116788321168,0.8799576943416182,0.8167053364269141,0.8422291993720565
50,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8656840934371524,483,0.8954496208017335,0.8653366583541147,0.8250555967383247,0.8619472919647243,0.917823431426985,0.9353099730458221,0.7816011235955056,0.8741406663141195,0.8051044083526682,0.8736263736263736
55,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8598442714126807,504,0.8884120171673819,0.8806888068880688,0.8132780082987552,0.8607929441180687,0.9014697876973327,0.93717277486911,0.7828612926652142,0.8757271285034374,0.8306264501160093,0.8461538461538461
60,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8576195773081201,512,0.8872901678657075,0.8773234200743495,0.8092705167173252,0.8579613682191273,0.8941997851772288,0.9414893617021277,0.7842415316642121,0.8804865150713908,0.8213457076566125,0.8359497645211931
65,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8720800889877642,460,0.8986137537374287,0.8858895705521472,0.8317272053372868,0.8720768432089544,0.924496644295302,0.9401041666666666,0.7879213483146067,0.8741406663141195,0.8375870069605569,0.880690737833595
70,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8567853170189099,515,0.8858131487889274,0.8837209302325582,0.8067226890756303,0.8587522560323718,0.8917470525187567,0.9352331606217616,0.7857142857142857,0.8799576943416182,0.8375870069605569,0.8288854003139717
75,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.85734149054505,513,0.8874066168623266,0.8782287822878229,0.8080577727099962,0.8578977239533819,0.8955304254173398,0.9345549738219895,0.7833456153279292,0.8794288736118456,0.8283062645011601,0.8343799058084772
80,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8659621802002224,482,0.8930581613508443,0.8875305623471883,0.82103670071888,0.8672084748056376,0.9054347826086957,0.937984496124031,0.7925493060628196,0.8810153358011634,0.8422273781902552,0.8516483516483516
85,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8609566184649611,500,0.8912751677852349,0.8709677419354839,0.8154829011649756,0.8592419369618982,0.9051254089422028,0.936,0.7822638788752704,0.8778424114225277,0.814385150812065,0.8516483516483516
90,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8656840934371524,483,0.891520861372813,0.8942891859052248,0.8206480783722683,0.8688193752167687,0.9078947368421053,0.9387755102040817,0.7891304347826087,0.8757271285034374,0.8538283062645011,0.8547880690737834
95,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8654060066740823,484,0.8935596874157908,0.8820638820638821,0.8211473565804275,0.8655903086867002,0.910989010989011,0.9373368146214099,0.7860732232591529,0.8767847699629826,0.8329466357308585,0.859497645211931
100,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8626251390433816,494,0.8931462493254182,0.8692403486924035,0.8184867685426761,0.8602911221868327,0.9118457300275482,0.9381720430107527,0.7792760823278921,0.8751983077736647,0.8097447795823666,0.8618524332810047
105,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8562291434927698,517,0.8856460599628548,0.8806888068880688,0.8061302681992337,0.8574883783500523,0.8887113951011715,0.93717277486911,0.7874251497005988,0.8826017979904812,0.8306264501160093,0.82574568288854
110,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8712458286985539,463,0.8973178000541858,0.8861689106487148,0.830849478390462,0.8714453963644542,0.92,0.9378238341968912,0.7907801418439716,0.8757271285034374,0.839907192575406,0.8751962323390895
115,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8548387096774194,522,0.8865267074142971,0.8681592039800995,0.8053333333333333,0.8533397482425767,0.8910256410256411,0.935656836461126,0.7823834196891192,0.8820729772607087,0.8097447795823666,0.8296703296703297
120,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8634593993325917,491,0.8920515574650913,0.8793103448275862,0.8185240963855421,0.86329533289274,0.906164757228587,0.937007874015748,0.7865412445730825,0.8783712321523004,0.8283062645011601,0.8532182103610675
125,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8631813125695217,492,0.8924152770306616,0.8790123456790123,0.8175675675675675,0.8629983967590805,0.9080459770114943,0.9393139841688655,0.7834532374100719,0.8773135906927552,0.8259860788863109,0.8547880690737834
130,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.853726362625139,526,0.8842272968667021,0.8768472906403941,0.8026013771996939,0.8545586549022633,0.888,0.9343832020997376,0.7828358208955224,0.8804865150713908,0.8259860788863109,0.8233908948194663
135,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8701334816462737,467,0.8979811574697174,0.8806888068880688,0.8280780780780781,0.8689160141452881,0.9144736842105263,0.93717277486911,0.7935251798561151,0.8820729772607087,0.8306264501160093,0.8657770800627943
140,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8565072302558399,516,0.8844515441959532,0.8875305623471883,0.8067226890756303,0.8595682652062573,0.8906166219839142,0.937984496124031,0.7857142857142857,0.8783712321523004,0.8422273781902552,0.8288854003139717
145,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8690211345939933,471,0.8949207202364956,0.8915956151035322,0.8256603773584905,0.8707255708995062,0.9098360655737705,0.9384615384615385,0.7950581395348837,0.8804865150713908,0.8491879350348028,0.858712715855573
150,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8656840934371524,483,0.8932508738908309,0.882640586797066,0.8218455743879473,0.8659123450252814,0.9086433260393874,0.9328165374677002,0.7900072411296162,0.8783712321523004,0.8375870069605569,0.8563579277864992
155,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8548387096774194,522,0.8867021276595745,0.8681592039800995,0.8051750380517504,0.8533454565638081,0.8919208132691279,0.935656836461126,0.7813884785819794,0.881544156530936,0.8097447795823666,0.8304552590266876
160,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8612347052280311,499,0.8912111468381565,0.8751545117428925,0.8147868728781592,0.8603841771530694,0.9033134166214014,0.9365079365079365,0.7843137254901961,0.8794288736118456,0.8213457076566125,0.847723704866562
165,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8626251390433816,494,0.8910256410256411,0.8834355828220859,0.8157994682871249,0.8634202307116173,0.9001618996222343,0.9375,0.7902869757174393,0.8820729772607087,0.8352668213457076,0.8430141287284144
170,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8626251390433816,494,0.8899598393574297,0.8875305623471883,0.8162182644941266,0.8645695553995815,0.9013015184381779,0.937984496124031,0.789010989010989,0.878900052882073,0.8422273781902552,0.8453689167974883
175,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.860678531701891,501,0.8885333333333333,0.8878048780487805,0.8123569794050344,0.8628983969290495,0.8961807423345884,0.9357326478149101,0.7900593471810089,0.8810153358011634,0.8445475638051044,0.8359497645211931
180,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8590100111234705,507,0.8858666666666667,0.8918590522478737,0.8102329133256968,0.8626528774134123,0.893491124260355,0.9362244897959183,0.7888475836431227,0.8783712321523004,0.851508120649652,0.8328100470957613
185,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8553948832035595,520,0.8845847704961528,0.8817733990147784,0.8050555342780544,0.8571379012629952,0.8876464323748668,0.9396325459317585,0.7860882572924458,0.881544156530936,0.8306264501160093,0.8249607535321821
190,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8578976640711902,511,0.887763263129832,0.8768472906403941,0.8094332445796881,0.8580145994499714,0.8951612903225806,0.9343832020997376,0.785239852398524,0.8804865150713908,0.8259860788863109,0.8351648351648352
