n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9333616298811545,157,0.9526431718061674,0.9468704512372634,0.44594594594594594,0.7818198563297923,0.9942528735632183,0.9454941860465116,0.3,0.9143763213530656,0.9482507288629738,0.868421052631579
10,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.933786078098472,156,0.9502762430939227,0.9519650655021834,0.4155844155844156,0.7726085747268406,0.9953703703703703,0.9505813953488372,0.27586206896551724,0.9090909090909091,0.9533527696793003,0.8421052631578947
20,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9350594227504244,153,0.9502762430939227,0.9520348837209303,0.44,0.780770375604951,0.9953703703703703,0.9492753623188406,0.29464285714285715,0.9090909090909091,0.9548104956268222,0.868421052631579
30,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9528862478777589,111,0.9735278227984873,0.963944076526858,0.4755244755244755,0.8043321249499402,0.9955801104972376,0.9732540861812778,0.3238095238095238,0.952431289640592,0.9548104956268222,0.8947368421052632
40,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9393039049235993,143,0.956617243272927,0.9530396796505278,0.4583333333333333,0.7893300854189294,0.9954285714285714,0.952,0.3113207547169811,0.9207188160676533,0.9540816326530612,0.868421052631579
50,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9494906621392191,119,0.9696312364425163,0.9618208516886931,0.4583333333333333,0.7965951404881809,0.9955456570155902,0.9689349112426036,0.3113207547169811,0.945031712473573,0.9548104956268222,0.868421052631579
60,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9431239388794567,134,0.9617486338797814,0.956172388604821,0.4583333333333333,0.7920847852726453,0.995475113122172,0.958272327964861,0.3113207547169811,0.9302325581395349,0.9540816326530612,0.868421052631579
70,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9499151103565365,118,0.9690721649484536,0.9643251195292387,0.4533333333333333,0.7955768726036752,0.9955406911928651,0.9732739420935412,0.30357142857142855,0.9439746300211417,0.9555393586005831,0.8947368421052632
80,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9448217317487266,130,0.962882096069869,0.9572836801752465,0.46808510638297873,0.7960836275426981,0.9954853273137697,0.9590343818580834,0.32038834951456313,0.9323467230443975,0.9555393586005831,0.868421052631579
90,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9443972835314092,131,0.962882096069869,0.958302852962692,0.4520547945205479,0.7910799145177029,0.9954853273137697,0.9618208516886931,0.3055555555555556,0.9323467230443975,0.9548104956268222,0.868421052631579
100,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9477928692699491,123,0.9668297988036977,0.9604105571847508,0.4689655172413793,0.7987352910766092,0.9955207166853304,0.9660766961651918,0.3177570093457944,0.9397463002114165,0.9548104956268222,0.8947368421052632
110,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9494906621392191,119,0.9701897018970189,0.961439588688946,0.4583333333333333,0.7966542079730994,0.9955506117908788,0.9689119170984456,0.3113207547169811,0.9460887949260042,0.9540816326530612,0.868421052631579
120,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9490662139219015,120,0.9696312364425163,0.9617927994121969,0.4520547945205479,0.7944929434584204,0.9955456570155902,0.9696296296296296,0.3055555555555556,0.945031712473573,0.9540816326530612,0.868421052631579
130,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9477928692699491,123,0.9679521998913634,0.9600293362669601,0.4583333333333333,0.7954382898305523,0.9955307262569832,0.9660516605166052,0.3113207547169811,0.9418604651162791,0.9540816326530612,0.868421052631579
140,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9507640067911715,116,0.9718614718614719,0.9632082413539367,0.4520547945205479,0.7957081692453188,0.9955654101995566,0.9725111441307578,0.3055555555555556,0.9492600422832981,0.9540816326530612,0.868421052631579
150,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9469439728353141,125,0.9662676822633297,0.9597069597069597,0.4583333333333333,0.7947693251012077,0.9955156950672646,0.9646539027982327,0.3113207547169811,0.9386892177589852,0.9548104956268222,0.868421052631579
160,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9460950764006791,127,0.9651416122004357,0.9586534943285766,0.46153846153846156,0.7951111893558247,0.9955056179775281,0.9625275532696547,0.3142857142857143,0.9365750528541226,0.9548104956268222,0.868421052631579
170,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9422750424448217,136,0.9600437876299945,0.9562043795620438,0.45517241379310347,0.7904735269950472,0.9954597048808173,0.9576023391812866,0.308411214953271,0.927061310782241,0.9548104956268222,0.868421052631579
180,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9456706281833617,128,0.9662676822633297,0.9606762219772143,0.43137254901960786,0.7861054844200505,0.9955156950672646,0.9688658265381764,0.28695652173913044,0.9386892177589852,0.9526239067055393,0.868421052631579
190,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9410016977928692,139,0.958904109589041,0.9551258664720905,0.4520547945205479,0.7886949235272266,0.9954493742889647,0.956172388604821,0.3055555555555556,0.9249471458773785,0.9540816326530612,0.868421052631579
200,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9448217317487266,130,0.9634478996181124,0.9579524680073126,0.4583333333333333,0.7932445669862528,0.9954904171364148,0.9611151870873074,0.3113207547169811,0.9334038054968288,0.9548104956268222,0.868421052631579
210,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9482173174872666,122,0.9690721649484536,0.960352422907489,0.45517241379310347,0.7948656672163487,0.9955406911928651,0.9674556213017751,0.308411214953271,0.9439746300211417,0.9533527696793003,0.868421052631579
220,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9435483870967742,133,0.9623156744948116,0.9568713450292398,0.45517241379310347,0.7914531444390516,0.9954802259887006,0.9596774193548387,0.308411214953271,0.9312896405919662,0.9540816326530612,0.868421052631579
230,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9460950764006791,127,0.9657049537289059,0.958974358974359,0.45517241379310347,0.7932839088321227,0.9955106621773289,0.9639175257731959,0.308411214953271,0.9376321353065539,0.9540816326530612,0.868421052631579
240,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9431239388794567,134,0.9611809732094041,0.9562043795620438,0.46153846153846156,0.7929746047699698,0.9954699886749717,0.9576023391812866,0.3142857142857143,0.9291754756871036,0.9548104956268222,0.868421052631579
250,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.9452461799660441,129,0.9651416122004357,0.9582417582417583,0.4520547945205479,0.7918127216542473,0.9955056179775281,0.9631811487481591,0.3055555555555556,0.9365750528541226,0.9533527696793003,0.868421052631579
