n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,custom,custom,0.8652866242038216,423,0.896551724137931,0.8837209302325582,0.8058350100603622,0.8620358881436171,0.8666666666666667,0.9276094276094277,0.8249227600411947,0.9285714285714286,0.8437978560490046,0.7876106194690266
10,custom,custom,0.8662420382165605,420,0.8964613368283093,0.8920863309352518,0.8032372281234194,0.8639282986289936,0.8647281921618205,0.9331103678929766,0.8270833333333333,0.9306122448979591,0.8545176110260337,0.7807276302851525
20,custom,custom,0.8681528662420382,414,0.8969377675337504,0.8949044585987261,0.8072471061902365,0.8663631107742377,0.8691767708998086,0.9320066334991708,0.8268041237113402,0.926530612244898,0.8606431852986217,0.7885939036381514
30,custom,custom,0.8678343949044586,415,0.8967105263157895,0.897537728355838,0.8046441191317516,0.8662974579344597,0.8681528662420382,0.9323432343234324,0.8267634854771784,0.9272108843537415,0.8652373660030628,0.783677482792527
40,custom,custom,0.8684713375796178,413,0.8970055939453768,0.8969889064976229,0.8064679130874179,0.8668208045101391,0.868706182281708,0.9293924466338259,0.8295218295218295,0.9272108843537415,0.8667687595712098,0.7846607669616519
50,custom,custom,0.8694267515923567,410,0.8980263157894737,0.8978622327790974,0.8072837632776935,0.8677241039487549,0.8694267515923567,0.9295081967213115,0.83125,0.9285714285714286,0.8683001531393568,0.7846607669616519
60,custom,custom,0.8694267515923567,410,0.8983886879316014,0.8954041204437401,0.808295397066262,0.8673627351472012,0.8695098663271802,0.9277504105090312,0.8322916666666667,0.9292517006802721,0.8652373660030628,0.7856440511307768
70,custom,custom,0.869108280254777,411,0.8983886879316014,0.8945281522601111,0.80788675429727,0.8669345314963275,0.8695098663271802,0.9276315789473685,0.8314255983350677,0.9292517006802721,0.8637059724349158,0.7856440511307768
80,custom,custom,0.869108280254777,411,0.8978919631093544,0.897537728355838,0.8070528967254408,0.8674941960635444,0.8703703703703703,0.9323432343234324,0.8274793388429752,0.9272108843537415,0.8652373660030628,0.7876106194690266
90,custom,custom,0.869108280254777,411,0.8979591836734694,0.8973747016706444,0.8070528967254408,0.8674622606898515,0.8698979591836735,0.9337748344370861,0.8274793388429752,0.927891156462585,0.8637059724349158,0.7876106194690266
100,custom,custom,0.869108280254777,411,0.8980263157894737,0.8966613672496025,0.8072653884964682,0.8673176905118481,0.8694267515923567,0.9322314049586777,0.8290155440414507,0.9285714285714286,0.8637059724349158,0.7866273352999017
110,custom,custom,0.870063694267516,408,0.8985507246376812,0.8982511923688394,0.8086606243705942,0.8684875137923717,0.8710089399744572,0.9338842975206612,0.8286893704850361,0.927891156462585,0.8652373660030628,0.7895771878072763
120,custom,custom,0.8694267515923567,410,0.8983218163869694,0.897537728355838,0.8072653884964682,0.8677083110797584,0.869980879541109,0.9323432343234324,0.8290155440414507,0.9285714285714286,0.8652373660030628,0.7866273352999017
130,custom,custom,0.8697452229299363,409,0.8986842105263158,0.897537728355838,0.8076728924785462,0.8679649437869,0.870063694267516,0.9323432343234324,0.8298755186721992,0.9292517006802721,0.8652373660030628,0.7866273352999017
140,custom,custom,0.8703821656050955,407,0.8989799276077657,0.897537728355838,0.8092835519677094,0.868600402643771,0.8706182281708095,0.9323432343234324,0.8310880829015544,0.9292517006802721,0.8652373660030628,0.7885939036381514
150,custom,custom,0.8703821656050955,407,0.8992758393680053,0.8973747016706444,0.8090680100755667,0.8685728503714053,0.8711734693877551,0.9337748344370861,0.8295454545454546,0.9292517006802721,0.8637059724349158,0.7895771878072763
160,custom,custom,0.870063694267516,408,0.8992094861660079,0.8966613672496025,0.8086606243705942,0.8681771592620682,0.8716475095785441,0.9322314049586777,0.8286893704850361,0.9285714285714286,0.8637059724349158,0.7895771878072763
170,custom,custom,0.8697452229299363,409,0.8988467874794069,0.8957836117740652,0.8088531187122736,0.8678278393219152,0.8715654952076677,0.9321192052980133,0.8280123583934088,0.927891156462585,0.8621745788667687,0.7905604719764012
180,custom,custom,0.8697452229299363,409,0.8989134013829437,0.8957836117740652,0.8086606243705942,0.8677858791758677,0.8710912571793236,0.9321192052980133,0.8286893704850361,0.9285714285714286,0.8621745788667687,0.7895771878072763
190,custom,custom,0.8697452229299363,409,0.8989134013829437,0.8957836117740652,0.8086606243705942,0.8677858791758677,0.8710912571793236,0.9321192052980133,0.8286893704850361,0.9285714285714286,0.8621745788667687,0.7895771878072763
200,custom,custom,0.8697452229299363,409,0.8989134013829437,0.8957836117740652,0.8086606243705942,0.8677858791758677,0.8710912571793236,0.9321192052980133,0.8286893704850361,0.9285714285714286,0.8621745788667687,0.7895771878072763
210,custom,custom,0.8697452229299363,409,0.8989799276077657,0.8957836117740652,0.8084677419354839,0.867743760439105,0.8706182281708095,0.9321192052980133,0.8293691830403309,0.9292517006802721,0.8621745788667687,0.7885939036381514
220,custom,custom,0.8694267515923567,410,0.8989799276077657,0.8949044585987261,0.8080604534005038,0.8673149465356653,0.8706182281708095,0.9320066334991708,0.8285123966942148,0.9292517006802721,0.8606431852986217,0.7885939036381514
230,custom,custom,0.8697452229299363,409,0.8989799276077657,0.8957836117740652,0.8084677419354839,0.867743760439105,0.8706182281708095,0.9321192052980133,0.8293691830403309,0.9292517006802721,0.8621745788667687,0.7885939036381514
240,custom,custom,0.869108280254777,411,0.8986842105263158,0.8949044585987261,0.8074596774193549,0.867016115514799,0.870063694267516,0.9320066334991708,0.828335056876939,0.9292517006802721,0.8606431852986217,0.7876106194690266
250,custom,custom,0.8694267515923567,410,0.8989799276077657,0.8949044585987261,0.8080604534005038,0.8673149465356653,0.8706182281708095,0.9320066334991708,0.8285123966942148,0.9292517006802721,0.8606431852986217,0.7885939036381514
