n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8438145851786242,529,0.8809124454880912,0.8571428571428571,0.7922705314009661,0.8434419446773048,0.8632478632478633,0.949238578680203,0.7717647058823529,0.8993150684931507,0.7813370473537604,0.8138957816377171
10,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8364334219072926,554,0.8755451190875545,0.8534151957022257,0.7807228915662651,0.8365610687853485,0.8579881656804734,0.9504273504273504,0.7587822014051522,0.8938356164383562,0.7743732590529248,0.8039702233250621
15,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8328904635370534,566,0.8641975308641975,0.8556149732620321,0.7878326996197719,0.8358817345820005,0.8909090909090909,0.9475465313028765,0.729064039408867,0.839041095890411,0.7799442896935933,0.8569065343258891
20,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8370239149689991,552,0.8706281833616298,0.8638783269961977,0.7836117740652346,0.8393727614743541,0.8632996632996633,0.9514237855946399,0.7547892720306514,0.8780821917808219,0.7910863509749304,0.8147229114971051
25,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8376144080307056,550,0.8705479452054794,0.863013698630137,0.7866141732283465,0.8400586056879876,0.8705479452054794,0.9513422818791947,0.7505634861006761,0.8705479452054794,0.7896935933147632,0.826302729528536
30,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8379096545615589,549,0.8705234159779615,0.8621477532368621,0.7884239342980055,0.8403650345042765,0.8753462603878116,0.9512605042016806,0.7477744807121661,0.8657534246575342,0.7883008356545961,0.8337468982630273
35,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8393858872158252,544,0.8701923076923077,0.8679817905918058,0.789308176100629,0.8424940914615808,0.8725895316804407,0.9533333333333334,0.752059925093633,0.8678082191780822,0.7966573816155988,0.8304383788254756
40,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8379096545615589,549,0.8664335664335664,0.8675246025738077,0.7913613575009641,0.8417731755027794,0.885,0.9502487562189055,0.7413294797687862,0.8486301369863014,0.7980501392757661,0.8486352357320099
45,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8399763802775317,542,0.8733446519524618,0.8656036446469249,0.7874203821656051,0.8421228929216639,0.865993265993266,0.9515859766277128,0.7590176515732924,0.8808219178082192,0.7938718662952646,0.8180314309346567
50,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8367286684381459,553,0.872144561882032,0.8580152671755725,0.7846700908731726,0.8382766399769257,0.868295994568907,0.9493243243243243,0.7511346444780636,0.876027397260274,0.7827298050139275,0.8213399503722084
55,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8396811337466785,543,0.8718125430737422,0.8634630053394355,0.791097227645451,0.8421242586862095,0.8772538141470181,0.954468802698145,0.7492603550295858,0.8664383561643836,0.7883008356545961,0.8378825475599669
60,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8349571892530263,559,0.870780770542107,0.8560490045941807,0.7826429980276134,0.836490924387967,0.86693822131704,0.9506802721088435,0.7481146304675717,0.8746575342465753,0.7785515320334262,0.8205128205128205
65,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8379096545615589,549,0.8713550600343053,0.8610687022900764,0.7877599058454295,0.8400612227232704,0.872852233676976,0.9527027027027027,0.7492537313432835,0.8698630136986302,0.7855153203342619,0.8304383788254756
