n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
10,custom,custom,0.41460470730235366,1940,0.6301458670988654,0.39553072625698327,0.05476326297775243,0.360146618777867,0.5023255813953489,0.27168073676132004,0.631578947368421,0.8452173913043478,0.7268993839835729,0.028622540250447227
25,custom,custom,0.41671695835847916,1933,0.6317501626545218,0.39507554560716285,0.06451612903225806,0.36378061243131415,0.5046777546777547,0.27153846153846156,0.6333333333333333,0.8443478260869566,0.7248459958932238,0.03398926654740608
40,custom,custom,0.416113458056729,1935,0.6306892067620286,0.39686975964225824,0.061259217243335225,0.3629393945492074,0.5036344755970924,0.2726574500768049,0.627906976744186,0.8434782608695652,0.728952772073922,0.03220035778175313
55,custom,custom,0.41701870850935424,1932,0.6331592689295039,0.39488320355951056,0.06455266138165346,0.3641983779568893,0.5067920585161965,0.2707856598016781,0.6404494382022472,0.8434782608695652,0.728952772073922,0.03398926654740608
70,custom,custom,0.415811707905854,1936,0.6322664924885696,0.3940066592674806,0.06235827664399093,0.3628771428000137,0.5062761506276151,0.26996197718631176,0.632183908045977,0.8417391304347827,0.728952772073922,0.032796660703637445
85,custom,custom,0.4155099577549789,1937,0.632300163132137,0.3940066592674806,0.060193072118114706,0.36216663150591083,0.5060052219321148,0.26996197718631176,0.6309523809523809,0.8426086956521739,0.728952772073922,0.031604054859868815
100,custom,custom,0.416113458056729,1935,0.6325065274151436,0.3948973932334997,0.06132879045996593,0.3629109037028697,0.5062695924764891,0.270516717325228,0.6428571428571429,0.8426086956521739,0.731006160164271,0.03220035778175313
115,custom,custom,0.416113458056729,1935,0.6320939334637965,0.3951165371809101,0.06136363636363636,0.3628580356694476,0.505741127348643,0.2707224334600761,0.6506024096385542,0.8426086956521739,0.731006160164271,0.03220035778175313
130,custom,custom,0.4152082076041038,1938,0.631887838278448,0.3946784922394678,0.05805350028457598,0.3615399436008306,0.5054773082942097,0.27031131359149585,0.6375,0.8426086956521739,0.731006160164271,0.03041144901610018
145,custom,custom,0.4143029571514786,1941,0.6322664924885696,0.39537444933920707,0.052571428571428575,0.36007079013306836,0.5062761506276151,0.27012791572610984,0.6301369863013698,0.8417391304347827,0.7371663244353183,0.027429934406678593
160,custom,custom,0.41490645745322874,1939,0.6325065274151436,0.39602868174296746,0.05368360936607653,0.3607396061747292,0.5062695924764891,0.2707390648567119,0.6351351351351351,0.8426086956521739,0.7371663244353183,0.02802623732856291
175,custom,custom,0.41460470730235366,1940,0.6320939334637965,0.39447513812154694,0.0547945205479452,0.36045453071109623,0.505741127348643,0.2698412698412698,0.64,0.8426086956521739,0.7330595482546202,0.028622540250447227
190,custom,custom,0.41490645745322874,1939,0.6327130264446621,0.3958103638368247,0.05368360936607653,0.3607356665491878,0.5065342394145321,0.2705350414468726,0.6351351351351351,0.8426086956521739,0.7371663244353183,0.02802623732856291
205,custom,custom,0.4140012070006035,1942,0.6320939334637965,0.39403973509933776,0.052571428571428575,0.35956836571152095,0.505741127348643,0.26943396226415095,0.6301369863013698,0.8426086956521739,0.7330595482546202,0.027429934406678593
220,custom,custom,0.4143029571514786,1941,0.6327130264446621,0.39537444933920707,0.051457975986277875,0.35984848392338237,0.5065342394145321,0.27012791572610984,0.625,0.8426086956521739,0.7371663244353183,0.026833631484794274
235,custom,custom,0.4143029571514786,1941,0.6325065274151436,0.3955922865013774,0.051457975986277875,0.35985226330093295,0.5062695924764891,0.2703313253012048,0.625,0.8426086956521739,0.7371663244353183,0.026833631484794274
250,custom,custom,0.4140012070006035,1942,0.6320939334637965,0.39403973509933776,0.052571428571428575,0.35956836571152095,0.505741127348643,0.26943396226415095,0.6301369863013698,0.8426086956521739,0.7330595482546202,0.027429934406678593
