n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
10,custom,custom,0.8107469737230587,641,0.866553480475382,0.8098958333333334,0.7396423898822503,0.8053639012303219,0.8592592592592593,0.7603911980440098,0.7822878228782287,0.873972602739726,0.8662952646239555,0.7014061207609594
25,custom,custom,0.8148804251550045,627,0.8655804480651731,0.8254990341274951,0.741978021978022,0.8110191680568968,0.8580080753701211,0.7676646706586826,0.7917448405253283,0.8732876712328768,0.8927576601671309,0.6980976013234078
40,custom,custom,0.8154709182167109,625,0.8663500678426052,0.8257817485641353,0.7419212040725985,0.8113510068264463,0.8581989247311828,0.7620730270906949,0.7980952380952381,0.8746575342465753,0.9011142061281338,0.6931348221670802
55,custom,custom,0.8148804251550045,627,0.8672086720867209,0.8237547892720306,0.7402482269503546,0.8104038961030354,0.8579088471849866,0.7606132075471698,0.7975167144221585,0.8767123287671232,0.8983286908077994,0.6906534325889164
70,custom,custom,0.8181281369943904,616,0.8675922790382662,0.8287007110536523,0.7467018469656992,0.8143316123525391,0.8580040187541862,0.773220747889023,0.7971830985915493,0.8773972602739726,0.8927576601671309,0.7022332506203474
85,custom,custom,0.8157661647475642,624,0.866734486266531,0.8262548262548263,0.7424042272126816,0.811797846578013,0.8582941571524513,0.7679425837320574,0.7937853107344632,0.8753424657534247,0.8941504178272981,0.6972704714640199
100,custom,custom,0.816651904340124,621,0.8672086720867209,0.8255813953488372,0.7449428320140721,0.8125776331498766,0.8579088471849866,0.7698795180722892,0.7953051643192488,0.8767123287671232,0.8899721448467967,0.7005789909015715
115,custom,custom,0.8157661647475642,624,0.8663500678426052,0.8258064516129032,0.7434094903339191,0.8118553365964759,0.8581989247311828,0.7692307692307693,0.7928772258669166,0.8746575342465753,0.8913649025069638,0.6997518610421837
130,custom,custom,0.816651904340124,621,0.8672086720867209,0.8260309278350515,0.7444933920704846,0.8125776639974189,0.8579088471849866,0.7685851318944844,0.7964184731385485,0.8767123287671232,0.8927576601671309,0.6989247311827957
145,custom,custom,0.8169471508709772,620,0.8675025415113521,0.8265635074145713,0.7447183098591549,0.8129281195950261,0.8584842387659289,0.7695078031212484,0.7958607714016933,0.8767123287671232,0.8927576601671309,0.6997518610421837
160,custom,custom,0.8169471508709772,620,0.8675922790382662,0.8258064516129032,0.7450462351387054,0.8128149885966249,0.8580040187541862,0.7692307692307693,0.7966101694915254,0.8773972602739726,0.8913649025069638,0.6997518610421837
175,custom,custom,0.8172423974018306,619,0.8675922790382662,0.826115061409179,0.7458223394898856,0.8131765599791102,0.8580040187541862,0.7708082026537998,0.7962441314553991,0.8773972602739726,0.8899721448467967,0.7014061207609594
190,custom,custom,0.8175376439326838,618,0.8675922790382662,0.8270967741935484,0.74592690444738,0.8135386525597316,0.8580040187541862,0.7704326923076923,0.7975517890772128,0.8773972602739726,0.8927576601671309,0.7005789909015715
205,custom,custom,0.8184233835252436,615,0.8668248051507963,0.8297734627831715,0.7480245829675154,0.8148742836338277,0.857813547954393,0.7750906892382105,0.7970065481758652,0.876027397260274,0.8927576601671309,0.7047146401985112
220,custom,custom,0.8187186300560968,614,0.866734486266531,0.8303108808290155,0.7487943884261289,0.8152799185072251,0.8582941571524513,0.7760290556900726,0.7966417910447762,0.8753424657534247,0.8927576601671309,0.706368899917287
235,custom,custom,0.8196043696486567,611,0.866734486266531,0.8319273199221285,0.7504378283712785,0.8163665448533127,0.8582941571524513,0.778857837181045,0.7972093023255814,0.8753424657534247,0.8927576601671309,0.7088502894954508
250,custom,custom,0.8193091231178034,612,0.8671186440677966,0.8306294613887086,0.7498904949627683,0.8158795334730912,0.8583892617449664,0.7776427703523694,0.7970204841713222,0.876027397260274,0.8913649025069638,0.7080231596360629
