Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.7682314732801889,785,0.8250719539494723,0.7987897125567323,0.6744086021505377,0.7660900895522474,0.7738452309538092,0.8741721854304636,0.7025089605734767,0.8835616438356164,0.7353760445682451,0.6484698097601324
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.7821080602302923,738,0.837568349951753,0.8069919883466861,0.6919720767888308,0.7788441383624233,0.7895694360218314,0.8458015267175573,0.7322253000923361,0.8917808219178082,0.7715877437325905,0.6559139784946236
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.798641865958075,682,0.8460270359380152,0.827485380116959,0.7214496418036241,0.7983206859528661,0.8156389065479974,0.8707692307692307,0.7353951890034365,0.8787671232876713,0.7883008356545961,0.7080231596360629
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.8148804251550045,627,0.8588588588588588,0.8394698085419735,0.746589499793303,0.8149727223980451,0.8373454782042941,0.890625,0.7462809917355372,0.8815068493150685,0.7938718662952646,0.7468982630272953
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.8228520814880426,600,0.8568541596497137,0.8544802867383513,0.762655601659751,0.824663349349272,0.8429423459244533,0.880354505169867,0.765195670274771,0.8712328767123287,0.83008356545961,0.760132340777502
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.8240330676114556,596,0.8556771545827634,0.8556998556998557,0.7686688311688312,0.8266819471504835,0.8545081967213115,0.8877245508982036,0.754581673306773,0.8568493150684932,0.8259052924791086,0.7832919768403639
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.8370239149689991,552,0.8750830564784053,0.8519328956965718,0.7806101128290849,0.8358753550013541,0.8496774193548388,0.8943338437978561,0.7888513513513513,0.9020547945205479,0.8133704735376045,0.7725392886683209
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.8337762031296132,563,0.8633241758241759,0.8622927180966113,0.7830303030303031,0.8362157323170302,0.8657024793388429,0.8938714499252616,0.7654028436018957,0.8609589041095891,0.8328690807799443,0.8014888337468983
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.8266902863891349,587,0.8538380651945321,0.8596363636363636,0.7784760408483896,0.8306501565597618,0.8743718592964824,0.8995433789954338,0.7412116679132386,0.8342465753424657,0.8231197771587744,0.8196856906534326
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.8263950398582817,588,0.8535300316122234,0.8569310600444774,0.7804499612102405,0.8303036842889805,0.8759913482335977,0.9160063391442155,0.7348429510591673,0.8321917808219178,0.8050139275766016,0.8320926385442514
"(0, 0, 0, 0, 1)","(0, 0, 0, 15)",0.8193091231178034,612,0.8406633020908435,0.8569321533923304,0.7776096822995462,0.8250683792609067,0.8873668188736682,0.9106583072100314,0.716376306620209,0.7986301369863014,0.8091922005571031,0.8502894954507858
"(0, 0, 0, 0, 1)","(0, 0, 0, 16)",0.8320047239444937,569,0.8613959642739001,0.8535315985130112,0.7830423940149626,0.8326566522672912,0.8330134357005758,0.9154704944178629,0.7869674185463659,0.8917808219178082,0.7994428969359332,0.7791563275434243
"(0, 0, 0, 1, 0)","(4, 8, 12, 0)",0.839090640684972,545,0.8820646847435478,0.8515406162464986,0.7737417943107221,0.8357823651002562,0.8432229856339788,0.856338028169014,0.8215613382899628,0.9246575342465754,0.8467966573816156,0.7311827956989247
"(0, 0, 0, 1, 0)","(4, 8, 14, 0)",0.8284617655742545,581,0.8820614469772051,0.8311864406779661,0.7552816901408451,0.822843192598672,0.8519463943841736,0.809775429326288,0.8071495766698025,0.9143835616438356,0.8537604456824512,0.7096774193548387
"(0, 0, 0, 1, 0)","(4, 8, 16, 0)",0.8272807794508414,585,0.8769438810006761,0.8363636363636363,0.7584727584727585,0.823926758612357,0.8658210947930574,0.8096479791395046,0.7878787878787878,0.8883561643835617,0.8649025069637883,0.7311827956989247
"(0, 0, 0, 1, 0)","(4, 10, 12, 0)",0.8331857100679066,565,0.8820646847435478,0.831016825164594,0.7706734867860188,0.8279183322313868,0.8432229856339788,0.8751926040061633,0.7950747581354441,0.9246575342465754,0.7910863509749304,0.7477253928866832
"(0, 0, 0, 1, 0)","(4, 10, 14, 0)",0.840271626808385,541,0.8820614469772051,0.8516678495386799,0.7792985457656116,0.8376759474271656,0.8519463943841736,0.8683068017366136,0.8069087688219664,0.9143835616438356,0.8356545961002786,0.7535153019023987
"(0, 0, 0, 1, 0)","(4, 10, 16, 0)",0.8331857100679066,565,0.8691780821917808,0.8540925266903915,0.7782768476929359,0.8338491521917027,0.8691780821917808,0.8733624454148472,0.7685483870967742,0.8691780821917808,0.8356545961002786,0.7882547559966915
"(0, 0, 0, 1, 0)","(4, 0, 12, 0)",0.8373191614998524,551,0.8820646847435478,0.8468595624558928,0.7717770034843205,0.8335670835612538,0.8432229856339788,0.8583690987124464,0.8150873965041399,0.9246575342465754,0.8356545961002786,0.7328370554177006
"(0, 0, 0, 1, 0)","(4, 0, 14, 0)",0.8364334219072926,554,0.8820614469772051,0.8435951875442321,0.7729220222793488,0.8328595522669286,0.8519463943841736,0.8575539568345324,0.8017777777777778,0.9143835616438356,0.83008356545961,0.7460711331679074
"(0, 0, 0, 1, 0)","(4, 0, 16, 0)",0.8352524357838795,558,0.8769438810006761,0.8501400560224089,0.7747068676716918,0.8339302682315922,0.8658210947930574,0.8549295774647887,0.7845631891433418,0.8883561643835617,0.8454038997214485,0.7650951199338296
"(0, 0, 0, 1, 0)","(6, 8, 12, 0)",0.8417478594626513,536,0.88379705400982,0.8515406162464986,0.7795722391968573,0.8383033031510586,0.8463949843260188,0.856338028169014,0.8253234750462107,0.9246575342465754,0.8467966573816156,0.738626964433416
"(0, 0, 0, 1, 0)","(6, 8, 14, 0)",0.8281665190434012,582,0.8788183954347096,0.8311864406779661,0.7612068965517241,0.8237372442214665,0.8617511520737328,0.809775429326288,0.7947794779477948,0.8965753424657534,0.8537604456824512,0.7303556658395368
"(0, 0, 0, 1, 0)","(6, 8, 16, 0)",0.8349571892530263,559,0.8781812012215813,0.8478405315614618,0.7717484926787253,0.8325900751539228,0.8702084734364492,0.8106734434561627,0.8050314465408805,0.8863013698630137,0.8885793871866295,0.7411083540115798
"(0, 0, 0, 1, 0)","(6, 10, 12, 0)",0.8426335990552111,533,0.88379705400982,0.8549511854951185,0.7798687089715536,0.8395389828254974,0.8463949843260188,0.8561452513966481,0.8280669144981413,0.9246575342465754,0.8537604456824512,0.7369727047146402
"(0, 0, 0, 1, 0)","(6, 10, 14, 0)",0.8438145851786242,529,0.8788183954347096,0.8640776699029126,0.7870803229919252,0.8433254627765159,0.8617511520737328,0.8604972375690608,0.8094405594405595,0.8965753424657534,0.8676880222841226,0.7659222497932175
"(0, 0, 0, 1, 0)","(6, 10, 16, 0)",0.8473575435488633,517,0.8781812012215813,0.8721492743607464,0.7941176470588235,0.848149374213717,0.8702084734364492,0.8655692729766804,0.807002561912895,0.8863013698630137,0.8788300835654597,0.7816377171215881
"(0, 0, 0, 1, 0)","(6, 0, 12, 0)",0.8423383525243578,534,0.88379705400982,0.8531468531468531,0.7802533857579729,0.8390657643048819,0.8463949843260188,0.8567415730337079,0.8268518518518518,0.9246575342465754,0.8495821727019499,0.738626964433416
"(0, 0, 0, 1, 0)","(6, 0, 14, 0)",0.839090640684972,545,0.8788183954347096,0.8489620615604867,0.7839866555462885,0.837255704180495,0.8617511520737328,0.8733431516936672,0.7905803195962994,0.8965753424657534,0.8259052924791086,0.7775020678246485
"(0, 0, 0, 1, 0)","(6, 0, 16, 0)",0.8196043696486567,611,0.8781812012215813,0.8140770252324038,0.7488151658767772,0.8136911307769208,0.8702084734364492,0.7779187817258884,0.7814748201438849,0.8863013698630137,0.8537604456824512,0.7187758478081059
"(0, 0, 0, 1, 0)","(0, 8, 12, 0)",0.8385001476232654,547,0.8806262230919765,0.8515406162464986,0.7736842105263158,0.8352836832882636,0.8405977584059776,0.856338028169014,0.8235294117647058,0.9246575342465754,0.8467966573816156,0.7295285359801489
"(0, 0, 0, 1, 0)","(0, 8, 14, 0)",0.8284617655742545,581,0.8788183954347096,0.8322056833558863,0.7613293051359517,0.8241177946421825,0.8617511520737328,0.8092105263157895,0.796028880866426,0.8965753424657534,0.8565459610027855,0.7295285359801489
"(0, 0, 0, 1, 0)","(0, 8, 16, 0)",0.8216710953646295,604,0.8688805203697364,0.8363636363636363,0.754222972972973,0.8198223765687819,0.8685831622176592,0.8096479791395046,0.7704918032786885,0.8691780821917808,0.8649025069637883,0.738626964433416
"(0, 0, 0, 1, 0)","(0, 10, 12, 0)",0.8293475051668143,578,0.8781118655027481,0.8397163120567376,0.7564949361514751,0.8247743712369869,0.8315982853643601,0.8554913294797688,0.8088512241054614,0.9301369863013699,0.8245125348189415,0.7105045492142267
"(0, 0, 0, 1, 0)","(0, 10, 14, 0)",0.8367286684381459,553,0.8785234899328859,0.8525951557093425,0.7739463601532567,0.835021668598495,0.8611842105263158,0.8473177441540578,0.7973684210526316,0.8965753424657534,0.8579387186629527,0.7518610421836228
"(0, 0, 0, 1, 0)","(0, 10, 16, 0)",0.8376144080307056,550,0.8715846994535519,0.8628257887517147,0.7805695142378559,0.8383266674810409,0.8692098092643051,0.85,0.7905004240882103,0.873972602739726,0.8760445682451253,0.770885028949545
"(0, 0, 0, 1, 0)","(0, 0, 12, 0)",0.8266902863891349,587,0.8781118655027481,0.8333333333333334,0.7531673219746614,0.8215375069369143,0.8315982853643601,0.8605341246290801,0.7981481481481482,0.9301369863013699,0.807799442896936,0.7129859387923904
"(0, 0, 0, 1, 0)","(0, 0, 14, 0)",0.8252140537348687,592,0.8798140770252324,0.8225231646471846,0.7571004662992794,0.8198125693238988,0.8537371134020618,0.8423357664233576,0.7765217391304348,0.9075342465753424,0.8036211699164345,0.738626964433416
"(0, 0, 0, 1, 0)","(0, 0, 16, 0)",0.822261588426336,602,0.8775235531628532,0.8168210976478973,0.7569820758649437,0.8171089088918982,0.8624338624338624,0.8364963503649635,0.7630252100840336,0.8931506849315068,0.7980501392757661,0.7510339123242349
"(0, 0, 0, 1, 1)","(4, 8, 12, 5)",0.8385001476232654,547,0.8800525796910943,0.8594704684317719,0.7688219663418955,0.8361150048215872,0.8458622867972204,0.83841059602649,0.8274547187797903,0.9171232876712329,0.8816155988857939,0.717948717948718
"(0, 0, 0, 1, 1)","(4, 8, 12, 6)",0.8438145851786242,529,0.8801571709233792,0.8682719546742209,0.7807625649913345,0.8430638968629781,0.8431618569636136,0.8832853025936599,0.8198362147406734,0.9205479452054794,0.8537604456824512,0.7452440033085195
"(0, 0, 0, 1, 1)","(4, 8, 12, 7)",0.8476527900797166,516,0.8820646847435478,0.8711743772241993,0.7876949740034662,0.8469780119904046,0.8432229856339788,0.8908296943231441,0.827115559599636,0.9246575342465754,0.8523676880222841,0.7518610421836228
"(0, 0, 0, 1, 1)","(4, 8, 12, 8)",0.8420431059935046,535,0.8737800910865322,0.8783505154639175,0.7750556792873051,0.8423954286125849,0.832094175960347,0.8670284938941656,0.8397683397683398,0.9198630136986301,0.8899721448467967,0.7196029776674938
"(0, 0, 0, 1, 1)","(4, 8, 12, 9)",0.8405668733392383,540,0.8658125421443021,0.8816901408450705,0.7847571189279732,0.8440866006391152,0.852589641434263,0.8917378917378918,0.7947413061916879,0.8794520547945206,0.871866295264624,0.7750206782464847
"(0, 0, 0, 1, 1)","(4, 8, 12, 10)",0.8438145851786242,529,0.8763819095477386,0.8679525222551929,0.7906595657517411,0.8449979991848909,0.8577049180327869,0.9285714285714286,0.7832792207792207,0.8958904109589041,0.8147632311977716,0.7981803143093466
"(0, 0, 0, 1, 1)","(4, 8, 12, 11)",0.8417478594626513,536,0.8716216216216216,0.8660714285714286,0.7927125506072874,0.8434685336001125,0.86,0.9297124600638977,0.7763679619349723,0.8835616438356164,0.8105849582172702,0.8097601323407775
"(0, 0, 0, 1, 1)","(4, 8, 12, 12)",0.8473575435488633,517,0.872093023255814,0.8804751299183371,0.8006392329204954,0.8510691286982155,0.8709016393442623,0.9427662957074722,0.7743431221020093,0.8732876712328768,0.8259052924791086,0.8287841191066998
"(0, 0, 0, 1, 1)","(4, 8, 12, 13)",0.8455860643637437,523,0.8607506138197124,0.8913362701908958,0.8043732916829364,0.8521533918978482,0.8820992092020129,0.9425465838509317,0.7618343195266272,0.8404109589041096,0.8454038997214485,0.8519437551695617
"(0, 0, 0, 1, 1)","(4, 8, 12, 14)",0.8600531443755536,474,0.8855116514690983,0.8839615668883961,0.816260162601626,0.8619111269863735,0.8734177215189873,0.9417322834645669,0.8025579536370904,0.897945205479452,0.8328690807799443,0.8304383788254756
"(0, 0, 0, 1, 1)","(4, 8, 12, 15)",0.8376144080307056,550,0.8458553791887126,0.8813056379821959,0.8058664608259359,0.8443424926656148,0.872,0.9428571428571428,0.7554269175108539,0.8212328767123288,0.8272980501392758,0.8635235732009926
"(0, 0, 0, 1, 1)","(4, 8, 12, 16)",0.8299379982285208,576,0.835361488904796,0.878267363704257,0.799697084437713,0.837775312348922,0.8748125937031485,0.9468599033816425,0.7374301675977654,0.7993150684931507,0.8189415041782729,0.8734491315136477
"(0, 0, 0, 1, 1)","(4, 8, 14, 5)",0.8382049010924122,548,0.8762609280430397,0.8585503166783955,0.7784783522488441,0.8377631989900931,0.8606340819022457,0.8677098150782361,0.7914529914529914,0.8924657534246575,0.8495821727019499,0.7659222497932175
"(0, 0, 0, 1, 1)","(4, 8, 14, 6)",0.8370239149689991,552,0.8751262201279031,0.8548621190130624,0.7802061855670103,0.836731508235992,0.8603573792190602,0.8924242424242425,0.7779605263157895,0.8904109589041096,0.8203342618384402,0.782464846980976
"(0, 0, 0, 1, 1)","(4, 8, 14, 7)",0.8429288455860644,532,0.875882946518668,0.8666186012977649,0.7887323943661971,0.84374464739421,0.8605419695968275,0.898355754857997,0.7900414937759336,0.8917808219178082,0.8370473537604457,0.7874276261373035
"(0, 0, 0, 1, 1)","(4, 8, 14, 8)",0.8435193386477708,530,0.8816920026437541,0.8579838116261957,0.7869401423189619,0.8422053188629706,0.8518518518518519,0.9095163806552262,0.7966101694915254,0.9136986301369863,0.8119777158774373,0.7775020678246485
"(0, 0, 0, 1, 1)","(4, 8, 14, 9)",0.8441098317094774,528,0.8727514990006662,0.8768898488120951,0.7889215274863617,0.8461876250997076,0.8495460440985733,0.9076005961251863,0.8006814310051107,0.8972602739726028,0.8481894150417827,0.7775020678246485
"(0, 0, 0, 1, 1)","(4, 8, 14, 10)",0.8464718039563035,520,0.8784102391377568,0.8675055514433753,0.7962510187449062,0.8473889364420129,0.8641484426772698,0.9257503949447078,0.7847389558232932,0.8931506849315068,0.8161559888579387,0.8081058726220016
"(0, 0, 0, 1, 1)","(4, 8, 14, 11)",0.8444050782403307,527,0.8730860837019394,0.8698224852071006,0.7966169955698752,0.8465085214929718,0.8674780256930358,0.9274447949526814,0.7762951334379906,0.8787671232876713,0.8189415041782729,0.8180314309346567
"(0, 0, 0, 1, 1)","(4, 8, 14, 12)",0.8441098317094774,528,0.8712121212121212,0.8703427719821163,0.7990506329113924,0.8468685087018767,0.8760387811634349,0.9358974358974359,0.7657316148597423,0.8664383561643836,0.8133704735376045,0.8354011579818031
"(0, 0, 0, 1, 1)","(4, 8, 14, 13)",0.8385001476232654,547,0.8594575554772808,0.8719101123595505,0.7984615384615384,0.8432764020994566,0.8846990572878898,0.9432739059967585,0.7462257368799425,0.8356164383561644,0.8105849582172702,0.858560794044665
"(0, 0, 0, 1, 1)","(4, 8, 14, 14)",0.8514909949808089,503,0.8678982223771349,0.8945827232796486,0.8097676250492319,0.8574161902353384,0.8836053938963804,0.9429012345679012,0.7729323308270677,0.8527397260273972,0.850974930362117,0.8502894954507858
"(0, 0, 0, 1, 1)","(4, 8, 14, 15)",0.845881310894597,522,0.8631578947368421,0.8936170212765957,0.8012495119094104,0.8526748093076161,0.8848920863309353,0.9441860465116279,0.7588757396449705,0.8424657534246576,0.8481894150417827,0.8486352357320099
