Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.7867074527252503,767,0.8745467730239304,0.6666666666666666,0.6681474900044425,0.7364536432316798,0.8054318788958148,0.7184986595174263,0.7697031729785057,0.9566367001586462,0.6218097447795824,0.5902668759811617
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.7950500556173526,737,0.8780607247796278,0.656,0.6955046649703138,0.7431884632499806,0.8176014591883265,0.7711598746081505,0.7564575645756457,0.9481755684822845,0.5707656612529002,0.6436420722135008
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.8147942157953282,666,0.8844368433911556,0.7502986857825568,0.7126436781609196,0.7824597357782107,0.8219800181653043,0.7733990147783252,0.8157894736842105,0.9571655208884188,0.728538283062645,0.6326530612244898
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.8209121245828699,644,0.8854088988317176,0.7451487710219923,0.7370617696160268,0.7892064798232455,0.8353658536585366,0.8421052631578947,0.7869875222816399,0.9418297197250132,0.6682134570765661,0.6930926216640503
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.825083426028921,629,0.883897021706209,0.7745952677459527,0.7457766790276061,0.8014229894932559,0.8454852728150651,0.8360215053763441,0.784908933217693,0.925965097831835,0.7215777262180975,0.7103610675039247
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.8261957730812013,625,0.8836614676553312,0.7795371498172959,0.7504065040650406,0.804535040512556,0.8554455445544554,0.8205128205128205,0.7782462057335582,0.9138022210470651,0.7424593967517401,0.7244897959183674
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.8236929922135706,634,0.8791666666666667,0.7712082262210797,0.7567987567987567,0.8023912165621677,0.8660851718830169,0.8645533141210374,0.7492307692307693,0.8926493918561608,0.6960556844547564,0.7645211930926217
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.8401001112347052,575,0.8948995363214838,0.772609819121447,0.776813880126183,0.8147744118563712,0.8724259166248116,0.8717201166180758,0.7805071315372425,0.9185616076150185,0.6937354988399071,0.7731554160125589
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.8378754171301446,583,0.894300518134715,0.7523427041499331,0.7783365570599613,0.8083265931148698,0.8765871000507872,0.8892405063291139,0.7673531655225019,0.9127445795875199,0.6519721577726219,0.7896389324960753
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.8331479421579533,600,0.8811114079615282,0.7882653061224489,0.7789868667917449,0.8161211936252406,0.8903887688984882,0.8753541076487252,0.7462257368799425,0.8720253833950291,0.7169373549883991,0.814756671899529
