Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.7002244309073421,3119,0.7985389154256813,0.6837416481069042,0.5120718697361033,0.6647841444228962,0.8544798556825015,0.6202020202020202,0.4745057232049948,0.7494725738396625,0.7617866004962779,0.5560975609756098
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.7165758255851234,3119,0.8104109589041096,0.685456595264938,0.5314520870076426,0.6757732137255634,0.8432155074116305,0.628099173553719,0.5130533484676504,0.7800632911392406,0.7543424317617866,0.551219512195122
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.7518435395960243,3119,0.8361858190709046,0.7242888402625821,0.5782105903834449,0.7128950832389771,0.8621848739495799,0.6477495107632094,0.5771567436208992,0.8117088607594937,0.8213399503722084,0.5792682926829268
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.7646681628727157,3119,0.85660680782632,0.6986607142857143,0.5884543761638734,0.7145739660919692,0.8708446866485013,0.6348884381338742,0.5992414664981036,0.8428270042194093,0.7766749379652605,0.5780487804878048
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.7980121833921129,3119,0.8772486772486773,0.7461024498886414,0.6358974358974359,0.7530828543449181,0.8800424628450106,0.6767676767676768,0.6702702702702703,0.8744725738396625,0.8312655086848635,0.6048780487804878
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.8057069573581276,3119,0.8841382950646609,0.7370786516853932,0.654265554842848,0.7584941671976341,0.8848388800845219,0.6735112936344969,0.6901217861975643,0.8834388185654009,0.8138957816377171,0.6219512195121951
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.8220583520359089,3119,0.8928571428571429,0.7648401826484018,0.6808236808236808,0.7795070021097419,0.8891213389121339,0.7082452431289641,0.720708446866485,0.8966244725738397,0.8312655086848635,0.6451219512195122
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.8294325104200064,3119,0.8995265649658075,0.7403189066059226,0.7086007702182285,0.7828154139299862,0.8971668415529905,0.6842105263157895,0.7479674796747967,0.9018987341772152,0.8064516129032258,0.6731707317073171
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.846104520679705,3119,0.9035479632063075,0.7926689576174112,0.735897435897436,0.8107047855737183,0.9004714510214772,0.7361702127659574,0.7756756756756756,0.9066455696202531,0.858560794044665,0.7
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.8464251362616223,3119,0.906478578892372,0.7683352735739232,0.7414571244358479,0.805423658967381,0.8980331262939959,0.7236842105263158,0.786593707250342,0.915084388185654,0.8188585607940446,0.7012195121951219
"(0, 0, 0, 0, 1)","(0, 0, 0, 15)",0.8477075985892915,3119,0.9037546271813856,0.7797001153402537,0.7514159848961611,0.8116235758059335,0.9061505832449629,0.728448275862069,0.776332899869961,0.9013713080168776,0.8387096774193549,0.7280487804878049
