Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.6157844990548205,813,0.6727066817667045,0.6608040201005025,0.5341317365269461,0.6225474794647177,0.7037914691943128,0.6130536130536131,0.5290628706998813,0.6442516268980477,0.7166212534059946,0.5392986698911729
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.6502835538752363,740,0.6882821387940842,0.6976744186046512,0.5894117647058823,0.6584561073682059,0.7236842105263158,0.6633906633906634,0.5738831615120275,0.6561822125813449,0.7356948228882834,0.6058041112454655
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.6545368620037807,731,0.6905829596412556,0.7129506008010681,0.5909358446144791,0.6648231350189343,0.7146171693735499,0.6989528795811518,0.5756880733944955,0.6681127982646421,0.7275204359673024,0.6070133010882709
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.6644612476370511,710,0.6892590465249856,0.728,0.6122917863296956,0.6765169442848937,0.7326007326007326,0.7127937336814621,0.5831509846827133,0.6507592190889371,0.7438692098092643,0.6444981862152358
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.6710775047258979,696,0.7005714285714286,0.719562243502052,0.6213592233009708,0.6804976317914839,0.7403381642512077,0.7225274725274725,0.5887445887445888,0.6648590021691974,0.7166212534059946,0.6577992744860943
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.6658790170132325,707,0.7002865329512894,0.7111716621253406,0.6126640045636053,0.6747073998800784,0.7424058323207776,0.7111716621253406,0.5799136069114471,0.6626898047722343,0.7111716621253406,0.6493349455864571
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.6616257088846881,716,0.6886192952050838,0.7091412742382271,0.6160764474423833,0.6712790056285648,0.7367119901112484,0.7211267605633803,0.5756302521008403,0.6464208242950108,0.6975476839237057,0.6626360338573156
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.6767485822306238,684,0.6975381008206331,0.7156462585034014,0.6409826912339475,0.6847223501859939,0.7589285714285714,0.7146739130434783,0.5954356846473029,0.6453362255965293,0.7166212534059946,0.694074969770254
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.6947069943289225,646,0.7442383361439011,0.6826666666666666,0.6482677627715796,0.6917242551940491,0.7724620770128354,0.6684073107049608,0.6301369863013698,0.7180043383947939,0.6975476839237057,0.6674727932285369
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.6767485822306238,684,0.7087323943661972,0.7196765498652291,0.6250728862973761,0.6844939435096008,0.7373974208675264,0.712,0.6036036036036037,0.6822125813449024,0.7275204359673024,0.6481257557436517
"(0, 0, 0, 0, 1)","(0, 0, 0, 15)",0.691398865784499,653,0.7134703196347032,0.7133058984910837,0.6601941747572816,0.6956567976276896,0.7530120481927711,0.7182320441988951,0.6255411255411255,0.6778741865509761,0.7084468664850136,0.6989117291414753
"(0, 0, 0, 0, 1)","(0, 0, 0, 16)",0.6975425330812854,640,0.7410270568746549,0.69432918395574,0.6525323910482921,0.6959628772928955,0.7547806524184477,0.7050561797752809,0.6360505166475315,0.7277657266811279,0.6839237057220708,0.6698911729141476
"(0, 0, 0, 1, 0)","(4, 8, 12, 0)",0.6871455576559546,662,0.6968641114982579,0.7563025210084033,0.6503340757238307,0.7011669027434974,0.75,0.7780979827089337,0.6026831785345718,0.6507592190889371,0.7356948228882834,0.7061668681983071
"(0, 0, 0, 1, 0)","(4, 8, 14, 0)",0.6862003780718336,664,0.6958579881656805,0.7534246575342466,0.6501103752759382,0.6997976736586217,0.765625,0.7575757575757576,0.5979695431472081,0.6377440347071583,0.7493188010899182,0.7122128174123338
"(0, 0, 0, 1, 0)","(4, 8, 16, 0)",0.6758034026465028,686,0.6755609460278957,0.736986301369863,0.6519158121964382,0.6881543531980657,0.7661623108665749,0.7410468319559229,0.5886939571150097,0.60412147505423,0.7329700272479565,0.7303506650544136
"(0, 0, 0, 1, 0)","(4, 10, 12, 0)",0.6824196597353497,672,0.6836795252225519,0.7629427792915532,0.6486486486486487,0.6984236510542513,0.7549148099606815,0.7629427792915532,0.5963488843813387,0.6247288503253796,0.7629427792915532,0.7110036275695284
"(0, 0, 0, 1, 0)","(4, 10, 14, 0)",0.6720226843100189,694,0.6714975845410628,0.7595628415300546,0.6377440347071583,0.689601486926092,0.7574931880108992,0.7616438356164383,0.5781710914454278,0.6030368763557483,0.7574931880108992,0.7110036275695284
"(0, 0, 0, 1, 0)","(4, 10, 16, 0)",0.6734404536862004,691,0.6727162734422263,0.7452054794520548,0.6457544618712818,0.687892071588521,0.7606019151846786,0.7493112947658402,0.5841487279843445,0.6030368763557483,0.7411444141689373,0.7218863361547763
"(0, 0, 0, 1, 0)","(4, 0, 12, 0)",0.6507561436672968,739,0.6741308190925162,0.7116402116402116,0.6025857223159078,0.6627855843495452,0.7380645161290322,0.6915167095115681,0.5630252100840336,0.6203904555314533,0.7329700272479565,0.6481257557436517
"(0, 0, 0, 1, 0)","(4, 0, 14, 0)",0.6337429111531191,775,0.6573849878934624,0.6923076923076923,0.5866666666666667,0.6454531156226071,0.7438356164383562,0.6537530266343826,0.5426515930113053,0.588937093275488,0.7356948228882834,0.6384522370012092
"(0, 0, 0, 1, 0)","(4, 0, 16, 0)",0.6635160680529301,712,0.7011156782149148,0.7007672634271099,0.6101888952489983,0.6706906122970078,0.764404609475032,0.6602409638554216,0.5793478260869566,0.6475054229934925,0.7465940054495913,0.6444981862152358
"(0, 0, 0, 1, 0)","(6, 8, 12, 0)",0.7065217391304348,621,0.7160349854227406,0.782258064516129,0.6655386350817822,0.7212772283402172,0.7742749054224464,0.7718832891246684,0.6236786469344608,0.665943600867679,0.7929155313351499,0.713422007255139
"(0, 0, 0, 1, 0)","(6, 8, 14, 0)",0.6819470699432892,673,0.6956521739130435,0.7560321715817694,0.6378923766816144,0.6965255740588091,0.7589743589743589,0.7440633245382586,0.5945663531870429,0.6420824295010846,0.7683923705722071,0.6880290205562273
"(0, 0, 0, 1, 0)","(6, 8, 16, 0)",0.6847826086956522,667,0.7008849557522124,0.7467362924281984,0.64257481648786,0.6967320215560902,0.7684346701164295,0.7167919799498746,0.6027542372881356,0.6442516268980477,0.779291553133515,0.6880290205562273
"(0, 0, 0, 1, 0)","(6, 10, 12, 0)",0.691398865784499,653,0.7024221453287197,0.7663551401869159,0.6483704974271012,0.7057159276475788,0.75,0.7513089005235603,0.6149674620390455,0.6605206073752712,0.782016348773842,0.6856106408706167
"(0, 0, 0, 1, 0)","(6, 10, 14, 0)",0.695179584120983,645,0.6966426858513189,0.784,0.6571113561190739,0.7125846806567976,0.7788203753351206,0.7676240208877284,0.6038500506585613,0.6301518438177874,0.8010899182561307,0.720677146311971
"(0, 0, 0, 1, 0)","(6, 10, 16, 0)",0.6871455576559546,662,0.6932223543400713,0.761528326745718,0.6499162479061976,0.701555642997329,0.7671052631578947,0.7372448979591837,0.6037344398340249,0.6323210412147505,0.7874659400544959,0.7037484885126964
"(0, 0, 0, 1, 0)","(6, 0, 12, 0)",0.6734404536862004,691,0.6894519740718916,0.7426273458445041,0.6294019005030743,0.6871604068064899,0.7548387096774194,0.7308707124010554,0.5852390852390852,0.6344902386117137,0.7547683923705722,0.6807738814993954
"(0, 0, 0, 1, 0)","(6, 0, 14, 0)",0.6852551984877127,666,0.7114716106604867,0.7583547557840618,0.6261574074074074,0.6986612579506519,0.763681592039801,0.7177615571776156,0.6004439511653719,0.665943600867679,0.8038147138964578,0.6541717049576784
"(0, 0, 0, 1, 0)","(6, 0, 16, 0)",0.6630434782608695,713,0.680952380952381,0.7256176853055917,0.6191811553561414,0.6752504072047048,0.7546174142480211,0.6940298507462687,0.5774058577405857,0.6203904555314533,0.7602179836512262,0.6674727932285369
"(0, 0, 0, 1, 0)","(0, 8, 12, 0)",0.6786389413988658,680,0.6863691194209891,0.7513513513513513,0.6423118865866958,0.6933441191196787,0.7730978260869565,0.7453083109919572,0.5849056603773585,0.6171366594360087,0.7574931880108992,0.7122128174123338
"(0, 0, 0, 1, 0)","(0, 8, 14, 0)",0.695179584120983,645,0.7116493656286044,0.7612732095490716,0.6502293577981652,0.707717310991947,0.7598522167487685,0.7416020671834626,0.6183206106870229,0.6691973969631236,0.782016348773842,0.6856106408706167
"(0, 0, 0, 1, 0)","(0, 8, 16, 0)",0.6767485822306238,684,0.6804123711340206,0.7560321715817694,0.6412629286880784,0.6925691571346227,0.7716643741403026,0.7440633245382586,0.5831683168316831,0.6084598698481561,0.7683923705722071,0.7122128174123338
"(0, 0, 0, 1, 0)","(0, 10, 12, 0)",0.694234404536862,647,0.6989946777054997,0.7606019151846786,0.6629834254143646,0.7075266727681809,0.7685305591677504,0.7637362637362637,0.6103763987792472,0.6409978308026031,0.7574931880108992,0.7255139056831923
"(0, 0, 0, 1, 0)","(0, 10, 14, 0)",0.6767485822306238,684,0.6740331491712708,0.75,0.6498117267348037,0.6912816253020249,0.7765205091937766,0.7400530503978779,0.5852713178294574,0.5954446854663774,0.7602179836512262,0.7303506650544136
"(0, 0, 0, 1, 0)","(0, 10, 16, 0)",0.6781663516068053,681,0.6754966887417219,0.7690253671562083,0.6432491767288694,0.6959237442089332,0.7591339648173207,0.7539267015706806,0.5889447236180905,0.6084598698481561,0.784741144414169,0.7085852478839177
"(0, 0, 0, 1, 0)","(0, 0, 12, 0)",0.6167296786389413,811,0.6631079478054567,0.6375321336760925,0.5633484162895928,0.6213294992570473,0.731675392670157,0.6034063260340633,0.5292242295430393,0.6062906724511931,0.6757493188010899,0.6021765417170496
"(0, 0, 0, 1, 0)","(0, 0, 14, 0)",0.6063327032136105,833,0.6714456391875747,0.6169154228855721,0.5393386545039909,0.6092332388590459,0.7473404255319149,0.5675057208237986,0.5102481121898598,0.6095444685466378,0.6757493188010899,0.5719467956469165
"(0, 0, 0, 1, 0)","(0, 0, 16, 0)",0.6209829867674859,802,0.6801667659321025,0.631578947368421,0.5595441595441596,0.6237632909482277,0.7542932628797886,0.5846867749419954,0.5290948275862069,0.6193058568329718,0.6866485013623979,0.5937122128174124
"(0, 0, 0, 1, 1)","(4, 8, 12, 5)",0.6739130434782609,690,0.6850763807285546,0.7510204081632653,0.6317548746518106,0.6892838878478768,0.7474358974358974,0.75,0.5857438016528925,0.6323210412147505,0.7520435967302452,0.6856106408706167
"(0, 0, 0, 1, 1)","(4, 8, 12, 6)",0.6795841209829868,678,0.693634741225461,0.7473118279569892,0.6386275594908688,0.6931913762244397,0.7681159420289855,0.7374005305039788,0.5887755102040816,0.6323210412147505,0.7574931880108992,0.6977025392986699
"(0, 0, 0, 1, 1)","(4, 8, 12, 7)",0.691398865784499,653,0.7196749854904236,0.7407407407407407,0.6423274386765545,0.7009143883025729,0.7740324594257179,0.7197943444730077,0.6079913606911447,0.6724511930585684,0.7629427792915532,0.6807738814993954
"(0, 0, 0, 1, 1)","(4, 8, 12, 8)",0.6862003780718336,664,0.7096018735362998,0.7473684210526316,0.63718820861678,0.6980528344019038,0.7709923664122137,0.72264631043257,0.5997865528281751,0.6572668112798264,0.773841961852861,0.6795646916565901
