,0,1,2,3,4,5,6,7,8,9
H_alpha,0.0575,0.055,0.06,0.0725,0.0625,0.105,0.05,0.0675,0.0575,0.055
1.d SGF,0.235,0.225,0.2225,0.2575,0.2375,0.2425,0.2275,0.2475,0.255,0.2475
2.d SGF,0.025,0.0325,0.0475,0.0575,0.0325,0.025,0.0375,0.035,0.0425,0.0325
MM 4,0.005,0.0125,0.035,0.0025,0.02,0.005,0.0125,0.025,0.0,0.02
MM 6,0.015,0.0175,0.01,0.0275,0.0175,0.03,0.025,0.02,0.0225,0.015
MM 8,0.0275,0.0175,0.025,0.015,0.0175,0.0,0.015,0.0225,0.005,0.03
MM 10,0.0075,0.0075,0.015,0.005,0.0075,0.03,0.01,0.0075,0.0325,0.0125
MM 12,0.01,0.015,0.005,0.01,0.0025,0.0075,0.01,0.005,0.055,0.0075
MM 14,0.03,0.045,0.0275,0.01,0.04,0.0425,0.05,0.0425,0.0125,0.06
MM 16,0.0575,0.0375,0.025,0.045,0.03,0.0225,0.0225,0.035,0.0625,0.0325
EMM 4,0.045,0.0375,0.0525,0.05,0.04,0.06,0.0275,0.025,0.0425,0.04
EMM 6,0.055,0.04,0.0475,0.04,0.03,0.03,0.02,0.0325,0.01,0.02
EMM 8,0.0025,0.0,0.0,0.0,0.0,0.0075,0.0,0.0025,0.0075,0.0
EMM 10,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0025
EMM 12,0.0525,0.04,0.0275,0.0,0.0375,0.0225,0.0575,0.0325,0.0075,0.0275
EMM 14,0.015,0.0175,0.0375,0.0225,0.0275,0.025,0.0275,0.0325,0.015,0.0275
EMM 16,0.0125,0.0175,0.0125,0.0125,0.015,0.015,0.015,0.0075,0.02,0.0125
MV 5,0.0425,0.05,0.0375,0.0525,0.045,0.0675,0.045,0.045,0.0375,0.01
MV 6,0.01,0.0225,0.015,0.005,0.03,0.05,0.0225,0.0275,0.03,0.015
MV 7,0.0275,0.0275,0.0275,0.035,0.03,0.0075,0.0325,0.02,0.0525,0.015
MV 8,0.0125,0.0025,0.0075,0.0025,0.005,0.0075,0.0025,0.005,0.005,0.035
MV 9,0.005,0.0075,0.0075,0.01,0.0075,0.0125,0.005,0.005,0.0025,0.02
MV 10,0.025,0.0225,0.0375,0.0275,0.0275,0.015,0.02,0.0325,0.0175,0.04
MV 11,0.0325,0.035,0.03,0.015,0.0325,0.02,0.0225,0.0375,0.0575,0.0075
MV 12,0.0275,0.0325,0.035,0.02,0.0275,0.0175,0.035,0.0325,0.0,0.0275
MV 13,0.0,0.01,0.005,0.04,0.0025,0.0,0.0025,0.0025,0.0025,0.0275
MV 14,0.0025,0.0025,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0025,0.0025
MV 15,0.0175,0.015,0.0125,0.035,0.03,0.0025,0.0325,0.0175,0.015,0.03
MV 16,0.1425,0.1525,0.1325,0.125,0.1425,0.125,0.17,0.1325,0.13,0.1275
