,0,1,2,3,4,5,6,7,8,9
H_alpha,0.0475,0.0325,0.055,0.045,0.045,0.0375,0.0475,0.04,0.045,0.0625
1.d SGF,0.23,0.2175,0.23,0.2425,0.2375,0.2625,0.235,0.2375,0.23,0.245
2.d SGF,0.035,0.0325,0.035,0.0375,0.0325,0.065,0.04,0.0375,0.045,0.045
MM 4,0.0225,0.0025,0.0275,0.0175,0.025,0.025,0.0025,0.0225,0.035,0.005
MM 6,0.07,0.0175,0.0625,0.08,0.075,0.075,0.0525,0.0675,0.065,0.0575
MM 8,0.0175,0.005,0.01,0.02,0.0125,0.0075,0.005,0.0125,0.015,0.0075
MM 10,0.005,0.01,0.005,0.0025,0.0025,0.0025,0.025,0.005,0.0,0.0
MM 12,0.0025,0.005,0.0025,0.005,0.005,0.0075,0.0075,0.005,0.005,0.0
MM 14,0.0275,0.025,0.02,0.0225,0.025,0.015,0.035,0.025,0.02,0.0275
MM 16,0.1125,0.1325,0.1175,0.1,0.12,0.055,0.115,0.1075,0.1225,0.095
EMM 4,0.0225,0.0175,0.01,0.015,0.0125,0.0125,0.02,0.015,0.005,0.025
EMM 6,0.01,0.0575,0.01,0.01,0.005,0.005,0.0075,0.01,0.0125,0.0
EMM 8,0.0,0.0,0.0,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0
EMM 10,0.0075,0.03,0.0025,0.0075,0.005,0.01,0.0,0.0075,0.005,0.005
EMM 12,0.0025,0.0025,0.01,0.0125,0.0125,0.0075,0.0025,0.0125,0.005,0.0075
EMM 14,0.0025,0.0,0.0075,0.0,0.005,0.0075,0.0025,0.0025,0.005,0.0025
EMM 16,0.0075,0.03,0.01,0.0075,0.0075,0.0175,0.01,0.0075,0.01,0.015
MV 5,0.02,0.0275,0.0375,0.0275,0.0325,0.035,0.025,0.025,0.03,0.03
MV 6,0.025,0.03,0.02,0.03,0.0175,0.0375,0.0275,0.03,0.0175,0.025
MV 7,0.005,0.0,0.0075,0.0075,0.0075,0.0,0.01,0.005,0.005,0.01
MV 8,0.0225,0.01,0.025,0.025,0.0175,0.0025,0.0275,0.025,0.0175,0.0575
MV 9,0.0125,0.0,0.01,0.0125,0.0125,0.0025,0.005,0.01,0.01,0.025
MV 10,0.01,0.0225,0.005,0.01,0.0075,0.0275,0.0175,0.01,0.0075,0.005
MV 11,0.03,0.025,0.025,0.025,0.035,0.0375,0.03,0.0275,0.03,0.035
MV 12,0.0275,0.03,0.03,0.03,0.0225,0.02,0.03,0.03,0.0325,0.0025
MV 13,0.015,0.045,0.015,0.0175,0.0175,0.0325,0.0075,0.02,0.0125,0.0175
MV 14,0.03,0.01,0.0275,0.03,0.03,0.03,0.045,0.035,0.035,0.04
MV 15,0.0325,0.045,0.0425,0.025,0.03,0.0225,0.005,0.0225,0.0375,0.02
MV 16,0.1475,0.1375,0.14,0.1325,0.14,0.1375,0.16,0.1425,0.1375,0.1325
