,1,2,3,4,5,6,7,8,9,10,average
H_alpha,4007.5049893921396,3861.952077461521,4002.9921626345,3900.9041231836477,3772.4372793769367,3746.2312282078346,4089.447906050526,3982.754810040719,4281.379070175852,3959.301743460378,3960.490538998405
1.d SGF,10685.19100519014,10884.402694546086,10732.52689543256,10748.756894964281,10521.70572811085,10997.642337434845,10939.20128550591,10836.830791220284,11225.66858860679,11004.390617983549,10857.63168389953
2.d SGF,203.29495034697334,207.66980459151216,202.6780515129483,210.3182310681432,218.86240287198723,214.71534391740494,216.52180416807988,212.42636422159532,203.57376411158734,212.06535425591957,210.21260710661508
MM 4,4927.512284387983,4890.502145724737,5028.54756035076,4906.384831271488,4722.087075376045,4665.931512610882,5167.175441375213,5080.124621356531,5505.267615416785,5031.539650977747,4992.507273884818
MM 6,6607.509468991867,6655.059002570614,6741.276670161142,6653.043093506051,6387.367368464525,6364.002229263772,6957.999514282217,6860.559332847023,7444.102955655031,6841.9642519131685,6751.288388765541
MM 8,8472.874360187881,8591.958081524996,8599.433632814422,8566.92856190901,8195.146226683293,8241.126621626945,8909.010841395168,8803.709525598068,9585.895462181048,8844.073726925548,8681.015704084637
MM 10,10492.570538116433,10644.213321210875,10555.412307028797,10579.93791637159,10082.477537611208,10244.244342384005,10955.752158687637,10836.722092266515,11881.700669726615,10993.839873231707,10726.687075663538
MM 12,12533.484045239278,12638.557020125825,12461.996234775092,12510.387848501498,11887.562260841938,12216.512082884976,12921.177443895336,12769.750068657366,14143.395086470497,13137.386535119933,12722.020862651174
MM 14,14373.871862087506,14339.507047817038,14107.972925675935,14133.525905466871,13396.126994375065,13931.5477659512,14582.449163560785,14369.406281667305,16095.170043112434,15049.563139265421,14437.914112897957
MM 16,15790.62498196931,15570.70600730182,15312.918637135861,15289.227047479624,14453.018972347843,15203.282167669628,15761.809792194925,15484.368478072356,17478.29169883799,16551.98191341179,15689.622969642116
EMM 4,4820.015559498775,4771.374961180578,4914.563363201017,4790.681336249093,4608.289118364735,4550.399382304662,5046.764514692532,4958.090563428388,5377.985593373455,4908.967233918953,4874.713162621219
EMM 6,6307.5457965724445,6330.816792045437,6435.0376021825405,6337.4469229184,6078.920009593804,6044.939259476117,6633.060616652092,6534.246810188838,7100.684676431375,6507.914469882905,6431.061295594395
EMM 8,7916.017718718806,8003.228285011301,8051.162845875416,7995.341369414269,7643.684527253491,7658.13436445573,8327.004704197832,8218.553970334215,8962.350087449458,8236.550103714728,8101.202797642525
EMM 10,9599.278920878689,9732.459866520569,9714.712272496092,9702.838198225145,9249.065261625881,9337.382355319058,10072.55688686509,9950.537807606517,10914.143730409112,10049.099682946577,9832.207498289274
EMM 12,11258.64412206394,11405.767289656374,11326.845343989682,11345.93388771767,10794.298538194249,10980.810323643957,11758.652988437,11615.335797850912,12835.788672767803,11842.199896940074,11516.427686126164
EMM 14,12761.2183449718,12889.590589982783,12765.513700559397,12798.816494191835,12159.701981353459,12460.732639097218,13257.92955746543,13082.849047243455,14573.183055008198,13480.899662215881,13023.043507208942
EMM 16,13989.297824951509,14081.872965828274,13929.18303735881,13968.455260751649,13255.48173764902,13672.93076886506,14465.903975273939,14259.53341988313,15989.14013109912,14852.228836149192,14246.402795780969
MV 5,1576.488622478522,1538.577343664984,1537.9817658109034,1536.660478841898,1529.342845793203,1546.5458708994533,1602.3354195884858,1543.220822143384,1633.6409550448961,1538.329494199431,1558.3123618465165
MV 6,1794.2505358911437,1776.193921313421,1764.6958884973296,1772.0701975522966,1760.7440703946943,1773.309914861109,1847.8087129726139,1778.0430611943264,1883.9539619861048,1762.8520367351432,1791.3922301398184
MV 7,2161.9645017438947,2156.312310574217,2135.0372304758525,2148.6987565132786,2135.5001665078503,2147.259711686757,2245.6932429467784,2158.119094816346,2285.7286203856956,2132.560066010137,2170.687370166081
MV 8,2637.974155978616,2639.076410309841,2608.6527971909213,2626.2174594605463,2613.967781075402,2627.157812170362,2754.7991346727276,2643.0664831418453,2798.3492597620843,2606.4515908814715,2655.571288464382
MV 9,3205.3203113541476,3207.2423057491806,3167.3014884595354,3187.3246292314575,3178.7563404915104,3195.3106536943637,3357.2843502805977,3215.3422895309036,3404.8932923204843,3166.9292483172862,3228.570490942947
MV 10,3856.509198008166,3853.032239625253,3803.4064359692707,3824.2288583811282,3822.048478272286,3843.98388633502,4045.0648498046444,3867.073994850104,4097.912720626448,3806.064484427218,3881.9325146299534
MV 11,4589.143562790721,4569.363458213098,4511.395275241868,4529.840668699821,4537.470692637114,4566.974587359709,4810.794462189089,4590.0153582614685,4870.998214276045,4515.417350413046,4609.141363008197
MV 12,5392.741370692765,5342.01972160997,5283.901327248338,5288.879601561527,5312.022732157642,5350.741552248472,5639.847646059199,5368.051835628091,5710.9120395931495,5282.141678470927,5397.125950527008
MV 13,6279.413466482865,6180.6274228225,6126.986890041202,6112.403138087737,6154.027940190179,6205.76336960092,6544.455803068517,6210.042087197353,6627.769651088761,6115.355076999353,6255.684484557938
MV 14,7254.369356141909,7084.313636464897,7035.674253935843,7002.586178672117,7063.317164507606,7133.116030578341,7525.058840316375,7114.740054500491,7621.574791325436,7018.2833508492895,7185.30336572923
MV 15,8313.105652444921,8043.679627088432,8003.706463107693,7948.269784171225,8030.65788622345,8123.974792680795,8570.794524205461,8071.834416289783,8681.079424264019,7988.616508667087,8177.5719079142855
MV 16,9423.096860701819,9032.880635316935,9012.7697737921,8923.445841599998,9028.072468321572,9151.552243781496,9655.26363395367,9055.319967000069,9778.272982312366,9006.616135606326,9206.729054238634
