,1,2,3,4,5,6,7,8,9,10,average
H_alpha,2948.5435307607413,3267.7782682895486,2837.761112708121,2617.8761429577266,2839.667975550704,3024.6075023401477,2867.623271128033,2720.564649784668,2931.1032547284376,2931.275662332396,2898.680137058052
1.d SGF,7106.513617693859,7520.417109514333,6864.925946853156,7134.507152959559,7068.495197598017,7777.112084599724,6750.833597495617,7486.353712917751,6931.748821324664,7508.036528530476,7214.894376948714
2.d SGF,239.11124740592103,214.2819319635078,203.65566353475398,234.24192834064615,230.38111919113837,212.67711094468876,222.66236940946828,237.75571192942812,223.31447082064497,234.35987997062347,225.24414335108207
MM 4,3692.417779304109,4135.631040229667,3718.981549899626,3269.9008287359406,3554.3813705408716,3876.135986461872,3503.7964977792635,3433.4227847152783,3662.3966652245504,3644.3951545161704,3649.145965740735
MM 6,4758.9057821098095,5418.847702014306,4831.771601358423,4300.758071315726,4619.524517889949,5099.99702537444,4497.723958718166,4593.6209113674495,4705.823593370798,4736.023880480312,4756.299704399938
MM 8,5761.92456615029,6718.440647729139,5878.0461575041045,5297.165574552112,5639.045350388669,6297.1793510656,5460.174834866878,5754.229635991218,5689.631591993941,5765.4681604050265,5826.1305870646975
MM 10,6601.973977644164,7913.639057717927,6768.639899235539,6163.776542989223,6526.8804870428485,7350.478754943267,6309.422006234469,6805.959058331944,6526.8296902681195,6654.023054392403,6762.16225287999
MM 12,7204.570483197499,8892.113379887283,7428.665682403054,6815.390397121631,7208.078620175888,8161.029370671265,6979.190435327862,7637.639090887164,7153.789063861078,7301.666247782115,7478.213277131482
MM 14,7549.465428534015,9557.667671285988,7839.038582668126,7204.380222464661,7653.235634801699,8666.926736682495,7425.172287699398,8173.199711618139,7541.960126387123,7659.283528300522,7927.032993044217
MM 16,7616.183571659988,9849.544392812928,7974.518015791536,7294.695965937985,7837.935023222497,8839.33990926596,7594.122345131647,8342.972589741212,7657.1614043578,7730.437118299403,8073.691033622095
EMM 4,3612.1112169373496,4050.2199327527132,3630.1582583738173,3189.8139919613877,3474.6345269280164,3783.930808706627,3433.201629918411,3343.4204489438284,3586.0801861634877,3561.331492360361,3566.4902493046
EMM 6,4566.367109022936,5195.905320529614,4628.9692138049995,4106.067503754569,4428.27669287142,4873.943602399443,4322.084735668518,4368.44006359564,4522.591062468176,4531.938900061574,4554.458420417689
