,0,1,2,3,4,5,6,7,8,9
H_alpha,0.0959,0.0949,0.1002,0.1011,0.0943,0.0925,0.0854,0.0998,0.0907,0.0906
1.d SGF,0.1861,0.1975,0.1945,0.2053,0.1923,0.2116,0.2049,0.206,0.2159,0.1986
2.d SGF,0.1096,0.1014,0.095,0.1062,0.1002,0.0977,0.1066,0.0976,0.091,0.0967
MM 4,0.02,0.03,0.0293,0.0248,0.0229,0.0318,0.0323,0.023,0.0288,0.0283
MM 6,0.0135,0.0105,0.0108,0.0088,0.0094,0.0138,0.0115,0.012,0.01,0.0131
MM 8,0.0149,0.0159,0.0144,0.0145,0.011,0.017,0.0108,0.0132,0.0159,0.0109
MM 10,0.0175,0.0153,0.0207,0.018,0.0245,0.0197,0.0196,0.0181,0.0128,0.024
MM 12,0.0162,0.013,0.0138,0.0177,0.0159,0.0143,0.0162,0.0205,0.0164,0.0176
MM 14,0.0237,0.0215,0.0191,0.0219,0.0195,0.0184,0.0139,0.0227,0.0237,0.0218
MM 16,0.0607,0.0449,0.0346,0.0454,0.0436,0.0401,0.0461,0.0442,0.0601,0.0486
EMM 4,0.0347,0.033,0.022,0.0304,0.0338,0.022,0.0342,0.0261,0.0254,0.0258
EMM 6,0.0226,0.018,0.0111,0.0134,0.013,0.0211,0.0171,0.0167,0.0152,0.021
EMM 8,0.0082,0.0082,0.0115,0.0053,0.0079,0.014,0.0082,0.0117,0.0106,0.0066
EMM 10,0.0084,0.0079,0.0048,0.0089,0.0086,0.0103,0.0101,0.0058,0.0104,0.0074
EMM 12,0.0089,0.0133,0.0123,0.0145,0.0129,0.0124,0.0063,0.0086,0.0129,0.0124
EMM 14,0.0062,0.0096,0.0136,0.008,0.013,0.0061,0.0128,0.0109,0.0078,0.0098
EMM 16,0.0359,0.0378,0.0458,0.0341,0.0352,0.0457,0.0432,0.0432,0.0347,0.0403
MV 5,0.0269,0.021,0.0272,0.0192,0.0221,0.016,0.0286,0.0285,0.0227,0.0193
MV 6,0.0142,0.0133,0.0138,0.0131,0.0189,0.014,0.018,0.0139,0.0146,0.011
MV 7,0.0163,0.0146,0.017,0.0162,0.0166,0.0097,0.0163,0.0139,0.012,0.0104
MV 8,0.0093,0.0148,0.0109,0.013,0.0094,0.0153,0.0148,0.0185,0.0153,0.0149
MV 9,0.026,0.0165,0.021,0.0216,0.0287,0.0119,0.0212,0.0184,0.0159,0.0231
MV 10,0.0138,0.0157,0.0185,0.012,0.0097,0.0136,0.0134,0.0124,0.0095,0.0105
MV 11,0.0137,0.0177,0.0165,0.0195,0.0179,0.0191,0.016,0.017,0.0196,0.019
MV 12,0.0188,0.0171,0.0161,0.022,0.0197,0.0187,0.0133,0.0172,0.0182,0.0231
MV 13,0.0204,0.0262,0.024,0.0253,0.0236,0.0229,0.0202,0.0187,0.0286,0.0209
MV 14,0.0225,0.0221,0.0273,0.0205,0.0323,0.0186,0.0204,0.0241,0.0243,0.0209
MV 15,0.0114,0.0164,0.0148,0.0144,0.0151,0.0144,0.0137,0.0176,0.0101,0.0145
MV 16,0.1236,0.1317,0.1394,0.1253,0.1278,0.1373,0.1251,0.1199,0.127,0.139
