,1,2,3,4,5,6,7,8,9,10,average
H_alpha,0.47866454550178106,0.46224935571670267,0.4685740234803839,0.45893116392435473,0.46718437527890955,0.4654964073595875,0.4726220310135192,0.4766477517656087,0.4815602900016389,0.4768284498994573,0.47087583939419436
1.d SGF,0.4437813840914333,0.4484816145680195,0.4428608623733805,0.4528835098537636,0.4505069908541042,0.4568827616640132,0.447046244377302,0.44471715221066876,0.44749457533976944,0.44254814939205156,0.44772032447245047
2.d SGF,0.2829208856040244,0.2847150637752547,0.27542929267770866,0.2887069658560173,0.2873493578395445,0.28617818245213544,0.2806457285879904,0.27494681312959157,0.2805637789578874,0.2777969143491743,0.2819252983229329
MM 4,0.479438593472993,0.4671916524546085,0.47175454648906134,0.4662429153759662,0.4725165761559127,0.46907436062218233,0.4785761566311362,0.4843121343242862,0.48852984164974544,0.48847099334949506,0.47661077705253874
MM 6,0.49316341131579455,0.48205172425803555,0.4840529232770605,0.4841249908478422,0.4882978454937654,0.4918750993832748,0.4931397609160735,0.4988127706427028,0.5095166048523154,0.501870872920964,0.49269060039078294
MM 8,0.5050156732578168,0.49901748779743604,0.49387420379917546,0.4975421009035714,0.49795208441325745,0.505409298320163,0.5064149487848129,0.5106692528952836,0.5189294987667517,0.5129175515244986,0.5047742100462768
MM 10,0.5131908608024378,0.5078500321595603,0.500648358732181,0.5061150319611813,0.5063823293756402,0.5119930500412078,0.5126946855782779,0.5152325236444306,0.5294874640778833,0.5183266305564895,0.512192096692929
MM 12,0.5121074598628041,0.5078900989916093,0.5034325256948207,0.5025728398422786,0.5074015528845535,0.5119162720136263,0.5123397269895744,0.5128648083377496,0.530014886574182,0.5110051598169076,0.5111545331008106
MM 14,0.5112599960907995,0.5040491580877227,0.5004174957907861,0.4979124504537118,0.5015410139710097,0.5086075468470042,0.5071328354427043,0.5110865855706384,0.5263305849441924,0.5072149544457041,0.5075552621644273
MM 16,0.5035751884384436,0.494570976844356,0.4911662269044219,0.48827131055363004,0.4909360043471185,0.5019913766985409,0.4978155248823499,0.4982280061961255,0.515413187595092,0.49502304938170405,0.49769908518417827
EMM 4,0.4738556899737829,0.4616597246236236,0.4631708131351222,0.4624693614416022,0.4658780504928648,0.46544642853134155,0.47215271095897227,0.47761134206055234,0.4865931408600648,0.48089647740017205,0.4709733739478099
EMM 6,0.48816499210972175,0.47647863079639285,0.47934801179118214,0.47463939168530667,0.48304702849508163,0.4811208967141083,0.48609974851304827,0.49348292199681465,0.503966587604072,0.49884071959039566,0.48651889292961237
EMM 8,0.5033510885739083,0.49380935080633126,0.4915609818610831,0.4926980519288784,0.497361296248239,0.49955581609457766,0.5007903899809885,0.5074333232671926,0.5178315157728488,0.5120152727181317,0.5016407087252179
EMM 10,0.5122238941091579,0.5041458099235456,0.49878684476039514,0.5001631612646811,0.5061937853200527,0.5085392669683733,0.510017512517219,0.5137431254761979,0.5279698328228908,0.5156963796443967,0.509747961280691
EMM 12,0.5123550823961447,0.5065810123670169,0.5018266115536374,0.5039370684815399,0.5058839449347523,0.510634147045266,0.5107392175587073,0.513560431286705,0.5296086759530725,0.5118908889580229,0.5107017080534865
EMM 14,0.5108404869064562,0.5035162946732863,0.5012070680095813,0.5003962345519473,0.5045838590926057,0.5100382025085926,0.5107482810834714,0.5106787363724341,0.528998091793837,0.508071532112385,0.5089078787104597
EMM 16,0.5078819138187445,0.5035408812505549,0.4992295147577779,0.49664028437021934,0.5007517063990579,0.5060606313720655,0.5082418748542354,0.508022881086367,0.523701148448867,0.5059476046541662,0.5060018441012055
MV 5,0.3336862041197419,0.3295031894418279,0.32987392553715056,0.32769349251335633,0.3333429549717759,0.32648480978215755,0.32726917209343664,0.322019658487948,0.3278530929257355,0.3211657813620725,0.3278892281235203
MV 6,0.36303765947385847,0.35816106437644923,0.36007006563139243,0.35748782808263235,0.3648960510339352,0.3625363976105256,0.35954610404998366,0.35140684869921146,0.3593275544222454,0.3542594223484228,0.35907289957286564
MV 7,0.403063166114765,0.3950711493964212,0.3931551913582456,0.392149464746985,0.3956338771008838,0.3920105246827643,0.39162700837593123,0.3814717736887798,0.3926221691355076,0.3829379227991532,0.3919742247399437
MV 8,0.42913690091601575,0.4220562130525942,0.42287811735059555,0.41899305910613793,0.42415436658923267,0.4189764251441954,0.4245504507576565,0.4138321497749222,0.42307764641304435,0.413831026255691,0.4211486355360085
MV 9,0.4569985964384231,0.4450263785225712,0.4489756367185984,0.44273548048189726,0.44331779485288125,0.44461067496685525,0.44569277310382627,0.43777958751938173,0.44963873515230346,0.4378232735355363,0.4452598931292274
MV 10,0.48052332087409133,0.46538167318907586,0.4700242561076946,0.461630135254814,0.4664472036438996,0.46552368871716765,0.4673383992394111,0.4560006411056543,0.46801551095801575,0.4600507371498437,0.4660935566239669
MV 11,0.49998432406802973,0.48594220232580687,0.49020362590916666,0.48335054275554,0.48756686103748437,0.4839103904689981,0.4850411431528261,0.4783542188111414,0.4913114967415384,0.4839834444945903,0.4869648249765122
MV 12,0.5174100510671498,0.504256925263173,0.5105572436185573,0.49887452777475394,0.5046379230921381,0.5067352356542332,0.504110973958368,0.49359648339738094,0.5049476055316817,0.502334107733021,0.5047461077090458
MV 13,0.5290829901692502,0.5153721761134047,0.5217263385718747,0.512504768308421,0.5141969913911968,0.5149653732971173,0.5146817969093114,0.5065673635616785,0.5203634844835694,0.5150089999296237,0.5164470282735447
MV 14,0.5470023769781127,0.534661974903941,0.5379081220621029,0.5295877357561327,0.5330806691732681,0.532165427078986,0.5340843158379305,0.5242391138764004,0.5354880599743592,0.5352733431337147,0.5343491138774948
MV 15,0.5602365903425719,0.547754482539637,0.5527313258380953,0.5410817499952774,0.5477160044588083,0.5481127266498533,0.5506444074685612,0.5378527953337564,0.5486307896109373,0.5503089464818016,0.5485069818719299
MV 16,0.5688517216168971,0.5543231686051164,0.5620588210943953,0.5515854610743542,0.5557524217211032,0.5582848727705545,0.5579991595154796,0.5470452107909107,0.5553180224912262,0.5611617022203583,0.5572380561900395
