,1,2,3,4,5,6,7,8,9,10,average
H_alpha,0.3957631663259893,0.42889210944858003,0.4078288513974697,0.3732485272181556,0.40023961933702856,0.4163317000224811,0.3953874263527255,0.3979967298510507,0.3942351846715806,0.41193712154679285,0.40218604361718546
1.d SGF,0.3532093060751431,0.36504313450840287,0.36057063507999243,0.37562586897566264,0.34875136119215666,0.3725236776637273,0.3485965954348096,0.370111572099201,0.35177314823531636,0.3805819519114608,0.3626787251175873
2.d SGF,0.2123643623643936,0.21941187526885386,0.22233406437556713,0.2192265995876932,0.21215853956656616,0.22979214858230956,0.2077682714245639,0.21779974831214277,0.2149366743694181,0.23627621033837642,0.21920684941898844
MM 4,0.3814747829463383,0.4250801106093256,0.39719492945186996,0.3647526037104396,0.3908114939411522,0.41627274861084906,0.3801925300452864,0.3822468607969054,0.37990802951833325,0.39349052370204074,0.39114246133325403
MM 6,0.39318158310742635,0.4379876088342276,0.4143933459289837,0.3821242395126758,0.40399201716219446,0.4336471677364393,0.389974331531852,0.3997070260355837,0.3966300058038421,0.41081823492835046,0.4062455560581576
MM 8,0.3940291279451189,0.4445837793434049,0.4142303799777054,0.3847599220434825,0.40352787370315246,0.43351741722305115,0.3905391800462803,0.402240935551871,0.3911431440525843,0.410716451735067,0.40692882116217177
MM 10,0.39774175622073527,0.4438601181389479,0.42280421960987935,0.3930689148585613,0.40712797132208633,0.4407429525699156,0.3986913927063007,0.40869106513984366,0.395160147727601,0.412207535895595,0.41200960741894654
MM 12,0.3891037390081613,0.4417901964404094,0.4157108275383381,0.3868263495293831,0.4013918690316942,0.43410039505658604,0.3974929246232515,0.39784612303598665,0.38832078476879994,0.403680245854414,0.40562634548870247
MM 14,0.39352643589328307,0.4477704494134753,0.41724992328575605,0.38821468818821536,0.4056859881204007,0.43530107895783576,0.4004345018324553,0.39848736234169624,0.3923603125336834,0.405849382146106,0.4084880122712907
MM 16,0.3903740231535848,0.439050047778369,0.4111521065332011,0.38427338955476187,0.39808091267847123,0.42415215641667214,0.3933382836266841,0.38729942010515317,0.3892243591639446,0.40240145864452836,0.401934615765537
EMM 4,0.373130580565606,0.41824988341840985,0.3925088999355575,0.35620752881685225,0.383205975478522,0.4125946630623998,0.3709002983515035,0.3743632181132648,0.37311106659361215,0.39102770298769207,0.38452998173234204
EMM 6,0.3856253080346519,0.4328205215635963,0.4073082422115353,0.3739035722822617,0.39668086249175283,0.42698064895497856,0.38494871518475726,0.3920874695824872,0.3840183932247292,0.40128678518048577,0.3985660518711236
EMM 8,0.3878019112560984,0.43405545624404995,0.4145323460703463,0.37844981451544735,0.3984165356168401,0.43123925649692074,0.386113449414772,0.3944188714261594,0.38676900703188255,0.4052069047476936,0.40170035528202097
EMM 10,0.3925665722491565,0.4404740402254721,0.41899925211033384,0.38837209708733966,0.4087049689410176,0.43621283368890484,0.39494250591257885,0.4016106958151642,0.3948035251426645,0.4121028653276737,0.4088789356500306
EMM 12,0.3981484151330741,0.4427593331824182,0.4180548123400605,0.3902173919819638,0.40594621709461465,0.43579941165934555,0.398027792761261,0.40009523046796214,0.39607105171166523,0.41159360991850646,0.40967132662508715
EMM 14,0.3951092550112403,0.4467197100625382,0.4240481238057279,0.39266169665383366,0.4031393828657135,0.4351204315997155,0.4005327466266333,0.3991004645506928,0.39850889434335146,0.41010257696120545,0.41050432824806526
EMM 16,0.39805367242576417,0.4489853041049281,0.4205939868941295,0.39074526309893787,0.40607606593216317,0.43669733997959437,0.401602089354429,0.39846546565778995,0.40021134915383394,0.4087828936909077,0.4110213430292478
MV 5,0.2371730969720407,0.24776879276239594,0.25884574946186345,0.23386022480661994,0.23551371050780823,0.2528549950041312,0.24303916944443582,0.2374883734341502,0.24297578754660076,0.2666996935999819,0.24562195935400283
MV 6,0.2706760546896414,0.28552908909140373,0.2957541599539717,0.2679043563646535,0.2689768294793091,0.28756921792474444,0.2795222796147814,0.2721153727581498,0.2789553859617262,0.30195949802961186,0.2808962243867993
MV 7,0.2952132514644812,0.3121885014365491,0.3230476573451886,0.2962765794208517,0.295761225332541,0.3194346503012344,0.3076308076973806,0.2984412466302413,0.3064060725378812,0.3309047599092525,0.30853047520756016
MV 8,0.3093747130271003,0.32632091095346105,0.3393489184860776,0.31059456038019895,0.30842493051613196,0.3316423589658719,0.3172711464758893,0.3097138926176495,0.3181741926981423,0.34089431767670586,0.32117599417972287
MV 9,0.3296645017368398,0.3422281098160971,0.3608511233386573,0.3352479196174929,0.3307442710228472,0.3600989699140904,0.34341751322020064,0.3336016798327932,0.3397242717916229,0.3646073448979845,0.34401857051886264
MV 10,0.349515648128385,0.3626630025104236,0.38138856849182234,0.35940828295711813,0.354296313361653,0.3835708806211602,0.3666177681294358,0.3531215228990867,0.36564963428212605,0.3843247282342357,0.36605563496154464
MV 11,0.36068173355511624,0.3762151143748398,0.3949407863823098,0.37150400434175346,0.3636853571313985,0.3949443378841886,0.3779781605115482,0.36507426532599063,0.37537244073026166,0.39812595969945974,0.3778522159936867
MV 12,0.37217360625651685,0.3873918184199898,0.402497022925008,0.3771983715516154,0.37654505441953456,0.40465342556589956,0.38673174958734235,0.37347998878575295,0.38837430705494613,0.41030401368945557,0.3879349358256062
MV 13,0.381223716304661,0.393448980154425,0.4133078905033736,0.3863060530026392,0.38650476255928967,0.4173969245617104,0.3981735577666805,0.3826949807838649,0.39582204745264793,0.4137702933670282,0.39686492064563195
MV 14,0.3935204631611058,0.40855345408958743,0.42209783071613916,0.40213109680268766,0.4005105242853857,0.4307498714925182,0.40743564321475456,0.3970433278571448,0.4081291008270824,0.4254354853087463,0.4095606797755152
MV 15,0.402038525243934,0.4199573442593727,0.43359549060677227,0.4135857257488138,0.41061921599912554,0.4417876755738275,0.41929277477306703,0.4062880767173671,0.41855427415233426,0.4332982473880369,0.41990173504626516
MV 16,0.4077764466665901,0.4246813164755294,0.43843910010160303,0.4210359644650006,0.41683590578304663,0.44948605100709726,0.42590859480229826,0.41268590382695014,0.4227945453325559,0.44386213228003535,0.42635059607407066
