,0,1,2,3,4,5,6,7,8,9
H-alpha,0.06,0.054,0.054,0.056,0.034,0.048,0.046,0.06,0.044,0.062
1.d SGF,0.16,0.17,0.162,0.158,0.16,0.156,0.168,0.156,0.16,0.158
2.d SGF,0.076,0.088,0.074,0.076,0.076,0.068,0.08,0.066,0.058,0.076
MM 4,0.046,0.036,0.04,0.026,0.018,0.044,0.036,0.042,0.028,0.032
MM 6,0.026,0.028,0.024,0.026,0.042,0.028,0.036,0.02,0.038,0.03
MM 8,0.03,0.026,0.032,0.038,0.04,0.03,0.034,0.016,0.012,0.028
MM 10,0.002,0.006,0.012,0.01,0.022,0.006,0.004,0.008,0.01,0.006
MM 12,0.024,0.034,0.03,0.03,0.052,0.034,0.034,0.016,0.026,0.024
MM 14,0.036,0.042,0.046,0.048,0.044,0.034,0.04,0.028,0.036,0.052
MM 16,0.082,0.058,0.07,0.064,0.038,0.088,0.068,0.098,0.116,0.066
EMM 4,0.014,0.014,0.012,0.014,0.026,0.006,0.016,0.008,0.038,0.024
EMM 6,0.008,0.002,0.01,0.01,0.002,0.006,0.008,0.02,0.014,0.01
EMM 8,0.014,0.006,0.012,0.006,0.008,0.01,0.006,0.006,0.004,0.01
EMM 10,0.006,0.008,0.008,0.006,0.012,0.01,0.012,0.002,0.002,0.0
EMM 12,0.006,0.004,0.004,0.004,0.004,0.0,0.002,0.004,0.004,0.002
EMM 14,0.004,0.004,0.002,0.02,0.006,0.002,0.004,0.02,0.0,0.006
EMM 16,0.05,0.076,0.054,0.058,0.068,0.062,0.048,0.068,0.05,0.072
MVar 5,0.014,0.016,0.018,0.02,0.01,0.012,0.018,0.014,0.014,0.012
MVar 6,0.01,0.008,0.012,0.01,0.018,0.01,0.01,0.004,0.006,0.01
MVar 7,0.018,0.02,0.018,0.014,0.018,0.018,0.012,0.02,0.018,0.018
MVar 8,0.008,0.01,0.008,0.016,0.004,0.014,0.008,0.006,0.012,0.008
MVar 9,0.008,0.01,0.01,0.006,0.012,0.006,0.016,0.008,0.008,0.008
MVar 10,0.016,0.022,0.018,0.018,0.012,0.024,0.012,0.016,0.02,0.016
MVar 11,0.012,0.008,0.016,0.012,0.006,0.014,0.022,0.016,0.008,0.004
MVar 12,0.018,0.01,0.012,0.01,0.006,0.01,0.012,0.004,0.008,0.01
MVar 13,0.012,0.01,0.006,0.004,0.002,0.008,0.02,0.012,0.016,0.008
MVar 14,0.006,0.002,0.008,0.008,0.03,0.018,0.004,0.004,0.02,0.004
MVar 15,0.014,0.02,0.014,0.014,0.016,0.018,0.026,0.03,0.028,0.014
MVar 16,0.22,0.208,0.214,0.218,0.214,0.216,0.198,0.228,0.202,0.23
