Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.7461067853170189,913,0.8810488676996424,0.541015625,0.565636087176888,0.6625668599588435,0.8020833333333334,0.4671163575042159,0.7982832618025751,0.9772607086197779,0.642691415313225,0.4379905808477237
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.7550055617352615,881,0.8829528897523069,0.533203125,0.608780487804878,0.6749788341857283,0.8163448585541087,0.46037099494097805,0.8041237113402062,0.9613960867265997,0.6334106728538283,0.4897959183673469
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.7686318131256952,832,0.8842261170081461,0.5409181636726547,0.6563814866760168,0.6938419224522726,0.8291666666666667,0.4746059544658494,0.8115606936416185,0.9471179270227393,0.62877030162413,0.5510204081632653
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.7744716351501668,811,0.8833709556057185,0.5387673956262425,0.684856753069577,0.7023317014338462,0.8401717557251909,0.47130434782608693,0.8140540540540541,0.9312533051295611,0.62877030162413,0.5910518053375197
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.7833704115684094,779,0.882262996941896,0.5522088353413654,0.7139084507042254,0.716126760995829,0.8514510575504181,0.48672566371681414,0.812625250501002,0.9153886832363829,0.6380510440835266,0.6365777080062794
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.7853170189098999,772,0.8791095003882993,0.551654964894684,0.7298456260720412,0.720203363785008,0.8610547667342799,0.48586572438162545,0.8043478260869565,0.8979375991538868,0.6380510440835266,0.6679748822605965
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.7853170189098999,772,0.8763808521830615,0.5461847389558233,0.7401837928153717,0.7209164613180855,0.8717948717948718,0.4814159292035398,0.7910714285714285,0.8810153358011634,0.6310904872389791,0.695447409733124
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.7906006674082313,753,0.8739316239316239,0.562624254473161,0.7567567567567568,0.7311042117205139,0.882892606583918,0.49217391304347824,0.791095890410959,0.8651507139079851,0.6566125290023201,0.7252747252747253
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.7933815350389322,743,0.8707926167209555,0.5769230769230769,0.765079365079365,0.7375983529077992,0.894590072504183,0.5116696588868941,0.7736757624398074,0.8482284505552617,0.6612529002320185,0.7566718995290423
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.7956062291434928,735,0.8666666666666667,0.5919003115264797,0.7718353212774144,0.7434674331568535,0.9045428407130535,0.5357142857142857,0.7569811320754717,0.8318350079323109,0.6612529002320185,0.7872841444270016
