Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.8034626482847066,613,0.9034937698509651,0.7504798464491362,0.4823209428830462,0.7120981863943826,0.8416021847974511,0.6118935837245696,0.9399293286219081,0.9752109704641351,0.9702233250620348,0.32439024390243903
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.8130811157422251,583,0.9082410824108241,0.7562862669245648,0.5250219490781387,0.7298497661378426,0.851083448593822,0.6196513470681458,0.9373040752351097,0.9736286919831224,0.9702233250620348,0.3646341463414634
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.8239820455274126,549,0.9128281327389797,0.7657920310981535,0.5687446626814688,0.749121608839534,0.8604108309990663,0.6293929712460063,0.9487179487179487,0.9720464135021097,0.9776674937965261,0.4060975609756098
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.8323180506572619,523,0.9182452642073778,0.7690821256038647,0.5978169605373636,0.7617147834495354,0.8705103969754253,0.629746835443038,0.9595687331536388,0.9715189873417721,0.9875930521091811,0.43414634146341463
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.8419365181147804,493,0.9235013794833208,0.7772420443587271,0.6293245469522241,0.7766893235980906,0.880439980870397,0.6356466876971609,0.9695431472081218,0.9709915611814346,1.0,0.4658536585365854
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.8489900609169606,471,0.9292572006063669,0.7720306513409961,0.656957928802589,0.7860819269166507,0.8918525703200776,0.6287051482059283,0.9759615384615384,0.9699367088607594,1.0,0.4951219512195122
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.8557229881372235,450,0.9340799185543395,0.7683508102955195,0.6841269841269841,0.7955192376589477,0.9026069847515986,0.6238390092879257,0.9795454545454545,0.9678270042194093,1.0,0.525609756097561
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.8598909907021481,437,0.938974358974359,0.7568075117370892,0.7038491751767478,0.7998770152960653,0.9136726546906188,0.6087613293051359,0.9889624724061811,0.9657172995780591,1.0,0.5463414634146342
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.8656620711766592,419,0.9423921467321106,0.750465549348231,0.731631863882444,0.8081631866542618,0.9235443037974683,0.6005961251862891,1.0,0.9620253164556962,1.0,0.5768292682926829
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.8707919204873357,403,0.9438085327783559,0.7497674418604651,0.756633813495072,0.816736596044631,0.9312114989733059,0.5997023809523809,1.0,0.9567510548523207,1.0,0.6085365853658536
"(0, 0, 0, 0, 1)","(0, 0, 0, 15)",0.874639307470343,391,0.9449396958573676,0.7456059204440333,0.7788533134772897,0.8231329765928969,0.9395203336809176,0.5943952802359882,1.0,0.95042194092827,1.0,0.6378048780487805
"(0, 0, 0, 0, 1)","(0, 0, 0, 16)",0.8772042321256813,383,0.9424802110817943,0.7469879518072289,0.7991234477720964,0.8295305368870398,0.9429778247096093,0.5961538461538461,0.9963570127504554,0.9419831223628692,1.0,0.6670731707317074
"(0, 0, 0, 1, 0)","(4, 8, 12, 0)",0.7428663033023405,802,0.8722538649308381,0.5667144906743186,0.5427830596369922,0.6605838050807163,0.897822445561139,0.3985872855701312,0.9317507418397626,0.8481012658227848,0.9801488833746899,0.3829268292682927
"(0, 0, 0, 1, 0)","(4, 8, 14, 0)",0.7348509137544085,827,0.8694938440492476,0.5497896213183731,0.5375972342264477,0.6522935665313561,0.9033541785105174,0.3831867057673509,0.9228486646884273,0.8380801687763713,0.9727047146401985,0.37926829268292683
"(0, 0, 0, 1, 0)","(4, 8, 16, 0)",0.737736453991664,818,0.8787298111141527,0.5453267744202389,0.5301204819277109,0.6513923558207009,0.9134889015367103,0.3803921568627451,0.9005847953216374,0.8465189873417721,0.9627791563275434,0.375609756097561
"(0, 0, 0, 1, 0)","(4, 10, 12, 0)",0.7505610772683552,778,0.8764227642276423,0.5762217359591539,0.5590484282073067,0.670564309464701,0.9013377926421404,0.4080578512396694,0.9215686274509803,0.8528481012658228,0.9801488833746899,0.401219512195122
"(0, 0, 0, 1, 0)","(4, 10, 14, 0)",0.743507534466175,800,0.8754778809393774,0.5608540925266904,0.5499573014517506,0.6620964249726061,0.9077010192525481,0.3932135728542914,0.9173789173789174,0.8454641350210971,0.9776674937965261,0.3926829268292683
"(0, 0, 0, 1, 0)","(4, 10, 16, 0)",0.7406219942289195,809,0.878596875856399,0.5484098939929328,0.5434412265758092,0.6568159988083804,0.9144324015972618,0.383399209486166,0.9011299435028248,0.8454641350210971,0.9627791563275434,0.38902439024390245
"(0, 0, 0, 1, 0)","(4, 0, 12, 0)",0.7409426098108368,808,0.8813559322033898,0.5673758865248227,0.49144914491449143,0.6467269878809013,0.899505766062603,0.3972194637537239,0.9381443298969072,0.8639240506329114,0.9925558312655087,0.3329268292682927
"(0, 0, 0, 1, 0)","(4, 0, 14, 0)",0.7380570695735813,817,0.8843243243243243,0.5553997194950911,0.4856115107913669,0.6417785182035941,0.9068736141906873,0.3870967741935484,0.9246575342465754,0.8628691983122363,0.9826302729528535,0.32926829268292684
"(0, 0, 0, 1, 0)","(4, 0, 16, 0)",0.7383776851554985,816,0.8909336941813261,0.5464788732394367,0.4790739091718611,0.6388288255308746,0.914952751528627,0.3815142576204523,0.8877887788778878,0.8681434599156118,0.9627791563275434,0.3280487804878049
"(0, 0, 0, 1, 0)","(6, 8, 12, 0)",0.7467136902853478,790,0.8752711496746204,0.56998556998557,0.5498281786941581,0.6650282994514495,0.9006696428571429,0.40183112919633773,0.9302325581395349,0.8512658227848101,0.9801488833746899,0.3902439024390244
"(0, 0, 0, 1, 0)","(6, 8, 14, 0)",0.7393395319012503,813,0.8718510405257394,0.5575158786167961,0.5457656116338752,0.6583775102588035,0.9066059225512528,0.3895463510848126,0.9140401146131805,0.8396624472573839,0.9801488833746899,0.38902439024390245
"(0, 0, 0, 1, 0)","(6, 8, 16, 0)",0.742225072138506,804,0.8794093519278097,0.5542168674698795,0.5401709401709401,0.6579323865228764,0.9131175468483816,0.3878968253968254,0.9028571428571428,0.8481012658227848,0.9702233250620348,0.3853658536585366
"(0, 0, 0, 1, 0)","(6, 10, 12, 0)",0.7556909265790317,762,0.8793290043290043,0.5830258302583026,0.5678180286436394,0.6767242877436487,0.9027777777777778,0.41491596638655465,0.9182561307901907,0.8570675105485233,0.9801488833746899,0.41097560975609754
