Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 12, 6)",0.751890359168242,525,0.8675974963890226,0.7020585048754063,0.5941558441558441,0.721270615140091,0.78008658008658,0.5827338129496403,0.9037037037037037,0.9772234273318872,0.8828337874659401,0.44256348246674726
"(0, 0, 0, 1, 0)","(0, 0, 12, 6)",0.7164461247637051,600,0.8888888888888888,0.5905797101449275,0.5557404326123128,0.6784030105487098,0.852589641434263,0.4423337856173677,0.8906666666666667,0.928416485900217,0.888283378746594,0.40386940749697703
"(0, 0, 0, 1, 1)","(0, 0, 12, 6)",0.7273156899810964,577,0.8678102926337034,0.586,0.6176,0.6904700975445678,0.8113207547169812,0.4628751974723539,0.9125295508274232,0.9327548806941431,0.7983651226158038,0.4667472793228537
"(0, 0, 1, 0, 0)","(0, 0, 12, 6)",0.7051039697542533,624,0.8875318066157761,0.5811808118081181,0.5156382079459002,0.6614502754565982,0.8360498561840843,0.4393305439330544,0.8567415730337079,0.9457700650759219,0.8583106267029973,0.3688029020556227
"(0, 0, 1, 0, 1)","(0, 0, 12, 6)",0.7377126654064272,555,0.8738828202581926,0.6298568507157464,0.6016129032258064,0.7017841913999151,0.8058608058608059,0.5040916530278232,0.9031476997578692,0.9544468546637744,0.8392370572207084,0.45102781136638453
"(0, 0, 1, 1, 0)","(0, 0, 12, 6)",0.7637051039697542,500,0.8679867986798679,0.601427115188583,0.7424982554082344,0.7373040564255618,0.8805803571428571,0.4804560260586319,0.8778877887788779,0.8557483731019523,0.8038147138964578,0.6432889963724304
"(0, 0, 1, 1, 1)","(0, 0, 12, 6)",0.6512287334593573,738,0.8273748723186926,0.4061597690086622,0.5781376518218624,0.6038907643830723,0.7818532818532818,0.31398809523809523,0.875,0.8785249457700651,0.5749318801089919,0.4316807738814994
"(0, 1, 0, 0, 0)","(0, 0, 12, 6)",0.6871455576559546,662,0.8272148800783162,0.6532343584305408,0.48314606741573035,0.6545317686415292,0.7537912578055308,0.5347222222222222,0.7183770883054893,0.9164859002169198,0.8392370572207084,0.3639661426844015
"(0, 1, 0, 0, 1)","(0, 0, 12, 6)",0.7055765595463138,623,0.8486707566462167,0.5753694581280788,0.5884218873909596,0.6708207007217517,0.8027079303675049,0.4506172839506173,0.8548387096774194,0.9002169197396963,0.7956403269754768,0.4486094316807739
"(0, 1, 0, 1, 0)","(0, 0, 12, 6)",0.6980151228733459,639,0.8862612612612613,0.5574354407836153,0.5656414103525882,0.669779370799155,0.9215456674473068,0.414021164021164,0.7450592885375494,0.8535791757049892,0.8528610354223434,0.4558645707376058
"(0, 1, 0, 1, 1)","(0, 0, 12, 6)",0.668241965973535,702,0.8335974643423137,0.44271844660194176,0.6065699006875478,0.6276286038772677,0.8125643666323378,0.3438914027149321,0.8236514522821576,0.8557483731019523,0.6212534059945504,0.4800483675937122
"(0, 1, 1, 0, 0)","(0, 0, 12, 6)",0.691398865784499,653,0.8800442233278054,0.5560619872379216,0.5460030165912518,0.660703075718993,0.8974069898534386,0.4178082191780822,0.7254509018036072,0.8633405639913232,0.8310626702997275,0.437726723095526
"(0, 1, 1, 0, 1)","(0, 0, 12, 6)",0.6800567107750473,677,0.8402922755741128,0.48055832502492524,0.5986290936785986,0.6398265647592122,0.8098591549295775,0.3789308176100629,0.808641975308642,0.8731019522776573,0.6566757493188011,0.4752116082224909
"(0, 1, 1, 1, 0)","(0, 0, 12, 6)",0.7377126654064272,555,0.8657599053814311,0.5689320388349515,0.7094639311714097,0.714718625129264,0.951885565669701,0.4419306184012066,0.783625730994152,0.7939262472885033,0.7983651226158038,0.6481257557436517
"(0, 1, 1, 1, 1)","(0, 0, 12, 6)",0.6242911153119093,795,0.8153762858689767,0.35888187556357076,0.5783699059561128,0.58420935579622,0.8140540540540541,0.26819407008086255,0.821826280623608,0.8167028199566161,0.5422343324250681,0.44619105199516323
"(1, 0, 0, 0, 0)","(0, 0, 12, 6)",0.7263705103969754,579,0.8315140009492169,0.7217694994179278,0.5545023696682464,0.702595290011797,0.739240506329114,0.6300813008130082,0.7995444191343963,0.9501084598698482,0.8446866485013624,0.4244256348246675
"(1, 0, 0, 0, 1)","(0, 0, 12, 6)",0.6885633270321361,659,0.8386153096050707,0.48261327713382507,0.5974025974025974,0.6395437280471644,0.7617360496014172,0.39347079037800686,0.908641975308642,0.9327548806941431,0.6239782016348774,0.4449818621523579
"(1, 0, 0, 1, 0)","(0, 0, 12, 6)",0.7362948960302458,558,0.9028697571743929,0.5878003696857671,0.6307922272047832,0.7071541180216476,0.9191011235955057,0.44475524475524475,0.8258317025440313,0.8872017353579176,0.8664850136239782,0.5102781136638452
"(1, 0, 0, 1, 1)","(0, 0, 12, 6)",0.6767485822306238,684,0.8465447154471545,0.40718562874251496,0.6259904912836767,0.6265736118244487,0.7963671128107075,0.32125984251968503,0.9080459770114943,0.903470715835141,0.555858310626703,0.47762998790810157
"(1, 0, 1, 0, 0)","(0, 0, 12, 6)",0.7344045368620038,562,0.8983783783783784,0.5896946564885496,0.6206896551724138,0.7029208966797805,0.8954741379310345,0.45374449339207046,0.8165680473372781,0.9013015184381779,0.8419618528610354,0.5006045949214026
"(1, 0, 1, 0, 1)","(0, 0, 12, 6)",0.6786389413988658,680,0.8426799007444169,0.41501564129301355,0.6168521462639109,0.6248492294337805,0.7767612076852699,0.33614864864864863,0.9002320185614849,0.920824295010846,0.5422343324250681,0.46916565900846435
"(1, 0, 1, 1, 0)","(0, 0, 12, 6)",0.7433837429111532,543,0.8852838933951332,0.5413533834586466,0.7226074895977809,0.7164149221505203,0.9502487562189055,0.4131994261119082,0.8471544715447155,0.8286334056399133,0.784741144414169,0.6299879081015719
"(1, 0, 1, 1, 1)","(0, 0, 12, 6)",0.6587901701323251,722,0.8454593733404142,0.38333333333333336,0.6162332545311269,0.6150086537349582,0.8283038501560874,0.2903225806451613,0.8846153846153846,0.8633405639913232,0.5640326975476839,0.4727932285368803
"(1, 1, 0, 0, 0)","(0, 0, 12, 6)",0.7150283553875236,603,0.8380667663178873,0.6711560044893379,0.5592203898050975,0.6894810535374409,0.7751152073732719,0.5706106870229007,0.7357001972386588,0.9121475054229935,0.8147138964577657,0.45102781136638453
"(1, 1, 0, 0, 1)","(0, 0, 12, 6)",0.6729678638941399,692,0.8143067123958844,0.4671689989235737,0.595879556259905,0.625785089193121,0.7426273458445041,0.3861209964412811,0.864367816091954,0.9013015184381779,0.5912806539509536,0.4546553808948005
"(1, 1, 0, 1, 0)","(0, 0, 12, 6)",0.7088846880907372,616,0.8836424957841484,0.5648148148148148,0.5957756737072105,0.6814109947687247,0.9171528588098017,0.4277699859747546,0.7490842490842491,0.8524945770065075,0.8310626702997275,0.49455864570737607
"(1, 1, 0, 1, 1)","(0, 0, 12, 6)",0.6701323251417769,698,0.8265835929387332,0.4294478527607362,0.6204819277108434,0.6255044578034377,0.7928286852589641,0.3436988543371522,0.8223552894211577,0.8633405639913232,0.5722070844686649,0.49818621523579204
"(1, 1, 1, 0, 0)","(0, 0, 12, 6)",0.7046313799621928,625,0.8779679734953064,0.566824644549763,0.5812591508052709,0.6753505896167802,0.8942632170978627,0.43459302325581395,0.7365491651205937,0.8622559652928417,0.8147138964577657,0.4800483675937122
"(1, 1, 1, 0, 1)","(0, 0, 12, 6)",0.6720226843100189,694,0.8250254323499492,0.44139387539598735,0.6095526914329037,0.62532399972628,0.7768199233716475,0.3603448275862069,0.8170731707317073,0.8796095444685467,0.5694822888283378,0.4860943168077388
"(1, 1, 1, 1, 0)","(0, 0, 12, 6)",0.6895085066162571,657,0.8657599053814311,0.5164152617568767,0.6166902404526167,0.6662884691969748,0.951885565669701,0.3828947368421053,0.7427597955706985,0.7939262472885033,0.7929155313351499,0.5272067714631197
"(1, 1, 1, 1, 1)","(0, 0, 12, 6)",0.6474480151228733,746,0.8203463203463204,0.3958333333333333,0.6069277108433735,0.607702454841009,0.8185745140388769,0.3033381712626996,0.8043912175648703,0.8221258134490239,0.5694822888283378,0.4873035066505441
"(0, 0, 0, 0, 1)","(0, 0, 12, 7)",0.7618147448015122,504,0.8745098039215686,0.6948968512486428,0.6294256490952006,0.732944101421804,0.7978533094812165,0.5776173285198556,0.9009009009009009,0.9674620390455532,0.8719346049046321,0.4836759371221282
"(0, 0, 0, 1, 0)","(0, 0, 12, 7)",0.7164461247637051,600,0.8888888888888888,0.5905797101449275,0.5557404326123128,0.6784030105487098,0.852589641434263,0.4423337856173677,0.8906666666666667,0.928416485900217,0.888283378746594,0.40386940749697703
"(0, 0, 0, 1, 1)","(0, 0, 12, 7)",0.7386578449905482,553,0.8653555219364599,0.5925155925155925,0.6526806526806527,0.7035172557109016,0.8086710650329878,0.4789915966386555,0.9130434782608695,0.93058568329718,0.776566757493188,0.5078597339782346
"(0, 0, 1, 0, 0)","(0, 0, 12, 7)",0.7051039697542533,624,0.8875318066157761,0.5811808118081181,0.5156382079459002,0.6614502754565982,0.8360498561840843,0.4393305439330544,0.8567415730337079,0.9457700650759219,0.8583106267029973,0.3688029020556227
"(0, 0, 1, 0, 1)","(0, 0, 12, 7)",0.7495274102079396,530,0.8746879680479281,0.6356916578669483,0.6380655226209049,0.7161483828452604,0.8103607770582794,0.5189655172413793,0.8989010989010989,0.9501084598698482,0.8201634877384196,0.49455864570737607
"(0, 0, 1, 1, 0)","(0, 0, 12, 7)",0.7637051039697542,500,0.8679867986798679,0.601427115188583,0.7424982554082344,0.7373040564255618,0.8805803571428571,0.4804560260586319,0.8778877887788779,0.8557483731019523,0.8038147138964578,0.6432889963724304
"(0, 0, 1, 1, 1)","(0, 0, 12, 7)",0.6696597353497165,699,0.82642089093702,0.42115768463073855,0.624902114330462,0.6241602299660736,0.7827352085354026,0.33228346456692914,0.8866666666666667,0.8752711496746204,0.5749318801089919,0.48246674727932287
"(0, 1, 0, 0, 0)","(0, 0, 12, 7)",0.6871455576559546,662,0.8272148800783162,0.6532343584305408,0.48314606741573035,0.6545317686415292,0.7537912578055308,0.5347222222222222,0.7183770883054893,0.9164859002169198,0.8392370572207084,0.3639661426844015
"(0, 1, 0, 0, 1)","(0, 0, 12, 7)",0.7074669187145558,619,0.8485163977095262,0.5511197663096398,0.6214953271028038,0.6737104970406566,0.8158158158158159,0.4287878787878788,0.8730853391684902,0.8839479392624728,0.771117166212534,0.48246674727932287
"(0, 1, 0, 1, 0)","(0, 0, 12, 7)",0.6980151228733459,639,0.8862612612612613,0.5574354407836153,0.5656414103525882,0.669779370799155,0.9215456674473068,0.414021164021164,0.7450592885375494,0.8535791757049892,0.8528610354223434,0.4558645707376058
"(0, 1, 0, 1, 1)","(0, 0, 12, 7)",0.6833648393194707,670,0.8296529968454258,0.4428424304840371,0.6504782928623988,0.6409912400639538,0.8051020408163265,0.35596026490066224,0.8308270676691729,0.8557483731019523,0.5858310626702997,0.5344619105199516
"(0, 1, 1, 0, 0)","(0, 0, 12, 7)",0.691398865784499,653,0.8800442233278054,0.5560619872379216,0.5460030165912518,0.660703075718993,0.8974069898534386,0.4178082191780822,0.7254509018036072,0.8633405639913232,0.8310626702997275,0.437726723095526
"(0, 1, 1, 0, 1)","(0, 0, 12, 7)",0.6904536862003781,655,0.8331606217616581,0.4704641350210971,0.6410635155096012,0.6482294240974521,0.7976190476190477,0.3838209982788296,0.8235294117647058,0.8720173535791758,0.6076294277929155,0.524788391777509
"(0, 1, 1, 1, 0)","(0, 0, 12, 7)",0.7377126654064272,555,0.8657599053814311,0.5689320388349515,0.7094639311714097,0.714718625129264,0.951885565669701,0.4419306184012066,0.783625730994152,0.7939262472885033,0.7983651226158038,0.6481257557436517
