Kombinace příznaků,Délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)",5,0.8914285714285715,0.9021666370003967,0.8633568697447742,1.0,0.921841168915057,0.9295261265644852,0.8300598726917501,1.0,0.8766666666666666,0.9,1.0
"(0, 0, 0, 1, 0)",5,0.9285714285714286,0.9363818594731436,0.9085599078448823,1.0,0.9483139224393419,0.9557181303698282,0.8845474542278579,1.0,0.9183333333333333,0.9349999999999999,1.0
"(0, 0, 0, 1, 1)",5,0.9276190476190477,0.9356012962018101,0.907194981842275,1.0,0.9475987593480284,0.9541371589982287,0.8842764515178307,1.0,0.9183333333333333,0.9324999999999999,1.0
"(0, 0, 1, 0, 0)",5,0.9247619047619049,0.9328170928074483,0.904032574774671,1.0,0.9456165558607065,0.9537731833854828,0.878285593813257,1.0,0.9133333333333333,0.9325000000000001,1.0
"(0, 0, 1, 0, 1)",5,0.9238095238095239,0.9321456206061315,0.9024473342802561,1.0,0.9448643182954625,0.9505499276455105,0.8797571202743617,1.0,0.9149999999999998,0.9275,1.0
"(0, 0, 1, 1, 0)",5,0.9257142857142858,0.9338886210938858,0.9048115493010883,1.0,0.946233390131658,0.9521974693519958,0.8817019728074496,1.0,0.9166666666666666,0.93,1.0
"(0, 0, 1, 1, 1)",5,0.72,0.8055805421551842,0.3551713491818463,1.0,0.7202506304456768,0.724199705116176,0.3531135531135531,1.0,0.9383333333333335,0.35750000000000004,1.0
"(0, 1, 0, 0, 0)",5,0.8447619047619048,0.85369250123368,0.8158381932917523,1.0,0.8898435648418108,0.9247264892247836,0.7449488431736331,1.0,0.7933333333333332,0.9025000000000001,1.0
"(0, 1, 0, 0, 1)",5,0.8333333333333333,0.8405400873983371,0.8058231449839137,1.0,0.8821210774607504,0.9265929401764413,0.7255128982163669,1.0,0.77,0.9075,1.0
"(0, 1, 0, 1, 0)",5,0.9266666666666667,0.934698176333173,0.9060819922677471,1.0,0.9469267228669732,0.9541210714821412,0.8822590868600168,1.0,0.9166666666666667,0.9324999999999999,1.0
"(0, 1, 0, 1, 1)",5,0.5904761904761905,0.7261146496815286,0.0,1.0,0.5753715498938429,0.5876288659793815,0.0,1.0,0.95,0.0,1.0
"(0, 1, 1, 0, 0)",5,0.9200000000000002,0.9283746992050194,0.8983590102707749,1.0,0.9422445698252648,0.9517004182258418,0.8696754126632176,1.0,0.9066666666666666,0.93,1.0
"(0, 1, 1, 0, 1)",5,0.9209523809523811,0.9295131439703317,0.8990110152366075,1.0,0.9428413864023131,0.9484825611660593,0.8751314872866598,1.0,0.9116666666666667,0.925,1.0
"(0, 1, 1, 1, 0)",5,0.72,0.8055805421551842,0.3551713491818463,1.0,0.7202506304456768,0.724199705116176,0.3531135531135531,1.0,0.9383333333333335,0.35750000000000004,1.0
"(0, 1, 1, 1, 1)",5,0.5904761904761905,0.7261146496815286,0.0,1.0,0.5753715498938429,0.5876288659793815,0.0,1.0,0.95,0.0,1.0
"(1, 0, 0, 0, 0)",5,0.8895238095238096,0.9002419781090154,0.8613593149967403,1.0,0.9205337643685851,0.9292095157612399,0.826391687670962,1.0,0.8733333333333333,0.9,1.0
"(1, 0, 0, 0, 1)",5,0.8952380952380953,0.905855750430842,0.8676385642455358,1.0,0.9244981048921257,0.9299229164349594,0.8380687044651463,1.0,0.8833333333333332,0.9,1.0
"(1, 0, 0, 1, 0)",5,0.9276190476190477,0.9355106000948628,0.9073974702832659,1.0,0.9476360234593763,0.9556556729586088,0.8822266848122263,1.0,0.9166666666666666,0.9349999999999999,1.0
"(1, 0, 0, 1, 1)",5,0.5904761904761905,0.7261146496815286,0.0,1.0,0.5753715498938429,0.5876288659793815,0.0,1.0,0.95,0.0,1.0
"(1, 0, 1, 0, 0)",5,0.9161904761904761,0.9245652572573096,0.8943014867362287,1.0,0.939622247997846,0.9529832560377622,0.8600059214417772,1.0,0.8983333333333334,0.9325000000000001,1.0
"(1, 0, 1, 0, 1)",5,0.9180952380952381,0.9265374612425907,0.8961865091723389,1.0,0.94090799013831,0.9516342890083365,0.8657777061250617,1.0,0.9033333333333333,0.93,1.0
"(1, 0, 1, 1, 0)",5,0.7828571428571428,0.8432619298160589,0.5310701575803118,1.0,0.7914440291321236,0.794433478514146,0.5229416339096439,1.0,0.9266666666666667,0.54,1.0
"(1, 0, 1, 1, 1)",5,0.5904761904761905,0.7261146496815286,0.0,1.0,0.5753715498938429,0.5876288659793815,0.0,1.0,0.95,0.0,1.0
"(1, 1, 0, 0, 0)",5,0.8419047619047619,0.8506173654112498,0.813066039289209,1.0,0.8878944682334862,0.92426849318233,0.7402842696519167,1.0,0.7883333333333333,0.9025000000000001,1.0
