Kombinace příznaků,Délka úseku,Accuracy,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)",5,0.7942857142857143,0.8105594288752183,0.7487256285753603,1.0,0.8530950191501928,0.8557686257686257,0.6999436916668809,1.0,0.77,0.805,1.0
"(0, 0, 0, 1, 0)",5,0.8638095238095239,0.8806265705139911,0.8235987370956697,0.9894736842105264,0.8978996639400624,0.8883927671115197,0.8131749985670993,1.0,0.8733333333333334,0.8350000000000002,0.9800000000000001
"(0, 0, 0, 1, 1)",5,0.8638095238095239,0.880648527286743,0.823568440950854,0.9894736842105264,0.8978968841493744,0.8884244181900302,0.8131162268950453,1.0,0.8733333333333334,0.8350000000000002,0.9800000000000001
"(0, 0, 1, 0, 0)",5,0.8476190476190476,0.8638536418477853,0.8059155689678301,1.0,0.8899230702718718,0.8820151844999714,0.7835971109063479,1.0,0.8466666666666667,0.8300000000000001,1.0
"(0, 0, 1, 0, 1)",5,0.8476190476190476,0.8640894213939097,0.8054565901955982,1.0,0.8898486705298361,0.8806367383846834,0.7848656098492655,1.0,0.8483333333333334,0.8275,1.0
"(0, 0, 1, 1, 0)",5,0.8838095238095238,0.8984474599301097,0.8492001417904473,0.9894736842105264,0.9123737619770278,0.9054912666506658,0.8389663182346109,1.0,0.8916666666666666,0.86,0.9800000000000001
"(0, 0, 1, 1, 1)",5,0.8838095238095238,0.8984474599301097,0.8492001417904473,0.9894736842105264,0.9123737619770278,0.9054912666506658,0.8389663182346109,1.0,0.8916666666666666,0.86,0.9800000000000001
"(0, 1, 0, 0, 0)",5,0.7638095238095237,0.7773317881724962,0.7199786470401163,1.0,0.8324368117375375,0.8428519593613932,0.6565671031096564,1.0,0.7216666666666667,0.7975,1.0
"(0, 1, 0, 0, 1)",5,0.7638095238095237,0.7773317881724962,0.7199786470401163,1.0,0.8324368117375375,0.8428519593613932,0.6565671031096564,1.0,0.7216666666666667,0.7975,1.0
"(0, 1, 0, 1, 0)",5,0.8609523809523809,0.8759518057199742,0.8225231793391441,1.0,0.8994916616863728,0.8927720133232613,0.8016474105755046,1.0,0.86,0.845,1.0
"(0, 1, 0, 1, 1)",5,0.8,0.8396732758026015,0.6496805685194753,1.0,0.8297846147740255,0.827201576446846,0.6307958854336828,1.0,0.8699999999999999,0.67,1.0
"(0, 1, 1, 0, 0)",5,0.8257142857142858,0.8396936418099037,0.7866634373992172,1.0,0.8754523597363736,0.8820811621193038,0.7403619113249572,1.0,0.8016666666666665,0.8400000000000001,1.0
"(0, 1, 1, 0, 1)",5,0.8247619047619048,0.8389645740293835,0.7852324088474456,1.0,0.8747323276256097,0.8804798276739326,0.7397758307388766,1.0,0.8016666666666665,0.8375,1.0
"(0, 1, 1, 1, 0)",5,0.881904761904762,0.8967525446758724,0.8467611174002035,0.9894736842105264,0.9109957820955341,0.9037671287196313,0.8365853658536585,1.0,0.89,0.8575000000000002,0.9800000000000001
"(0, 1, 1, 1, 1)",5,0.8180952380952382,0.8574140310277354,0.6714524754248948,0.9894736842105264,0.8394467302210522,0.8358162560628764,0.6634146341463414,1.0,0.8966666666666667,0.68,0.9800000000000001
"(1, 0, 0, 0, 0)",5,0.7942857142857143,0.8121347979856226,0.7457879646929966,1.0,0.8526409208928731,0.8494275461380724,0.7047289758045572,1.0,0.7783333333333333,0.7925000000000001,1.0
"(1, 0, 0, 0, 1)",5,0.7980952380952381,0.8159650497661449,0.7498990489013521,1.0,0.8552880328891657,0.8517293937426681,0.7099609123721564,1.0,0.7833333333333333,0.795,1.0
"(1, 0, 0, 1, 0)",5,0.8657142857142859,0.8820060406020447,0.8247590369671706,1.0,0.902255025856405,0.8859425593345633,0.820063713500619,1.0,0.8783333333333333,0.8300000000000001,1.0
"(1, 0, 0, 1, 1)",5,0.8057142857142857,0.8464758324630365,0.653330465538599,1.0,0.8332687660005453,0.821955727488423,0.6496933431302487,1.0,0.8883333333333333,0.6575,1.0
"(1, 0, 1, 0, 0)",5,0.8428571428571429,0.8600358079554477,0.7990172122212754,1.0,0.8863510067255742,0.8757144364939906,0.779236746265582,1.0,0.845,0.8200000000000001,1.0
"(1, 0, 1, 0, 1)",5,0.8428571428571429,0.8597604795131957,0.799575896197174,1.0,0.8864454585701231,0.876956329527544,0.7780709392190611,1.0,0.8433333333333334,0.8225000000000001,1.0
"(1, 0, 1, 1, 0)",5,0.881904761904762,0.8969859146729741,0.8462226854610562,0.9894736842105264,0.9108940947815188,0.9026332386174201,0.8381146667421178,1.0,0.8916666666666666,0.8550000000000001,0.9800000000000001
"(1, 0, 1, 1, 1)",5,0.8200000000000001,0.8592222015928053,0.6723096419827951,0.9894736842105264,0.8403351759287089,0.836646844059597,0.6652751605692783,1.0,0.9,0.6799999999999999,0.9800000000000001
"(1, 1, 0, 0, 0)",5,0.7628571428571428,0.7766222641773303,0.7185302382965112,1.0,0.8317175008246138,0.8412473040977714,0.6559036393713813,1.0,0.7216666666666667,0.7949999999999999,1.0
"(1, 1, 0, 0, 1)",5,0.7647619047619048,0.7780204492871663,0.7214424374869576,1.0,0.8331542955913747,0.8444576352389138,0.6572973436594844,1.0,0.7216666666666667,0.8,1.0
"(1, 1, 0, 1, 0)",5,0.7980952380952381,0.8382718109807936,0.6453607087865862,1.0,0.8278775065891265,0.8229750946321144,0.6292489571194542,1.0,0.8716666666666667,0.6625,1.0
"(1, 1, 0, 1, 1)",5,0.8,0.8400429566140453,0.6463391680782985,1.0,0.8287940415641145,0.8235920455138578,0.6310820624546114,1.0,0.875,0.6625,1.0
"(1, 1, 1, 0, 0)",5,0.8152380952380952,0.8302187730559387,0.7736049669028254,1.0,0.8679412466529215,0.8730795742305826,0.7266983641409971,1.0,0.7916666666666666,0.8275,1.0
"(1, 1, 1, 0, 1)",5,0.8171428571428571,0.8319867325536666,0.7759305103083305,1.0,0.8693057476206656,0.8748991198687192,0.7288114482697587,1.0,0.7933333333333332,0.8299999999999998,1.0
"(1, 1, 1, 1, 0)",5,0.8161904761904761,0.8554534175324197,0.6669795898693035,0.9894736842105264,0.8373022305374164,0.8345319382709363,0.6569825708061002,1.0,0.8949999999999999,0.6775,0.9800000000000001
"(1, 1, 1, 1, 1)",5,0.8161904761904761,0.8554153130036912,0.6683690946734424,0.9894736842105264,0.8377526972958866,0.8357015849818188,0.6573747276688453,1.0,0.8933333333333333,0.68,0.9800000000000001
