Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 12, 6)",0.6423900118906064,1203,0.7889908256880734,0.6005774783445621,0.14098360655737704,0.5101839701966709,0.6551467855815681,0.5315161839863713,1.0,0.9915635545556806,0.6902654867256637,0.07583774250440917
"(0, 0, 0, 1, 0)","(0, 0, 12, 6)",0.6611177170035671,1140,0.8313707018370231,0.0,0.46551724137931033,0.43229598107211115,0.7151539708265803,0.0,0.5477326968973747,0.9926884139482565,0.0,0.40476190476190477
"(0, 0, 0, 1, 1)","(0, 0, 12, 6)",0.6590368608799049,1147,0.8325471698113207,0.578408195429472,0.13945857260049221,0.516804645947095,0.7168968318440292,0.44920440636474906,1.0,0.9926884139482565,0.8119469026548672,0.07495590828924162
"(0, 0, 1, 0, 0)","(0, 0, 12, 6)",0.6450653983353151,1194,0.8043775649794802,0.5966754155730534,0.10842368640533778,0.5031588889859572,0.6763803680981595,0.4934876989869754,1.0,0.9921259842519685,0.754424778761062,0.05731922398589065
"(0, 0, 1, 0, 1)","(0, 0, 12, 6)",0.6501189060642093,1177,0.8036446469248292,0.6041108132260947,0.13945857260049221,0.5157380109171387,0.6753445635528331,0.5067466266866567,1.0,0.9921259842519685,0.7477876106194691,0.07495590828924162
"(0, 0, 1, 1, 0)","(0, 0, 12, 6)",0.6634958382877527,1132,0.8336871903750884,0.0,0.4692230070635722,0.4343033991462202,0.7180008126777733,0.0,0.5483490566037735,0.9938132733408324,0.0,0.41005291005291006
"(0, 0, 1, 1, 1)","(0, 0, 12, 6)",0.6590368608799049,1147,0.8341209829867675,0.5814497272018706,0.1302555647155812,0.5152754249680731,0.7192339038304808,0.44885679903730447,1.0,0.9926884139482565,0.8252212389380531,0.06966490299823633
"(0, 1, 0, 0, 0)","(0, 0, 12, 6)",0.6409036860879905,1208,0.7897689028494503,0.6097560975609756,0.11784232365145228,0.5057891080206262,0.6569615528182158,0.5293159609120521,1.0,0.9898762654668166,0.7190265486725663,0.06261022927689594
"(0, 1, 0, 0, 1)","(0, 0, 12, 6)",0.6406064209274673,1209,0.7874050915587316,0.5941747572815534,0.14098360655737704,0.5075211517992207,0.652962962962963,0.5294117647058824,1.0,0.9915635545556806,0.6769911504424779,0.07583774250440917
"(0, 1, 0, 1, 0)","(0, 0, 12, 6)",0.6614149821640903,1139,0.8315665488810365,0.0,0.46629498226051697,0.43262051038051785,0.7154438589379813,0.0,0.5482717520858165,0.9926884139482565,0.0,0.4056437389770723
"(0, 1, 0, 1, 1)","(0, 0, 12, 6)",0.6584423305588585,1149,0.8321546440358322,0.5772870662460567,0.13793103448275862,0.5157909149215493,0.716314935064935,0.4485294117647059,1.0,0.9926884139482565,0.8097345132743363,0.07407407407407407
"(0, 1, 1, 0, 0)","(0, 0, 12, 6)",0.6453626634958383,1193,0.8041942101664007,0.5964912280701754,0.1115736885928393,0.5040863756098052,0.6761211192027596,0.4941860465116279,1.0,0.9921259842519685,0.7522123893805309,0.059082892416225746
"(0, 1, 1, 0, 1)","(0, 0, 12, 6)",0.6507134363852557,1175,0.8041942101664007,0.6048171275646744,0.14098360655737704,0.516664981429484,0.6761211192027596,0.5067264573991032,1.0,0.9921259842519685,0.75,0.07583774250440917
"(0, 1, 1, 1, 0)","(0, 0, 12, 6)",0.6634958382877527,1132,0.8336871903750884,0.0,0.4692230070635722,0.4343033991462202,0.7180008126777733,0.0,0.5483490566037735,0.9938132733408324,0.0,0.41005291005291006
