Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.6248407643312102,1178,0.7584415584415585,0.5986078886310905,0.2022867194371152,0.5197787221699214,0.6134453781512605,0.6046875,0.9583333333333334,0.9931972789115646,0.5926493108728943,0.11307767944936087
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.6302547770700637,1161,0.7606882168925965,0.6041828040278854,0.22549869904596703,0.5301232399888163,0.6166525781910397,0.6112852664576802,0.9558823529411765,0.992517006802721,0.5972434915773354,0.127826941986234
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.6398089171974523,1131,0.7676927124440937,0.6160919540229886,0.252129471890971,0.5453047127860178,0.6259116259116259,0.6165644171779141,0.9426751592356688,0.992517006802721,0.6156202143950995,0.1455260570304818
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.6493630573248408,1101,0.7740053050397878,0.6276595744680851,0.2797319932998325,0.5604656242692352,0.6343478260869565,0.6229260935143288,0.943502824858757,0.992517006802721,0.6324655436447167,0.16420845624385447
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.6560509554140127,1080,0.7787563384040566,0.6385542168674698,0.2937759336099585,0.570362162960495,0.6407553798858147,0.6281481481481481,0.9414893617021277,0.992517006802721,0.6493108728943339,0.17404129793510326
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.6665605095541401,1047,0.7884355579573088,0.6554004408523145,0.30870279146141216,0.5841795967570119,0.653966831017481,0.6299435028248588,0.9353233830845771,0.992517006802721,0.6830015313935681,0.1848574237954769
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.6662420382165605,1048,0.7916440586001086,0.649746192893401,0.3045267489711934,0.5819723334882343,0.6583935018050542,0.6170798898071626,0.9343434343434344,0.992517006802721,0.6860643185298622,0.18190757128810225
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.6579617834394904,1074,0.7925040738728951,0.6242857142857143,0.2838063439065108,0.5668653773550402,0.6595840867992767,0.5850066934404283,0.9392265193370166,0.992517006802721,0.669218989280245,0.1671583087512291
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.6557324840764331,1081,0.7950953678474114,0.6188466947960619,0.26936026936026936,0.5611007773345809,0.6631818181818182,0.5721716514954487,0.935672514619883,0.992517006802721,0.6738131699846861,0.15732546705998032
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.6595541401273886,1069,0.7994520547945205,0.6273421235253296,0.2691337258200168,0.5653093013799556,0.6692660550458716,0.5736040609137056,0.9302325581395349,0.992517006802721,0.6921898928024502,0.15732546705998032
"(0, 0, 0, 0, 1)","(0, 0, 0, 15)",0.6576433121019108,1075,0.7987955105392828,0.6260387811634349,0.2603550295857988,0.5617297737628388,0.668346312414109,0.5714285714285714,0.927710843373494,0.992517006802721,0.6921898928024502,0.15142576204523106
"(0, 0, 0, 0, 1)","(0, 0, 0, 16)",0.6554140127388535,1082,0.79379760609358,0.6311360448807855,0.2529711375212224,0.5593015961651959,0.6613780598368088,0.5821474773609314,0.9254658385093167,0.992517006802721,0.6891271056661562,0.14650934119960668
"(0, 0, 0, 1, 0)","(4, 8, 12, 0)",0.6984076433121019,947,0.8218017509178198,0.7078576225654802,0.3376,0.6224197911611,0.7025591501690005,0.6303827751196173,0.9055793991416309,0.9897959183673469,0.8070444104134763,0.20747295968534907
"(0, 0, 0, 1, 0)","(4, 8, 14, 0)",0.6968152866242038,952,0.8201803833145435,0.706199460916442,0.3349358974358974,0.6204385805556276,0.7001924927815207,0.6305655836341757,0.9047619047619048,0.9897959183673469,0.8024502297090352,0.2055063913470993
"(0, 0, 0, 1, 0)","(4, 8, 16, 0)",0.6945859872611465,959,0.8177478236450435,0.7059620596205962,0.32823813354786807,0.6173160056045026,0.6963175514108082,0.6330498177399757,0.9026548672566371,0.9904761904761905,0.7978560490045942,0.20058997050147492
"(0, 0, 0, 1, 0)","(4, 10, 12, 0)",0.695859872611465,955,0.8246955536675162,0.6989389920424404,0.32554391619661566,0.6163928206355241,0.7064531780688986,0.6163742690058479,0.9017857142857143,0.9904761904761905,0.8070444104134763,0.19862340216322516
