Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
"(0, 0, 0, 0, 1)","(0, 0, 0, 5)",0.7515085024684586,906,0.8460021905805039,0.7911294481691593,0.1065989847715736,0.5812435411737455,0.7356190476190476,0.7834525025536262,1.0,0.9953608247422681,0.7989583333333333,0.05630026809651475
"(0, 0, 0, 0, 1)","(0, 0, 0, 6)",0.7531541415249589,900,0.8476733977172959,0.7905301080802882,0.11853720050441362,0.5855802354339993,0.7381498470948012,0.7812817904374364,1.0,0.9953608247422681,0.8,0.06300268096514745
"(0, 0, 0, 0, 1)","(0, 0, 0, 7)",0.7556226001097093,891,0.8493512205850011,0.79301489470981,0.13032581453634084,0.5908973099437173,0.7406981204449559,0.7821681864235056,1.0,0.9953608247422681,0.8041666666666667,0.06970509383378017
"(0, 0, 0, 0, 1)","(0, 0, 0, 8)",0.7569939659901261,886,0.8502862175253192,0.7923946557040082,0.14427860696517414,0.5956531600648338,0.7421214450422752,0.781947261663286,1.0,0.9953608247422681,0.803125,0.0777479892761394
"(0, 0, 0, 0, 1)","(0, 0, 0, 9)",0.7542512342292924,896,0.8502862175253192,0.781491002570694,0.14658385093167703,0.5927870236758968,0.7421214450422752,0.7715736040609137,1.0,0.9953608247422681,0.7916666666666666,0.07908847184986595
"(0, 0, 0, 0, 1)","(0, 0, 0, 10)",0.7531541415249589,900,0.8514109347442681,0.7737301180092355,0.15117719950433706,0.5921060840859469,0.7438366718027735,0.7623862487360971,1.0,0.9953608247422681,0.7854166666666667,0.08176943699731903
"(0, 0, 0, 0, 1)","(0, 0, 0, 11)",0.7484914975315414,917,0.8506607929515418,0.7582304526748971,0.15099009900990099,0.5866271148787799,0.7426923076923077,0.7489837398373984,0.9838709677419355,0.9953608247422681,0.7677083333333333,0.08176943699731903
"(0, 0, 0, 0, 1)","(0, 0, 0, 12)",0.7443773998902907,932,0.8506050605060506,0.743298969072165,0.14869888475836432,0.5808676381121933,0.7420345489443378,0.7357142857142858,0.9836065573770492,0.9963917525773196,0.7510416666666667,0.08042895442359249
"(0, 0, 0, 0, 1)","(0, 0, 0, 13)",0.7416346681294569,942,0.8508578970523537,0.7323362558019598,0.14869888475836432,0.5772976792042259,0.7421335379892555,0.7252298263534218,0.9836065573770492,0.9969072164948454,0.7395833333333334,0.08042895442359249
"(0, 0, 0, 0, 1)","(0, 0, 0, 14)",0.7372462973121229,958,0.8504837291116975,0.717234262125903,0.14640198511166252,0.5713733254497543,0.7415644171779141,0.7106339468302658,0.9833333333333333,0.9969072164948454,0.7239583333333334,0.07908847184986595
"(0, 0, 0, 0, 1)","(0, 0, 0, 15)",0.7375205704882063,957,0.8533627342888643,0.7128205128205128,0.14622057001239158,0.5708012723739229,0.7456647398843931,0.702020202020202,0.9672131147540983,0.9974226804123711,0.7239583333333334,0.07908847184986595
"(0, 0, 0, 0, 1)","(0, 0, 0, 16)",0.7375205704882063,957,0.8558160106147722,0.7078021417644059,0.14833127317676142,0.5706498085186466,0.749419054996127,0.6933066933066933,0.9523809523809523,0.9974226804123711,0.7229166666666667,0.08042895442359249
"(0, 0, 0, 1, 0)","(4, 8, 12, 0)",0.7838727372462974,788,0.877848678213309,0.821256038647343,0.19664268585131894,0.6319158009039904,0.7867647058823529,0.7657657657657657,0.9318181818181818,0.9927835051546392,0.8854166666666666,0.10991957104557641
"(0, 0, 0, 1, 0)","(4, 8, 14, 0)",0.7835984640702139,789,0.8766499772416932,0.8226744186046512,0.19664268585131894,0.6319890272325545,0.784841075794621,0.7690217391304348,0.9318181818181818,0.9927835051546392,0.884375,0.10991957104557641
"(0, 0, 0, 1, 0)","(4, 8, 16, 0)",0.7819528250137137,795,0.8750567923671059,0.8217581350169986,0.1901323706377858,0.6289824326739634,0.7822908204711616,0.7697907188353048,0.9294117647058824,0.9927835051546392,0.88125,0.10589812332439678
"(0, 0, 0, 1, 0)","(4, 10, 12, 0)",0.7838727372462974,788,0.8792513124857338,0.8196248196248196,0.19230769230769232,0.6303946081394153,0.7890208930766079,0.7613941018766756,0.9302325581395349,0.9927835051546392,0.8875,0.10723860589812333
"(0, 0, 0, 1, 0)","(4, 10, 14, 0)",0.7838727372462974,788,0.8788501026694046,0.8204140587385652,0.19230769230769232,0.630523951238554,0.7883749488334015,0.7627573858549687,0.9302325581395349,0.9927835051546392,0.8875,0.10723860589812333
"(0, 0, 0, 1, 0)","(4, 10, 16, 0)",0.7838727372462974,788,0.8782489740082079,0.8216007714561234,0.19230769230769232,0.6307191459240079,0.7874080130825838,0.7648114901256733,0.9302325581395349,0.9927835051546392,0.8875,0.10723860589812333
"(0, 0, 0, 1, 0)","(4, 0, 12, 0)",0.7825013713658804,793,0.873667498298934,0.8257059396299903,0.19059107358262967,0.6299881705038514,0.7800729040097205,0.7751371115173674,0.9518072289156626,0.9927835051546392,0.8833333333333333,0.10589812332439678
"(0, 0, 0, 1, 0)","(4, 0, 14, 0)",0.7808557323093801,799,0.8717484731961095,0.826171875,0.1798298906439854,0.6259167462800317,0.7767029423619508,0.7775735294117647,0.961038961038961,0.993298969072165,0.88125,0.09919571045576407
"(0, 0, 0, 1, 0)","(4, 0, 16, 0)",0.7808557323093801,799,0.8708220415537489,0.8280254777070064,0.1798298906439854,0.6262258033015803,0.77491961414791,0.7816836262719704,0.961038961038961,0.9938144329896907,0.8802083333333334,0.09919571045576407
"(0, 0, 0, 1, 0)","(6, 8, 12, 0)",0.7797586396050467,803,0.8770733924108157,0.8129531174480426,0.17518248175182483,0.6217363305368944,0.7842340511986997,0.7583408476104598,0.9473684210526315,0.9948453608247423,0.8760416666666667,0.09651474530831099
"(0, 0, 0, 1, 0)","(6, 8, 14, 0)",0.7794843664289632,804,0.8768741481144934,0.8135265700483092,0.17073170731707318,0.6203774751599586,0.7839155158407799,0.7585585585585586,0.9459459459459459,0.9948453608247423,0.8770833333333333,0.0938337801608579
"(0, 0, 0, 1, 0)","(6, 8, 16, 0)",0.7792100932528798,805,0.8756805807622504,0.814922480620155,0.17073170731707318,0.6204449228998262,0.7820097244732577,0.7617753623188406,0.9459459459459459,0.9948453608247423,0.8760416666666667,0.0938337801608579
"(0, 0, 0, 1, 0)","(6, 10, 12, 0)",0.7792100932528798,805,0.8780709736123748,0.810966810966811,0.1664626682986536,0.6185001509592799,0.7858306188925082,0.7533512064343163,0.9577464788732394,0.9948453608247423,0.878125,0.09115281501340483
"(0, 0, 0, 1, 0)","(6, 10, 14, 0)",0.7789358200767965,806,0.8774721527619913,0.8111753371868978,0.1664626682986536,0.6183700527491809,0.7848718991459943,0.7544802867383512,0.9577464788732394,0.9948453608247423,0.8770833333333333,0.09115281501340483
"(0, 0, 0, 1, 0)","(6, 10, 16, 0)",0.777838727372463,810,0.8760217983651226,0.8102366006760019,0.1664626682986536,0.6175736891132594,0.7828733766233766,0.7551755175517552,0.9577464788732394,0.9943298969072165,0.8739583333333333,0.09115281501340483
"(0, 0, 0, 1, 0)","(6, 0, 12, 0)",0.7772901810202962,812,0.8744333635539437,0.8127721335268505,0.15990159901599016,0.6157023653655949,0.7803398058252428,0.7588075880758808,0.9701492537313433,0.9943298969072165,0.875,0.0871313672922252
"(0, 0, 0, 1, 0)","(6, 0, 14, 0)",0.7761930883159627,816,0.8722586479764866,0.8138065143412737,0.15763546798029557,0.6145668767660186,0.7768828030608136,0.7629899726526892,0.9696969696969697,0.9943298969072165,0.871875,0.08579088471849866
"(0, 0, 0, 1, 0)","(6, 0, 16, 0)",0.7761930883159627,816,0.8702909993232574,0.8177821201758672,0.15763546798029557,0.6152361958264734,0.7737665463297232,0.7700091996320148,0.9696969696969697,0.9943298969072165,0.871875,0.08579088471849866
