n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8370239149689991,552,0.859612724757953,0.8854625550660793,0.7849206349206349,0.8433319715815557,0.8680167597765364,0.9363354037267081,0.7543859649122807,0.8513698630136987,0.8398328690807799,0.8180314309346567
10,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.839090640684972,545,0.8593584772647163,0.8862802641232576,0.7917637917637917,0.8458008443839219,0.8852578068264343,0.9364341085271318,0.7465201465201465,0.834931506849315,0.841225626740947,0.8428453267162944
15,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8322999704753469,568,0.8530872959545777,0.8777194298574643,0.7868852459016393,0.8392306572378937,0.8851251840942562,0.9512195121951219,0.7298444130127298,0.8232876712328767,0.8147632311977716,0.8535980148883374
20,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8379096545615589,549,0.8506981740064447,0.896399706098457,0.7938931297709924,0.8469970032919646,0.8912228057014253,0.9486780715396579,0.7370659107016301,0.8136986301369863,0.8495821727019499,0.8602150537634409
25,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8343666961913198,561,0.844572664983772,0.8979591836734694,0.7904146063141879,0.8443154849904765,0.8918507235338918,0.9418960244648318,0.7316901408450704,0.802054794520548,0.8579387186629527,0.8593879239040529
30,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8387953941541186,546,0.8546099290780141,0.8933038999264165,0.793063583815029,0.8469924709398198,0.8860294117647058,0.9469578783151326,0.7424242424242424,0.8253424657534246,0.8454038997214485,0.8511166253101737
35,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.845881310894597,522,0.8649405178446467,0.8929889298892989,0.7996876220226474,0.8525390232521977,0.8841201716738197,0.9497645211930926,0.757396449704142,0.8465753424657534,0.8426183844011143,0.8469809760132341
40,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8408621198700915,539,0.8571428571428571,0.8944649446494465,0.794891640866873,0.8488331475530589,0.8836363636363637,0.9513343799058085,0.7469090909090909,0.8321917808219178,0.8440111420612814,0.8494623655913979
45,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8476527900797166,516,0.8668965517241379,0.8973607038123167,0.798406374501992,0.8542212100128156,0.8729166666666667,0.9473684210526315,0.7701767870868562,0.8609589041095891,0.8523676880222841,0.8287841191066998
50,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8408621198700915,539,0.8578465869106263,0.8933038999264165,0.7944034201321415,0.8485179689897281,0.88205499276411,0.9469578783151326,0.749266862170088,0.834931506849315,0.8454038997214485,0.8453267162944582
55,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8405668733392383,540,0.8616352201257862,0.8865826538176427,0.7928209129925868,0.847012928978672,0.8794579172610556,0.9477020602218701,0.7503692762186115,0.8445205479452055,0.8328690807799443,0.8403639371381307
60,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8503100088573959,507,0.8718480138169258,0.8929618768328446,0.8023856858846918,0.8557318588448207,0.8794425087108014,0.9427244582043344,0.7725880551301685,0.8643835616438356,0.8481894150417827,0.8345740281224152
65,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8500147623265427,508,0.8693834900731452,0.8952802359882006,0.8040832351786416,0.8562489870799957,0.884479092841956,0.95141065830721,0.7653213751868461,0.8547945205479452,0.8454038997214485,0.8469809760132341
70,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8573959255978743,483,0.8816188870151771,0.8952380952380953,0.806873977086743,0.8612436531133385,0.86843853820598,0.9443585780525502,0.7983805668016194,0.8952054794520548,0.850974930362117,0.815550041356493
75,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8399763802775317,542,0.8610240334378265,0.8880706921944035,0.7905697445972495,0.8465548234098265,0.8759744861800142,0.9421875,0.7529940119760479,0.8465753424657534,0.8398328690807799,0.8320926385442514
80,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8544434602893416,493,0.8759876331157678,0.8958944281524927,0.8067226890756303,0.8595349167812968,0.8787043418332184,0.9458204334365325,0.7813953488372093,0.8732876712328768,0.850974930362117,0.8337468982630273
85,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8382049010924122,548,0.8562367864693446,0.8900369003690037,0.7911662146454862,0.8458133004946116,0.8817126269956459,0.9466248037676609,0.7441690962099126,0.8321917808219178,0.8398328690807799,0.8444995864350703
90,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8491290227339828,511,0.8703448275862069,0.8941176470588236,0.8003182179793158,0.8549268975414487,0.8763888888888889,0.9470404984423676,0.7708812260536398,0.8643835616438356,0.8467966573816156,0.8320926385442514
95,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8420431059935046,535,0.8603508771929824,0.8923303834808259,0.7951713395638629,0.8492842000792237,0.8820143884892087,0.9482758620689655,0.7512877115526122,0.8397260273972603,0.8426183844011143,0.8444995864350703
100,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8429288455860644,532,0.862937062937063,0.8903605592347315,0.7953033268101761,0.8495336496606569,0.8814285714285715,0.9438377535101404,0.7548291233283804,0.8452054794520548,0.8426183844011143,0.8403639371381307
105,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8473575435488633,517,0.8690517540812782,0.8903605592347315,0.7996845425867508,0.8530322853009201,0.8816067653276956,0.9438377535101404,0.7641296156744537,0.8568493150684932,0.8426183844011143,0.8387096774193549
110,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8432240921169176,531,0.8607506138197124,0.8949301983835415,0.7962529274004684,0.8506445798679074,0.8820992092020129,0.9471228615863142,0.753880266075388,0.8404109589041096,0.8481894150417827,0.8436724565756824
115,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8494242692648362,510,0.8722527472527473,0.8921496698459281,0.7995198079231692,0.8546407416739482,0.8746556473829201,0.9426356589147287,0.7744186046511627,0.8698630136986302,0.8467966573816156,0.826302729528536
120,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8411573664009447,538,0.859451862262825,0.8916728076639646,0.794243485025282,0.8484560516506905,0.8823953823953824,0.94679186228482,0.749632892804699,0.8376712328767123,0.8426183844011143,0.8444995864350703
125,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8497195157956894,509,0.871900826446281,0.8926470588235295,0.8007968127490039,0.8551148993396048,0.8767313019390581,0.9454828660436138,0.7724827056110684,0.8671232876712329,0.8454038997214485,0.8312655086848635
130,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8532624741659286,497,0.8743994509265615,0.8970588235294118,0.8048,0.858752758151991,0.8762035763411279,0.9501557632398754,0.7792408985282726,0.8726027397260274,0.8495821727019499,0.8320926385442514
135,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8461765574254503,521,0.8659722222222223,0.893460690668626,0.798262929332807,0.8525652807412184,0.8781690140845071,0.9455676516329704,0.763595166163142,0.8541095890410959,0.8467966573816156,0.8362282878411911
