n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8024691358024691,544,0.8090366581415175,0.8855721393034826,0.7566063977746871,0.8170717317398957,0.6916909620991254,0.9549356223175965,0.8908296943231441,0.9743326488706365,0.8256029684601113,0.6575342465753424
10,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8050108932461874,537,0.8137931034482758,0.8770161290322581,0.7632058287795993,0.8180050204200443,0.7013372956909361,0.9602649006622517,0.8774869109947644,0.9691991786447639,0.8070500927643784,0.6752618855761483
20,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8046477850399419,538,0.8136030994403788,0.8747474747474747,0.7635535307517084,0.8173013683131872,0.7005189028910304,0.9600886917960089,0.8784067085953878,0.9702258726899384,0.8033395176252319,0.6752618855761483
30,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8013798111837328,547,0.8088737201365188,0.8765182186234818,0.7591911764705882,0.8148610384101963,0.691970802919708,0.9643652561247216,0.8834224598930481,0.973305954825462,0.8033395176252319,0.6655922643029815
40,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8013798111837328,547,0.8112724167378309,0.8739837398373984,0.7580201649862511,0.8144254405204935,0.6944444444444444,0.9662921348314607,0.8788522848034006,0.9753593429158111,0.7977736549165121,0.6663980660757454
50,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.803921568627451,540,0.8114824335904027,0.8804020100502512,0.7608994951812759,0.8175946462739766,0.6963235294117647,0.9605263157894737,0.8837953091684435,0.9722792607802875,0.8126159554730983,0.6680096696212732
60,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8071895424836601,531,0.8144640551011623,0.8812877263581489,0.7658603377453218,0.820537373068211,0.7012601927353596,0.9626373626373627,0.8831578947368421,0.971252566735113,0.8126159554730983,0.6760676873489122
70,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8053740014524329,536,0.8125268125268126,0.8832997987927566,0.7622537792029317,0.819360130174167,0.6978629329403095,0.9648351648351648,0.8832271762208068,0.9722792607802875,0.8144712430426716,0.6704270749395649
80,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8028322440087146,543,0.8087291399229781,0.8815261044176707,0.7604597701149425,0.8169050048185303,0.6933235509904622,0.9606126914660832,0.8854389721627409,0.9702258726899384,0.8144712430426716,0.6663980660757454
90,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8079157588961511,529,0.8132245598969515,0.8868868868868869,0.7660550458715596,0.8220554975517994,0.6988929889298893,0.9630434782608696,0.8892438764643238,0.9722792607802875,0.8218923933209648,0.6728444802578566
100,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8050108932461874,537,0.8107876712328768,0.8844221105527639,0.7625172255397336,0.8192423357751247,0.6953010279001468,0.9649122807017544,0.8867521367521367,0.9722792607802875,0.8163265306122449,0.6688154713940371
110,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8050108932461874,537,0.811134903640257,0.8846539618856569,0.7619485294117647,0.8192457983125596,0.6958119030124909,0.962882096069869,0.8866310160427807,0.9722792607802875,0.8181818181818182,0.6680096696212732
