n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6042296072507553,1310,0.48170326014637393,0.694188376753507,0.5888634630053394,0.5882516999684068,0.42992874109263657,0.7596491228070176,0.5813253012048193,0.5476550680786687,0.6391143911439114,0.5965996908809892
10,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6036253776435045,1312,0.47441217150760717,0.6917889726299088,0.5902751601960046,0.5854921014445068,0.4369426751592357,0.7478559176672385,0.5761589403973509,0.518910741301059,0.6435424354243543,0.6051004636785162
20,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6090634441087613,1294,0.4762569832402235,0.6975648075412412,0.5957607872823618,0.5898608593546087,0.44228274967574577,0.7455919395465995,0.5838278931750742,0.5158850226928896,0.6553505535055351,0.6081916537867079
30,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6108761329305136,1288,0.4738330975954738,0.6976377952755906,0.6009002250562641,0.5907903726424428,0.4448871181938911,0.7476793248945147,0.5838192419825073,0.5068078668683812,0.6538745387453875,0.6190108191653787
40,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6081570996978852,1297,0.4744318181818182,0.6902370429891522,0.6022769004774147,0.5889819205494616,0.44712182061579653,0.7574955908289241,0.5738278516445067,0.5052950075642966,0.6339483394833948,0.633693972179289
50,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6145015105740181,1276,0.48295454545454547,0.6963080587534736,0.6067582621611586,0.5953402887897258,0.45515394912985274,0.7534364261168385,0.583988563259471,0.5143721633888049,0.6472324723247233,0.6313755795981453
60,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6108761329305136,1288,0.47375886524822697,0.6944775526420341,0.6045302636464909,0.5909222271789173,0.4459279038718291,0.7521514629948365,0.581844174410293,0.5052950075642966,0.6450184501845019,0.6290571870170015
70,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6154078549848943,1273,0.4832022873481058,0.6955494289090193,0.6085011185682326,0.5957509449417859,0.45799457994579945,0.745777027027027,0.5878962536023055,0.5113464447806354,0.6516605166051661,0.6306027820710973
80,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6093655589123868,1293,0.4759887005649718,0.6949960285941224,0.5994043186895012,0.5901296826161985,0.4463576158940397,0.7523645743766122,0.5783045977011494,0.5098335854765507,0.6457564575645757,0.6221020092735703
90,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6138972809667673,1278,0.4789736279401283,0.6949623165410551,0.6083086053412463,0.5940815166074765,0.4528301886792453,0.7512864493996569,0.5848787446504993,0.5083207261724659,0.6464944649446495,0.633693972179289
100,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6123867069486405,1283,0.4759856630824373,0.6899318090653831,0.6112737920937042,0.5923970880805082,0.45231607629427795,0.7557117750439367,0.5806675938803895,0.5022692889561271,0.6346863468634686,0.6452859350850078
110,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6169184290030212,1268,0.47433116413593635,0.6960667461263409,0.6161764705882353,0.5955247936168375,0.45429362880886426,0.7538726333907056,0.5876577840112202,0.4962178517397882,0.6464944649446495,0.6476043276661515
120,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.6051359516616314,1307,0.47372109320252276,0.6894904458598726,0.5960462513987318,0.5864192634870423,0.4412532637075718,0.7484874675885912,0.5760634462869503,0.5113464447806354,0.6391143911439114,0.6174652241112828
