n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,custom,custom,0.6069486404833837,1301,0.485968514715948,0.6829672606713635,0.6045156591405682,0.5911504781759599,0.44375,0.77882797731569,0.571625344352617,0.5370650529500757,0.6081180811808118,0.6414219474497682
10,custom,custom,0.6033232628398791,1313,0.4930939226519337,0.6712564543889845,0.6039325842696629,0.5894276537701937,0.4536213468869123,0.804953560371517,0.5534105534105535,0.540090771558245,0.5756457564575646,0.6646058732612056
20,custom,custom,0.592749244712991,1348,0.4954128440366973,0.6413916146297948,0.602499155690645,0.5797678714523791,0.4642857142857143,0.8105975197294251,0.5350929814037193,0.5310136157337367,0.5306273062730628,0.6893353941267388
30,custom,custom,0.5939577039274925,1344,0.5024630541871922,0.639074321317312,0.6036585365853658,0.5817319706966234,0.4697368421052632,0.804932735426009,0.537394451145959,0.540090771558245,0.529889298892989,0.6885625965996909
40,custom,custom,0.5924471299093655,1349,0.49680624556423,0.64,0.601823708206687,0.579543317923639,0.4679144385026738,0.8044692737430168,0.5344931013797241,0.529500756429652,0.5313653136531366,0.6885625965996909
50,custom,custom,0.5957703927492447,1338,0.49644381223328593,0.6466696074106749,0.6040040719375637,0.5823724971938415,0.4684563758389262,0.8037280701754386,0.5384150030248034,0.5279878971255674,0.5409594095940959,0.6877897990726429
60,custom,custom,0.5957703927492447,1338,0.49537366548042705,0.6472406181015452,0.6040677966101695,0.5822273600640472,0.46774193548387094,0.8054945054945055,0.5380434782608695,0.5264750378214826,0.5409594095940959,0.6885625965996909
70,custom,custom,0.5948640483383686,1341,0.4957142857142857,0.6442477876106195,0.6040540540540541,0.5813387091263197,0.469553450608931,0.8044198895027624,0.5366146458583433,0.5249621785173979,0.537269372693727,0.6908809891808346
80,custom,custom,0.5966767371601208,1335,0.49714285714285716,0.6457319770013269,0.6062859074011491,0.583053580515111,0.4709066305818674,0.8057395143487859,0.5387387387387388,0.5264750378214826,0.5387453874538746,0.6931993817619784
90,custom,custom,0.595166163141994,1340,0.4949928469241774,0.6439326837909655,0.6052631578947368,0.5813962295366265,0.4694708276797829,0.805094130675526,0.537125748502994,0.5234493192133132,0.5365313653136531,0.6931993817619784
100,custom,custom,0.5933534743202417,1346,0.49142857142857144,0.6420959147424512,0.6044474393530997,0.5793239751747074,0.4654939106901218,0.8060200668896321,0.53584229390681,0.5204236006051437,0.5335793357933579,0.6931993817619784
110,custom,custom,0.5942598187311178,1343,0.4932287954383464,0.6430155210643016,0.6049966239027684,0.5804136468018055,0.46630727762803237,0.8055555555555556,0.5371702637889688,0.5234493192133132,0.5350553505535055,0.6924265842349304
120,custom,custom,0.5963746223564955,1336,0.4953604568165596,0.6466165413533834,0.605814739688979,0.582597245952974,0.4689189189189189,0.8068432671081678,0.5384615384615384,0.5249621785173979,0.5394833948339484,0.6924265842349304
130,custom,custom,0.595166163141994,1340,0.4950071326676177,0.6445035460992907,0.6049966239027684,0.5815024342232257,0.4682860998650472,0.806881243063263,0.5371702637889688,0.5249621785173979,0.5365313653136531,0.6924265842349304
140,custom,custom,0.5972809667673716,1333,0.49715099715099714,0.6466165413533834,0.6071065989847716,0.583624712496384,0.4697173620457604,0.8068432671081678,0.5400361228175797,0.5279878971255674,0.5394833948339484,0.6931993817619784
150,custom,custom,0.5963746223564955,1336,0.4950071326676177,0.6460176991150443,0.6064908722109533,0.5825052346645384,0.4682860998650472,0.8066298342541437,0.5390625,0.5249621785173979,0.5387453874538746,0.6931993817619784
160,custom,custom,0.5978851963746223,1331,0.4946543121881682,0.6496253856324372,0.60719131614654,0.5838236713223818,0.46765498652291104,0.8063457330415755,0.5411124546553809,0.5249621785173979,0.5439114391143911,0.6916537867078826
170,custom,custom,0.5990936555891239,1327,0.4943019943019943,0.6525945470536499,0.6077498300475866,0.584882123801077,0.4670255720053836,0.8073993471164309,0.5424757281553398,0.5249621785173979,0.5476014760147602,0.6908809891808346
180,custom,custom,0.5993957703927493,1326,0.49572649572649574,0.6522887323943662,0.608016304347826,0.5853438441562293,0.46837146702557203,0.8080697928026173,0.5424242424242425,0.5264750378214826,0.5468634686346864,0.6916537867078826
190,custom,custom,0.5984894259818732,1329,0.4950213371266003,0.6517150395778364,0.6068027210884354,0.584513032597624,0.4671140939597315,0.8063112078346029,0.5419198055893074,0.5264750378214826,0.5468634686346864,0.6893353941267388
200,custom,custom,0.5981873111782477,1330,0.4946695095948827,0.6520017597888254,0.6061224489795919,0.5842645727877667,0.46648793565683644,0.8071895424836601,0.5413122721749696,0.5264750378214826,0.5468634686346864,0.6885625965996909
210,custom,custom,0.5978851963746223,1331,0.4950213371266003,0.6517150395778364,0.6054421768707483,0.584059517858395,0.4671140939597315,0.8063112078346029,0.5407047387606319,0.5264750378214826,0.5468634686346864,0.6877897990726429
220,custom,custom,0.5984894259818732,1329,0.4950213371266003,0.6525945470536499,0.6061224489795919,0.584579444386614,0.4671140939597315,0.8073993471164309,0.5413122721749696,0.5264750378214826,0.5476014760147602,0.6885625965996909
230,custom,custom,0.5972809667673716,1333,0.4946695095948827,0.6502202643171806,0.6055045871559633,0.5834647870226756,0.46648793565683644,0.8065573770491803,0.5403274711946634,0.5264750378214826,0.5446494464944649,0.6885625965996909
240,custom,custom,0.5972809667673716,1333,0.4943181818181818,0.6502202643171806,0.6057104010876955,0.583416282407686,0.46586345381526106,0.8065573770491803,0.5406553398058253,0.5264750378214826,0.5446494464944649,0.6885625965996909
250,custom,custom,0.5978851963746223,1331,0.4943181818181818,0.6517150395778364,0.6058543226684819,0.5839625146881667,0.46586345381526106,0.8063112078346029,0.5413625304136253,0.5264750378214826,0.5468634686346864,0.6877897990726429
