n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
5,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8451056729699666,557,0.8885400313971743,0.8092016238159675,0.7920942607373622,0.8299453053168347,0.8793371310201968,0.9707792207792207,0.7678703021370671,0.8979375991538868,0.6937354988399071,0.8178963893249608
10,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8273081201334817,621,0.8716417910447761,0.792,0.7776568734131302,0.8137662214859688,0.89520624303233,0.9310344827586207,0.7228590694538098,0.849286092014807,0.6890951276102089,0.8414442700156985
15,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8409343715239155,572,0.8835027365129007,0.8162162162162162,0.7854684512428298,0.8283958013239822,0.8710174717368961,0.9773462783171522,0.7658463832960477,0.896351136964569,0.7006960556844548,0.8061224489795918
20,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8364849833147943,588,0.8794513321023477,0.8128342245989305,0.7817565020731247,0.8246806862581343,0.8773684210526316,0.9589905362776026,0.7519941986947063,0.881544156530936,0.7053364269141531,0.8139717425431711
25,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8381535038932146,582,0.8777210427304488,0.8203753351206434,0.7889908256880734,0.8290290678463886,0.8923497267759563,0.9714285714285714,0.740868366643694,0.8635642517186674,0.7099767981438515,0.8437990580847724
30,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8331479421579533,600,0.8752308098127143,0.8163804491413474,0.7776096822995462,0.823073647084536,0.8731578947368421,0.9478527607361963,0.7503649635036497,0.8773135906927552,0.7169373549883991,0.8069073783359497
35,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8350945494994438,593,0.8783180026281209,0.8139223560910308,0.7787878787878788,0.8236760791690102,0.8730407523510971,0.9620253164556962,0.7525622254758418,0.8836594394500265,0.7053364269141531,0.8069073783359497
40,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8406562847608454,573,0.8815615932471643,0.821522309711286,0.7874194770746495,0.8301677933443666,0.8794736842105263,0.945619335347432,0.7611721611721611,0.8836594394500265,0.7262180974477959,0.8155416012558869
45,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.835650723025584,591,0.8771375953696395,0.822429906542056,0.7797123391370174,0.8264266136829043,0.8727748691099476,0.9685534591194969,0.7529239766081871,0.881544156530936,0.7146171693735499,0.8084772370486656
50,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8384315906562848,581,0.8802966101694916,0.8155080213903744,0.7856071964017991,0.8271372759872216,0.8816976127320955,0.9621451104100947,0.7517934002869441,0.878900052882073,0.7076566125290024,0.8226059654631083
55,"(1, 1, 1, 1, 1)","[[4, 6], [8, 10], [12, 14, 16], range(5, 17)]",0.8384315906562848,581,0.8794288736118456,0.8211920529801324,0.7849340866290019,0.8285183377403267,0.8794288736118456,0.9567901234567902,0.7545257060101376,0.8794288736118456,0.7192575406032483,0.8178963893249608
