n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
10,custom,custom,0.852671981104222,499,0.8717774762550882,0.8961988304093568,0.80553295362083,0.8578364200950915,0.8635752688172043,0.943076923076923,0.7926341072858286,0.8801369863013698,0.8537604456824512,0.8188585607940446
25,custom,custom,0.8500147623265427,508,0.869059829059829,0.8960468521229868,0.8022553362867499,0.8557873391565218,0.8675767918088737,0.9444444444444444,0.7817896389324961,0.8705479452054794,0.8523676880222841,0.8238213399503722
40,custom,custom,0.8514909949808089,503,0.8706603131381893,0.8977189109639441,0.803391199031086,0.857256807711073,0.8653585926928281,0.9516380655226209,0.7847003154574133,0.876027397260274,0.8495821727019499,0.8229942100909843
55,custom,custom,0.8500147623265427,508,0.8698023176550784,0.8960943257184967,0.801449859041482,0.8557821674716856,0.8656716417910447,0.9514866979655712,0.7810047095761381,0.873972602739726,0.8467966573816156,0.8229942100909843
70,custom,custom,0.8506052553882492,506,0.8705722070844687,0.8960943257184967,0.8020959290608626,0.8562541539546094,0.8658536585365854,0.9514866979655712,0.7822327044025157,0.8753424657534247,0.8467966573816156,0.8229942100909843
85,custom,custom,0.8503100088573959,507,0.8698023176550784,0.8960943257184967,0.8022553362867499,0.8560506598867749,0.8656716417910447,0.9514866979655712,0.7817896389324961,0.873972602739726,0.8467966573816156,0.8238213399503722
100,custom,custom,0.8506052553882492,506,0.8701873935264055,0.8960943257184967,0.8025785656728445,0.8562867616392489,0.8657627118644068,0.9514866979655712,0.7824037706205813,0.8746575342465753,0.8467966573816156,0.8238213399503722
115,custom,custom,0.8509005019191025,505,0.8701873935264055,0.8969072164948454,0.8029020556227328,0.8566655552146613,0.8657627118644068,0.9515625,0.7830188679245284,0.8746575342465753,0.8481894150417827,0.8238213399503722
130,custom,custom,0.8509005019191025,505,0.8694169792021821,0.8985294117647059,0.8029020556227328,0.8569494821965402,0.8655804480651731,0.9517133956386293,0.7830188679245284,0.8732876712328768,0.850974930362117,0.8238213399503722
145,custom,custom,0.8509005019191025,505,0.8695059625212948,0.8985294117647059,0.8027430415490117,0.8569261386116708,0.8650847457627119,0.9517133956386293,0.7834645669291339,0.873972602739726,0.850974930362117,0.8229942100909843
160,custom,custom,0.8514909949808089,503,0.8702757916241062,0.8985294117647059,0.803391199031086,0.8573988008066328,0.8652674339878131,0.9517133956386293,0.7847003154574133,0.8753424657534247,0.850974930362117,0.8229942100909843
175,custom,custom,0.8514909949808089,503,0.8696835658387206,0.8985294117647059,0.804040404040404,0.8574177938812769,0.8640973630831643,0.9517133956386293,0.7859399684044234,0.8753424657534247,0.850974930362117,0.8229942100909843
190,custom,custom,0.8514909949808089,503,0.870452227133628,0.8969072164948454,0.804040404040404,0.8571332825562924,0.8642808912896691,0.9515625,0.7859399684044234,0.8767123287671232,0.8481894150417827,0.8229942100909843
205,custom,custom,0.8514909949808089,503,0.8700680272108844,0.8977189109639441,0.804040404040404,0.8572757807384108,0.8641891891891892,0.9516380655226209,0.7859399684044234,0.876027397260274,0.8495821727019499,0.8229942100909843
220,custom,custom,0.8511957484499557,504,0.8701563562202583,0.8969072164948454,0.8035569927243331,0.8568735218131455,0.863697705802969,0.9515625,0.7857707509881423,0.8767123287671232,0.8481894150417827,0.8221670802315963
235,custom,custom,0.8511957484499557,504,0.8705402650356778,0.8960943257184967,0.8035569927243331,0.8567305278261692,0.863789615643965,0.9514866979655712,0.7857707509881423,0.8773972602739726,0.8467966573816156,0.8221670802315963
250,custom,custom,0.8514909949808089,503,0.8706281833616298,0.8960943257184967,0.8042071197411004,0.856976542940409,0.8632996632996633,0.9514866979655712,0.78701504354711,0.8780821917808219,0.8467966573816156,0.8221670802315963
