n_estim,Kombinace rysů,délky úseku,Accuracy,Chyby,F míra stavu 0,F míra stavu 1,F míra stavu 2,F míra průměrná,Precision stavu 0,Precision stavu 1,Precision stavu 2,Recall stavu 0,Recall stavu 1,Recall stavu 2
10,custom,custom,0.43270971635485816,1880,0.6340019730351858,0.4126984126984127,0.11629182665935271,0.38766407079765036,0.5097831835007932,0.2850430696945967,0.726027397260274,0.8382608695652174,0.7474332648870636,0.06320810971973763
25,custom,custom,0.4357272178636089,1870,0.6360936984493566,0.4128595600676819,0.125,0.3913177528390128,0.5124933545986178,0.2846034214618974,0.7755102040816326,0.8382608695652174,0.7515400410677618,0.06797853309481217
40,custom,custom,0.44146047073023537,1851,0.6388888888888888,0.41312959818902095,0.1437125748502994,0.3985770206427364,0.5154749199573105,0.28515625,0.825,0.84,0.7494866529774127,0.07871198568872988
55,custom,custom,0.4408569704284852,1853,0.6373553719008265,0.41332580463015245,0.14301310043668122,0.3978980923225534,0.5141333333333333,0.2850467289719626,0.8451612903225807,0.8382608695652174,0.7515400410677618,0.07811568276684555
70,custom,custom,0.4447797223898612,1840,0.6383824991713622,0.41562853907134767,0.15609756097560976,0.4033695330727732,0.5158007498660954,0.2869429241594996,0.8571428571428571,0.837391304347826,0.7535934291581109,0.08586762075134168
85,custom,custom,0.4456849728424864,1837,0.6388336646785951,0.4161455372370665,0.15883306320907617,0.40460408837491263,0.5160599571734475,0.28773584905660377,0.8448275862068966,0.8382608695652174,0.7515400410677618,0.08765652951699464
100,custom,custom,0.44387447193723595,1843,0.6385941644562334,0.4144960362400906,0.15384615384615385,0.40231211818082596,0.5160771704180064,0.2861610633307271,0.8402366863905325,0.837391304347826,0.7515400410677618,0.08467501490757305
115,custom,custom,0.4396499698249849,1857,0.637537239324727,0.4134831460674157,0.13793103448275862,0.3963171399583005,0.5146980224478889,0.2846094354215004,0.84,0.837391304347826,0.75564681724846,0.07513416815742398
130,custom,custom,0.43934821967410986,1858,0.6379880873593646,0.41301907968574636,0.13596491228070176,0.3956573597752709,0.5149572649572649,0.28416988416988415,0.8435374149659864,0.8382608695652174,0.75564681724846,0.07394156231365534
145,custom,custom,0.43814121907060954,1862,0.6382275132275133,0.4116331096196868,0.13105726872246695,0.393639297189889,0.5149413020277481,0.2828593389700231,0.8561151079136691,0.8391304347826087,0.75564681724846,0.07096004770423375
160,custom,custom,0.4348219674109837,1873,0.6386776859504132,0.4091161756531406,0.11862527716186252,0.38880637958847214,0.5152,0.2804878048780488,0.84251968503937,0.84,0.75564681724846,0.06380441264162194
175,custom,custom,0.4336149668074834,1877,0.6379880873593646,0.40866185452526377,0.11634349030470914,0.3876644773964459,0.5149572649572649,0.2800608828006088,0.8203125,0.8382608695652174,0.75564681724846,0.0626118067978533
190,custom,custom,0.4333132166566083,1878,0.6384666226040978,0.4082085413200222,0.11339633129516398,0.38669049840642805,0.5149253731343284,0.2796352583586626,0.8360655737704918,0.84,0.75564681724846,0.06082289803220036
205,custom,custom,0.43301146650573324,1879,0.6382556987115956,0.4082085413200222,0.11234705228031146,0.38627043077064305,0.5146510388918487,0.2796352583586626,0.8347107438016529,0.84,0.75564681724846,0.06022659511031604
220,custom,custom,0.432106216053108,1882,0.6384666226040978,0.4073049252905368,0.10919220055710306,0.3849879161505792,0.5149253731343284,0.2787878787878788,0.8305084745762712,0.84,0.75564681724846,0.05843768634466309
235,custom,custom,0.432106216053108,1882,0.6384666226040978,0.4073049252905368,0.10919220055710306,0.3849879161505792,0.5149253731343284,0.2787878787878788,0.8305084745762712,0.84,0.75564681724846,0.05843768634466309
250,custom,custom,0.432106216053108,1882,0.6378342687355563,0.4079822616407982,0.10919220055710306,0.3850029103111525,0.5141032464076637,0.27942293090356873,0.8305084745762712,0.84,0.75564681724846,0.05843768634466309
